vqn,jqn,E,egam,rMin,rMax,VMin,VMax,Tau,ri,ro,EVib,ERot,g
0,0,-9.75363811e+00,0.00000000e+00,2.07381110e+00,5.21838540e+01,-9.89924079e+00,6.53249740e-08,5.88861420e+02,1.99298460e+00,2.16428410e+00,-9.75363811e+00,0.00000000e+00,5.00000000e-01
0,1,-9.75314450e+00,0.00000000e+00,2.07382180e+00,3.02772540e+01,-9.89874500e+00,1.75078336e-06,5.88870290e+02,1.99299600e+00,2.16429680e+00,-9.75363811e+00,4.93614735e-04,1.50000000e+00
0,2,-9.75215754e+00,0.00000000e+00,2.07384730e+00,2.35679390e+01,-9.89775368e+00,8.04598032e-06,5.88888060e+02,1.99301870e+00,2.16432210e+00,-9.75363811e+00,1.48057209e-03,2.50000000e+00
0,3,-9.75067697e+00,0.00000000e+00,2.07388190e+00,2.00153490e+01,-9.89626658e+00,2.19173321e-05,5.88914710e+02,1.99305280e+00,2.16436010e+00,-9.75363811e+00,2.96114418e-03,3.50000000e+00
0,4,-9.74870278e+00,0.00000000e+00,2.07393130e+00,1.77363160e+01,-9.89428369e+00,4.62466638e-05,5.88950250e+02,1.99309830e+00,2.16441070e+00,-9.75363811e+00,4.93533101e-03,4.50000000e+00
0,5,-9.74623552e+00,0.00000000e+00,2.07398990e+00,1.61183680e+01,-9.89180527e+00,8.38364545e-05,5.88994670e+02,1.99315520e+00,2.16447400e+00,-9.75363811e+00,7.40258834e-03,5.50000000e+00
0,6,-9.74327465e+00,0.00000000e+00,2.07406060e+00,1.48947770e+01,-9.88883134e+00,1.37415441e-04,5.89048000e+02,1.99322340e+00,2.16455000e+00,-9.75363811e+00,1.03634604e-02,6.50000000e+00
0,7,-9.73982071e+00,0.00000000e+00,2.07414310e+00,1.39283840e+01,-9.88536216e+00,2.09644243e-04,5.89110220e+02,1.99330300e+00,2.16463870e+00,-9.75363811e+00,1.38174030e-02,7.50000000e+00
0,8,-9.73587370e+00,0.00000000e+00,2.07424190e+00,1.31405340e+01,-9.88139773e+00,3.03120836e-04,5.89181340e+02,1.99339400e+00,2.16474000e+00,-9.75363811e+00,1.77644161e-02,8.50000000e+00
0,9,-9.73143388e+00,0.00000000e+00,2.07434980e+00,1.24824940e+01,-9.87693805e+00,4.20385765e-04,5.89261380e+02,1.99349640e+00,2.16485400e+00,-9.75363811e+00,2.22042275e-02,9.50000000e+00
