t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,4.241377669920e-03,3.520251177110e-04,7.158335048950e-06,7.799424992630e-01,1.588305013170e-01,6.619280202420e-03,1.444710365720e-06,5.713384341900e-06,1.000000000000e+04,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,9.380891896690e-04,2.500000000000e+03,1.810742629010e+22,6.227931599760e+06
1.000000000000e-14,5.000000001420e-02,4.241377748420e-03,3.520251347870e-04,7.158336086940e-06,7.799424987440e-01,1.588305016610e-01,6.619280264420e-03,1.444711244750e-06,5.713385988600e-06,1.000000000000e+04,4.000000036940e+03,4.000000106950e+03,4.000000136240e+03,4.000000005040e+03,4.000000008660e+03,4.000000022570e+03,4.000001300730e+03,4.000000746950e+03,9.380891896690e-04,2.500000000020e+03,1.810742629020e+22,6.227931603170e+06
2.015000000000e-14,5.000000002870e-02,4.241377828100e-03,3.520251521190e-04,7.158337140510e-06,7.799424982170e-01,1.588305020090e-01,6.619280327350e-03,1.444712136960e-06,5.713387660000e-06,1.000000000000e+04,4.000000074440e+03,4.000000215510e+03,4.000000274530e+03,4.000000010170e+03,4.000000017450e+03,4.000000045480e+03,4.000002620970e+03,4.000001505100e+03,9.380891896690e-04,2.500000000040e+03,1.810742629040e+22,6.227931606630e+06
3.045225000000e-14,5.000000004340e-02,4.241377908970e-03,3.520251697110e-04,7.158338209880e-06,7.799424976820e-01,1.588305023640e-01,6.619280391220e-03,1.444713042560e-06,5.713389356460e-06,1.000000000000e+04,4.000000112500e+03,4.000000325700e+03,4.000000414890e+03,4.000000015360e+03,4.000000026380e+03,4.000000068740e+03,4.000003961020e+03,4.000002274630e+03,9.380891896690e-04,2.500000000060e+03,1.810742629050e+22,6.227931610150e+06
4.090903375000e-14,5.000000005820e-02,4.241377991060e-03,3.520251875670e-04,7.158339295280e-06,7.799424971400e-01,1.588305027230e-01,6.619280456060e-03,1.444713961740e-06,5.713391078380e-06,1.000000000000e+04,4.000000151130e+03,4.000000437540e+03,4.000000557350e+03,4.000000020640e+03,4.000000035430e+03,4.000000092340e+03,4.000005321160e+03,4.000003055700e+03,9.380891896690e-04,2.500000000070e+03,1.810742629060e+22,6.227931613710e+06
5.152266925620e-14,5.000000007340e-02,4.241378074380e-03,3.520252056910e-04,7.158340396970e-06,7.799424965890e-01,1.588305030880e-01,6.619280521860e-03,1.444714894710e-06,5.713392826120e-06,1.000000000000e+04,4.000000190340e+03,4.000000551050e+03,4.000000701950e+03,4.000000025990e+03,4.000000044630e+03,4.000000116300e+03,4.000006701710e+03,4.000003848490e+03,9.380891896690e-04,2.500000000090e+03,1.810742629080e+22,6.227931617330e+06
6.229550929510e-14,5.000000008870e-02,4.241378158940e-03,3.520252240860e-04,7.158341515190e-06,7.799424960290e-01,1.588305034580e-01,6.619280588650e-03,1.444715841670e-06,5.713394600080e-06,1.000000000000e+04,4.000000230140e+03,4.000000666270e+03,4.000000848730e+03,4.000000031430e+03,4.000000053960e+03,4.000000140620e+03,4.000008102970e+03,4.000004653160e+03,9.380891896690e-04,2.500000000110e+03,1.810742629090e+22,6.227931621010e+06
7.322994193450e-14,5.000000010430e-02,4.241378244780e-03,3.520252427580e-04,7.158342650170e-06,7.799424954620e-01,1.588305038340e-01,6.619280656440e-03,1.444716802840e-06,5.713396400650e-06,1.000000000000e+04,4.000000270540e+03,4.000000783220e+03,4.000000997700e+03,4.000000036940e+03,4.000000063430e+03,4.000000165300e+03,4.000009525240e+03,4.000005469910e+03,9.380891896690e-04,2.500000000130e+03,1.810742629110e+22,6.227931624740e+06
8.432839106350e-14,5.000000012010e-02,4.241378331900e-03,3.520252617100e-04,7.158343802180e-06,7.799424948860e-01,1.588305042160e-01,6.619280725250e-03,1.444717778430e-06,5.713398228230e-06,1.000000000000e+04,4.000000311540e+03,4.000000901920e+03,4.000001148910e+03,4.000000042540e+03,4.000000073040e+03,4.000000190360e+03,4.000010968850e+03,4.000006298910e+03,9.380891896690e-04,2.500000000150e+03,1.810742629120e+22,6.227931628520e+06
9.559331692950e-14,5.000000013610e-02,4.241378420330e-03,3.520252809450e-04,7.158344971480e-06,7.799424943010e-01,1.588305046030e-01,6.619280795100e-03,1.444718768650e-06,5.713400083220e-06,1.000000000000e+04,4.000000353160e+03,4.000001022410e+03,4.000001302380e+03,4.000000048220e+03,4.000000082800e+03,4.000000215780e+03,4.000012434110e+03,4.000007140340e+03,9.380891896690e-04,2.500000000170e+03,1.810742629140e+22,6.227931632360e+06
