# Idx,Group
0,4
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,4
34,4
35,4
36,4
37,4
38,4
39,4
40,4
41,4
42,4
43,4
44,4
45,4
46,4
47,4
48,4
49,4
50,4
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,4
59,4
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,4
81,4
82,4
83,4
84,4
85,4
86,4
87,4
88,4
89,4
90,4
91,4
92,4
93,4
94,4
95,4
96,4
97,4
98,4
99,4
100,4
101,4
102,4
103,4
104,4
105,4
106,4
107,4
108,4
109,4
110,4
111,4
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,4
120,4
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,4
135,4
136,4
137,4
138,4
139,4
140,4
141,4
142,4
143,4
144,4
145,4
146,4
147,4
148,4
149,4
150,4
151,4
152,4
153,4
154,4
155,4
156,4
157,4
158,4
159,4
160,4
161,4
162,4
163,4
164,4
165,4
166,4
167,4
168,4
169,4
170,4
171,4
172,4
173,4
174,4
175,4
176,4
177,4
178,4
179,4
180,4
181,4
182,4
183,4
184,4
185,4
186,4
187,4
188,4
189,4
190,4
191,4
192,4
193,4
194,4
195,4
196,4
197,4
198,4
199,4
200,4
201,4
202,4
203,4
204,4
205,4
206,4
207,4
208,4
209,4
210,4
211,4
212,4
213,4
214,4
215,4
216,4
217,4
218,4
219,4
220,4
221,4
222,4
223,4
224,4
225,4
226,4
227,4
228,4
229,4
230,4
231,4
232,4
233,4
234,4
235,4
236,4
237,4
238,4
239,4
240,4
241,4
242,4
243,4
244,4
245,4
246,4
247,4
248,4
249,4
250,4
251,4
252,4
253,4
254,4
255,5
256,4
257,4
258,5
259,4
260,5
261,4
262,4
263,4
264,5
265,4
266,5
267,4
268,4
269,4
270,5
271,4
272,4
273,5
274,5
275,5
276,4
277,5
278,5
279,5
280,4
281,5
282,4
283,5
284,5
285,5
286,5
287,5
288,4
289,5
290,4
291,5
292,5
293,4
294,5
295,5
296,4
297,5
298,5
299,4
300,5
301,5
302,5
303,5
304,4
305,5
306,5
307,4
308,5
309,5
310,4
311,5
312,4
313,5
314,5
315,5
316,4
317,5
318,5
319,4
320,5
321,5
322,4
323,5
324,5
325,4
326,5
327,5
328,5
329,5
330,4
331,4
332,4
333,5
334,5
335,5
336,5
337,5
338,4
339,5
340,4
341,5
342,4
343,5
344,5
345,5
346,5
347,5
348,4
349,4
350,5
351,5
352,5
353,5
354,5
355,5
356,5
357,5
358,5
359,5
360,5
361,5
362,5
363,5
364,5
365,4
366,5
367,4
368,5
369,5
370,5
371,5
372,5
373,5
374,5
375,5
376,5
377,5
378,5
379,4
380,5
381,5
382,5
383,4
384,5
385,5
386,5
387,5
388,5
389,5
390,5
391,5
392,4
393,5
394,4
395,5
396,5
397,5
398,5
399,5
400,5
401,5
402,5
403,5
404,4
405,5
406,5
407,5
408,4
409,5
410,5
411,5
412,5
413,5
414,5
415,5
416,5
417,5
418,5
419,5
420,4
421,5
422,5
423,5
424,5
425,5
426,5
427,5
428,5
429,5
430,5
431,5
432,5
433,5
434,5
435,5
436,5
437,5
438,5
439,5
440,5
441,5
442,5
443,5
444,5
445,5
446,5
447,5
448,5
449,5
450,5
451,5
452,5
453,5
454,5
455,5
456,5
457,5
458,5
459,5
460,5
461,5
462,5
463,5
464,5
465,5
466,5
467,5
468,5
469,5
470,5
471,5
472,5
473,5
474,5
475,5
476,5
477,5
478,5
479,5
480,5
481,5
482,5
483,5
484,5
485,5
486,5
487,5
488,5
489,5
490,5
491,5
492,5
493,5
494,5
495,5
496,5
497,5
498,5
499,5
500,5
501,5
502,5
503,5
504,5
505,5
506,5
507,5
508,5
509,5
510,5
511,5
512,5
513,5
514,5
515,5
516,5
517,5
518,5
519,5
520,5
521,5
522,5
523,5
524,5
525,5
526,5
527,5
528,5
529,5
530,5
531,5
532,5
533,5
534,5
535,5
536,5
537,5
538,5
539,5
540,5
541,5
542,5
543,5
544,5
545,5
546,5
547,5
548,5
549,5
550,5
551,5
552,5
553,5
554,5
555,5
556,5
557,5
558,5
559,5
560,5
561,5
562,5
563,5
564,5
565,5
566,5
567,5
568,5
569,5
570,5
571,5
572,5
573,5
574,5
575,5
576,5
577,5
578,5
579,5
580,5
581,5
582,5
583,5
584,5
585,5
586,5
587,5
588,5
589,5
590,5
591,5
592,5
593,5
594,5
595,5
596,5
597,5
598,5
599,5
600,5
601,5
602,5
603,5
604,5
605,5
606,5
607,5
608,5
609,5
610,5
611,5
612,5
613,5
614,5
615,5
616,5
617,5
618,5
619,5
620,5
621,5
622,5
623,5
624,5
625,5
626,5
627,5
628,5
629,5
630,5
631,5
632,5
633,5
634,5
635,5
636,5
637,5
638,5
639,5
640,5
641,5
642,5
643,5
644,5
645,5
646,5
647,5
648,5
649,5
650,5
651,5
652,5
653,5
654,5
655,5
656,5
657,5
658,5
659,5
660,5
661,5
662,5
663,5
664,5
665,5
666,5
667,5
668,5
669,5
670,5
671,5
672,5
673,5
674,5
675,5
676,5
677,5
678,5
679,5
680,5
681,5
682,5
683,5
684,5
685,5
686,5
687,5
688,5
689,5
690,5
691,5
692,5
693,5
694,5
695,5
696,5
697,5
698,5
699,5
700,5
701,5
702,5
703,5
704,5
705,5
706,5
707,5
708,5
709,5
710,5
711,5
712,5
713,5
714,5
715,5
716,5
717,5
718,5
719,5
720,5
721,5
722,5
723,5
724,5
725,5
726,5
727,5
728,5
729,5
730,5
731,5
732,5
733,5
734,5
735,5
736,5
737,5
738,5
739,5
740,5
741,5
742,5
743,5
744,5
745,5
746,5
747,5
748,5
749,5
750,5
751,5
752,5
753,5
754,5
755,5
756,5
757,5
758,5
759,5
760,5
761,5
762,5
763,5
764,5
765,5
766,5
767,5
768,5
769,5
770,5
771,5
772,5
773,5
774,5
775,5
776,5
777,5
778,5
779,5
780,5
781,5
782,5
783,5
784,5
785,5
786,5
787,5
788,5
789,5
790,5
791,5
792,5
793,5
794,5
795,5
796,5
797,5
798,5
799,5
800,5
801,5
802,5
803,5
804,5
805,5
806,5
807,5
808,5
809,5
810,5
811,5
812,5
813,5
814,5
815,5
816,5
817,5
818,5
819,5
820,5
821,5
822,5
823,5
824,5
825,5
826,5
827,5
828,5
829,5
830,5
831,5
832,5
833,5
834,5
835,5
836,5
837,5
838,5
839,5
840,5
841,5
842,5
843,5
844,5
845,5
846,5
847,5
848,5
849,5
850,5
851,5
852,5
853,5
854,5
855,5
856,5
857,5
858,5
859,5
860,5
861,5
862,5
863,5
864,5
865,5
866,5
867,5
868,5
869,5
870,5
871,5
872,5
873,5
874,5
875,1
876,5
877,5
878,5
879,5
880,5
881,5
882,5
883,5
884,5
885,5
886,5
887,5
888,5
889,5
890,5
891,5
892,5
893,5
894,5
895,5
896,5
897,1
898,5
899,5
900,5
901,5
902,5
903,5
904,5
905,5
906,5
907,5
908,5
909,5
910,5
911,5
912,5
913,1
914,5
915,5
916,5
917,5
918,5
919,1
920,5
921,5
922,6
923,5
924,5
925,5
926,5
927,6
928,5
929,5
930,5
931,5
932,6
933,5
934,1
935,5
936,5
937,5
938,6
939,1
940,5
941,5
942,6
943,5
944,6
945,6
946,6
947,6
948,5
949,6
950,6
951,6
952,6
953,5
954,6
955,5
956,5
957,6
958,5
959,6
960,5
961,5
962,6
963,6
964,5
965,1
966,5
967,6
968,6
969,6
970,5
971,6
972,5
973,6
974,1
975,6
976,5
977,5
978,6
979,6
980,5
981,5
982,6
983,5
984,6
985,6
986,5
987,6
988,5
989,6
990,1
991,6
992,5
993,6
994,5
995,5
996,6
997,5
998,5
999,5
1000,1
1001,6
1002,6
1003,5
1004,6
1005,6
1006,6
1007,5
1008,6
1009,5
1010,5
1011,1
1012,6
1013,5
1014,5
1015,6
1016,1
1017,5
1018,6
1019,6
1020,5
1021,5
1022,1
1023,5
1024,6
1025,6
1026,6
1027,5
1028,6
1029,6
1030,5
1031,5
1032,1
1033,5
1034,6
1035,6
1036,6
1037,1
1038,5
1039,5
1040,5
1041,6
1042,6
1043,6
1044,6
1045,1
1046,6
1047,6
1048,5
1049,5
1050,5
1051,6
1052,5
1053,5
1054,1
1055,6
1056,6
1057,6
1058,6
1059,6
1060,6
1061,6
1062,6
1063,5
1064,6
1065,6
1066,6
1067,1
1068,6
1069,6
1070,6
1071,6
1072,5
1073,6
1074,6
1075,5
1076,6
1077,5
1078,6
1079,5
1080,1
1081,6
1082,6
1083,6
1084,6
1085,5
1086,6
1087,6
1088,1
1089,6
1090,5
1091,6
1092,6
1093,6
1094,6
1095,5
1096,1
1097,6
1098,6
1099,5
1100,6
1101,6
1102,5
1103,6
1104,6
1105,6
1106,6
1107,6
1108,1
1109,6
1110,1
1111,6
1112,5
1113,1
1114,6
1115,5
1116,6
1117,6
1118,6
1119,5
1120,6
1121,6
1122,5
1123,1
1124,6
1125,6
1126,6
1127,6
1128,6
1129,6
1130,6
1131,6
1132,1
1133,5
1134,6
1135,5
1136,1
1137,6
1138,1
1139,6
1140,6
1141,6
1142,6
1143,5
1144,6
1145,6
1146,6
1147,1
1148,6
1149,6
1150,6
1151,6
1152,6
1153,6
1154,1
1155,5
1156,6
1157,6
1158,6
1159,6
1160,1
1161,1
1162,5
1163,6
1164,6
1165,6
1166,6
1167,6
1168,6
1169,1
1170,6
1171,6
1172,6
1173,6
1174,6
1175,6
1176,6
1177,6
1178,6
1179,6
1180,6
1181,6
1182,1
1183,6
1184,1
1185,6
1186,6
1187,6
1188,6
1189,6
1190,6
1191,1
1192,6
1193,6
1194,6
1195,6
1196,1
1197,6
1198,6
1199,6
1200,6
1201,6
1202,6
1203,6
1204,6
1205,6
1206,6
1207,1
1208,6
1209,6
1210,6
1211,1
1212,6
1213,1
1214,6
1215,6
1216,6
1217,6
1218,6
1219,6
1220,6
1221,6
1222,6
1223,1
1224,6
1225,6
1226,6
