t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,Th,Tg_1,Tg_2,Tg_3,Tg_4,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,4.309089628930e-02,9.064595494280e-01,3.729391346510e-04,7.661514775630e-05,1.000000000000e+04,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,9.380891896690e-04,2.500000000000e+03,1.810742629010e+22,6.228053125520e+06
1.000000000000e-14,5.000000001420e-02,4.309089639970e-02,9.064595492800e-01,3.729391490890e-04,7.661515665500e-05,1.000000000000e+04,4.000000012200e+03,4.000000006170e+03,4.000000083530e+03,4.000000238350e+03,9.380891896690e-04,2.500000000020e+03,1.810742629020e+22,6.228053128930e+06
2.015000000000e-14,5.000000002870e-02,4.309089651170e-02,9.064595491300e-01,3.729391637430e-04,7.661516568710e-05,1.000000000000e+04,4.000000024580e+03,4.000000012420e+03,4.000000168310e+03,4.000000480280e+03,9.380891896690e-04,2.500000000040e+03,1.810742629040e+22,6.228053132400e+06
3.045225000000e-14,5.000000004340e-02,4.309089662530e-02,9.064595489780e-01,3.729391786160e-04,7.661517485470e-05,1.000000000000e+04,4.000000037150e+03,4.000000018780e+03,4.000000254370e+03,4.000000725830e+03,9.380891896690e-04,2.500000000060e+03,1.810742629050e+22,6.228053135910e+06
4.090903375000e-14,5.000000005830e-02,4.309089674070e-02,9.064595488230e-01,3.729391937130e-04,7.661518415980e-05,1.000000000000e+04,4.000000049900e+03,4.000000025220e+03,4.000000341710e+03,4.000000975070e+03,9.380891896690e-04,2.500000000070e+03,1.810742629060e+22,6.228053139480e+06
5.152266925620e-14,5.000000007340e-02,4.309089685780e-02,9.064595486660e-01,3.729392090370e-04,7.661519360450e-05,1.000000000000e+04,4.000000062850e+03,4.000000031770e+03,4.000000430370e+03,4.000001228040e+03,9.380891896690e-04,2.500000000090e+03,1.810742629080e+22,6.228053143090e+06
6.229550929510e-14,5.000000008870e-02,4.309089697670e-02,9.064595485070e-01,3.729392245900e-04,7.661520319090e-05,1.000000000000e+04,4.000000075990e+03,4.000000038410e+03,4.000000520360e+03,4.000001484820e+03,9.380891896690e-04,2.500000000110e+03,1.810742629090e+22,6.228053146770e+06
7.322994193450e-14,5.000000010430e-02,4.309089709730e-02,9.064595483450e-01,3.729392403760e-04,7.661521292110e-05,1.000000000000e+04,4.000000089330e+03,4.000000045150e+03,4.000000611690e+03,4.000001745440e+03,9.380891896690e-04,2.500000000130e+03,1.810742629110e+22,6.228053150500e+06
8.432839106350e-14,5.000000012010e-02,4.309089721980e-02,9.064595481810e-01,3.729392564000e-04,7.661522279720e-05,1.000000000000e+04,4.000000102870e+03,4.000000051990e+03,4.000000704400e+03,4.000002009970e+03,9.380891896690e-04,2.500000000150e+03,1.810742629120e+22,6.228053154280e+06
9.559331692950e-14,5.000000013610e-02,4.309089734410e-02,9.064595480140e-01,3.729392726630e-04,7.661523282140e-05,1.000000000000e+04,4.000000116610e+03,4.000000058940e+03,4.000000798490e+03,4.000002278470e+03,9.380891896690e-04,2.500000000170e+03,1.810742629140e+22,6.228053158130e+06
