t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,Th,Tg_1,Tg_2,Tg_3,Tg_4,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,9.500000000000e-01,7.274954544530e-17,1.000000010030e-25,1.000000000000e-25,1.000000000000e+04,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,7.504713517360e-03,2.000000000000e+04,1.448594103210e+23,4.526094661400e+06
1.000000000000e-14,5.000000003110e-02,9.499999990000e-01,8.797225711860e-10,8.380114788170e-11,5.155812974590e-12,1.000000000000e+04,5.000001225540e+02,5.697971944850e+03,6.685535406020e+03,5.553016190920e+03,7.504713517360e-03,2.000000000030e+04,1.448594103230e+23,4.526094707100e+06
2.015000000000e-14,5.000000006270e-02,9.499999979850e-01,1.772640911150e-09,1.688593147330e-10,1.038896302960e-11,1.000000000000e+04,5.000002469460e+02,5.697972847740e+03,6.685535370320e+03,5.553016343520e+03,7.504713517360e-03,2.000000000060e+04,1.448594103250e+23,4.526094753490e+06
3.045225000000e-14,5.000000009480e-02,9.499999969550e-01,2.678953029970e-09,2.551933557120e-10,1.570061022930e-11,1.000000000000e+04,5.000003732040e+02,5.697973403540e+03,6.685535334090e+03,5.553016498400e+03,7.504713517360e-03,2.000000000100e+04,1.448594103280e+23,4.526094800580e+06
4.090903375000e-14,5.000000012740e-02,9.499999959100e-01,3.598859847660e-09,3.428224146680e-10,2.109193165800e-11,1.000000000000e+04,5.000005013550e+02,5.697973686910e+03,6.685535297320e+03,5.553016655610e+03,7.504713517360e-03,2.000000000130e+04,1.448594103300e+23,4.526094848370e+06
5.152266925620e-14,5.000000016040e-02,9.499999948490e-01,4.532565280740e-09,4.317659151610e-10,2.656412254010e-11,1.000000000000e+04,5.000006314290e+02,5.697973793860e+03,6.685535259990e+03,5.553016815180e+03,7.504713517360e-03,2.000000000160e+04,1.448594103330e+23,4.526094896880e+06
6.229550929510e-14,5.000000019400e-02,9.499999937720e-01,5.480276295290e-09,5.220435681580e-10,3.211839628530e-11,1.000000000000e+04,5.000007634540e+02,5.697973902420e+03,6.685535222100e+03,5.553016977140e+03,7.504713517360e-03,2.000000000200e+04,1.448594103350e+23,4.526094946120e+06
7.322994193450e-14,5.000000022800e-02,9.499999926780e-01,6.442202975010e-09,6.136753859460e-10,3.775598413650e-11,1.000000000000e+04,5.000008974600e+02,5.697974012610e+03,6.685535183650e+03,5.553017141530e+03,7.504713517360e-03,2.000000000230e+04,1.448594103380e+23,4.526094996100e+06
8.432839106350e-14,5.000000026260e-02,9.499999915690e-01,7.418558554900e-09,7.066816809990e-10,4.347813580520e-11,1.000000000000e+04,5.000010334750e+02,5.697974124450e+03,6.685535144620e+03,5.553017308390e+03,7.504713517360e-03,2.000000000270e+04,1.448594103400e+23,4.526095046820e+06
9.559331692950e-14,5.000000029760e-02,9.499999904420e-01,8.409559468460e-09,8.010830704730e-10,4.928611974880e-11,1.000000000000e+04,5.000011715310e+02,5.697974237970e+03,6.685535105000e+03,5.553017477750e+03,7.504713517360e-03,2.000000000310e+04,1.448594103430e+23,4.526095098310e+06
