t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,9.499999879300e-01,1.206965699230e-08,7.274954548290e-17,3.506769438070e-25,1.000000010030e-25,1.000000000000e-25,1.000000000000e-25,1.000000000000e-25,1.000000000000e+04,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,7.504713517360e-03,2.000000000000e+04,1.448594103210e+23,4.526094660980e+06
1.000000000000e-14,5.000000003110e-02,9.499999837480e-01,1.525243904900e-08,6.872340949110e-10,1.924884802880e-10,6.298841785220e-11,2.081272987920e-11,5.109116318020e-12,4.669671020290e-14,1.000000000000e+04,5.000000875530e+02,1.040249129230e+03,5.227689119810e+03,6.320070796370e+03,7.172833123040e+03,6.225899667180e+03,5.757077952240e+03,4.651786955150e+03,7.504713517360e-03,2.000000000030e+04,1.448594103230e+23,4.526094706690e+06
2.015000000000e-14,5.000000006270e-02,9.499999795020e-01,1.848296287070e-08,1.384776638340e-09,3.878642932470e-10,1.269216637380e-10,4.193765104350e-11,1.029486932950e-11,9.409388904550e-14,1.000000000000e+04,5.000001764200e+02,1.391910223110e+03,5.227689873230e+03,6.320070806760e+03,7.172833077480e+03,6.225899565620e+03,5.757078112250e+03,4.651787599210e+03,7.504713517360e-03,2.000000000060e+04,1.448594103250e+23,4.526094753080e+06
3.045225000000e-14,5.000000009480e-02,9.499999751930e-01,2.176194456490e-08,2.092782333110e-09,5.861707491520e-10,1.918139101550e-10,6.337944638030e-11,1.555840858580e-11,1.422020442600e-13,1.000000000000e+04,5.000002666190e+02,1.650834764330e+03,5.227690186470e+03,6.320070816590e+03,7.172833030890e+03,6.225899462490e+03,5.757078275330e+03,4.651788254630e+03,7.504713517360e-03,2.000000000100e+04,1.448594103280e+23,4.526094800160e+06
4.090903375000e-14,5.000000012740e-02,9.499999708200e-01,2.509011099270e-08,2.811408128030e-09,7.874518078810e-10,2.576795421790e-10,8.514286901650e-11,2.090090088020e-11,1.910318411280e-13,1.000000000000e+04,5.000003581710e+02,1.855351451830e+03,5.227690363180e+03,6.320070826150e+03,7.172832983430e+03,6.225899357790e+03,5.757078441220e+03,4.651788921040e+03,7.504713517360e-03,2.000000000130e+04,1.448594103300e+23,4.526094847950e+06
5.152266925620e-14,5.000000016040e-02,9.499999663800e-01,2.846819992210e-08,3.540813325720e-09,9.917520886900e-10,3.245331606570e-10,1.072327433750e-10,2.632353050760e-11,2.405941048930e-13,1.000000000000e+04,5.000004510970e+02,2.023543076310e+03,5.227690486770e+03,6.320070835570e+03,7.172832935160e+03,6.225899251540e+03,5.757078609840e+03,4.651789598270e+03,7.504713517360e-03,2.000000000160e+04,1.448594103330e+23,4.526094896460e+06
6.229550929510e-14,5.000000019400e-02,9.499999618750e-01,3.189696018860e-08,4.281159618160e-09,1.199116880120e-09,3.923895854500e-10,1.296539662440e-10,3.182749952680e-11,2.908998231870e-13,1.000000000000e+04,5.000005454170e+02,2.165490734340e+03,5.227690570790e+03,6.320070844940e+03,7.172832886090e+03,6.225899143750e+03,5.757078781170e+03,4.651790286270e+03,7.504713517360e-03,2.000000000200e+04,1.448594103350e+23,4.526094945700e+06
7.322994193450e-14,5.000000022800e-02,9.499999573010e-01,3.537715186110e-08,5.032611122600e-09,1.409592150030e-09,4.612638587160e-10,1.524115078650e-10,3.741402802740e-11,3.419601484640e-13,1.000000000000e+04,5.000006411510e+02,2.287489125630e+03,5.227690654310e+03,6.320070854310e+03,7.172832836230e+03,6.225899034340e+03,5.757078955190e+03,4.651790985020e+03,7.504713517360e-03,2.000000000230e+04,1.448594103380e+23,4.526094995670e+06
8.432839106350e-14,5.000000026260e-02,9.499999526590e-01,3.890954640990e-08,5.795334417980e-09,1.623224555820e-09,5.311712482490e-10,1.755104130310e-10,4.308435440020e-11,3.937864004810e-13,1.000000000000e+04,5.000007383210e+02,2.393808157370e+03,5.227690709280e+03,6.320070863710e+03,7.172832785600e+03,6.225898923300e+03,5.757079131910e+03,4.651791694590e+03,7.504713517360e-03,2.000000000270e+04,1.448594103400e+23,4.526095046400e+06
9.559331692950e-14,5.000000029760e-02,9.499999479480e-01,4.249492687740e-08,6.569498581890e-09,1.840061454730e-09,6.021272508600e-10,1.989558022090e-10,4.883973561190e-11,4.463900688080e-13,1.000000000000e+04,5.000008369490e+02,2.487469986050e+03,5.227690763480e+03,6.320070873160e+03,7.172832734180e+03,6.225898810610e+03,5.757079311360e+03,4.651792415090e+03,7.504713517360e-03,2.000000000310e+04,1.448594103430e+23,4.526095097880e+06
1.070272166830e-13,5.000000033320e-02,9.499999431650e-01,4.613408805200e-08,7.355275228060e-09,2.060150914390e-09,6.741475958120e-10,2.227528726730e-10,5.468144748330e-11,4.997828153770e-13,1.000000000000e+04,5.000009370570e+02,2.570717513870e+03,5.227690814580e+03,6.320070882680e+03,7.172832681960e+03,6.225898696230e+03,5.757079493550e+03,4.651793146610e+03,7.504713517360e-03,2.000000000340e+04,1.448594103460e+23,4.526095150140e+06
1.186326249340e-13,5.000000036940e-02,9.499999383110e-01,4.982783664390e-08,8.152838544440e-09,2.283541723420e-09,7.472482483120e-10,2.469068996560e-10,6.061078497270e-11,5.539764770670e-13,1.000000000000e+04,5.000010386650e+02,2.645270362600e+03,5.227690855640e+03,6.320070892280e+03,7.172832628940e+03,6.225898580140e+03,5.757079678520e+03,4.651793889290e+03,7.504713517360e-03,2.000000000380e+04,1.448594103480e+23,4.526095203180e+06
1.304121143080e-13,5.000000040600e-02,9.499999333840e-01,5.357699146410e-08,8.962365331790e-09,2.510283402290e-09,8.214454130460e-10,2.714232375190e-10,6.662906246260e-11,6.089830683340e-13,1.000000000000e+04,5.000011417980e+02,2.712466544390e+03,5.227690895450e+03,6.320070901980e+03,7.172832575110e+03,6.225898462320e+03,5.757079866300e+03,4.651794643260e+03,7.504713517360e-03,2.000000000420e+04,1.448594103510e+23,4.526095257020e+06
1.423682960220e-13,5.000000044330e-02,9.499999283830e-01,5.738238360570e-08,9.784035042880e-09,2.740426214300e-09,8.967555377710e-10,2.963073209410e-10,7.273761405130e-11,6.648147838670e-13,1.000000000000e+04,5.000012464780e+02,2.773367941580e+03,5.227690935860e+03,6.320070911790e+03,7.172832520470e+03,6.225898342740e+03,5.757080056930e+03,4.651795408670e+03,7.504713517360e-03,2.000000000450e+04,1.448594103540e+23,4.526095311660e+06
1.545038204630e-13,5.000000048100e-02,9.499999233080e-01,6.124485662840e-08,1.061802982230e-08,2.974021176670e-09,9.731953169630e-10,3.215646661190e-10,7.893779384830e-11,7.214840013020e-13,1.000000000000e+04,5.000013527290e+02,2.828837813480e+03,5.227690973780e+03,6.320070921710e+03,7.172832464990e+03,6.225898221370e+03,5.757080250450e+03,4.651796185670e+03,7.504713517360e-03,2.000000000490e+04,1.448594103570e+23,4.526095367130e+06
1.668213777700e-13,5.000000051940e-02,9.499999181560e-01,6.516526674510e-08,1.146453454680e-08,3.211120071920e-09,1.050781695520e-09,3.472008719970e-10,8.523097627490e-11,7.790032839610e-13,1.000000000000e+04,5.000014605720e+02,2.879585836630e+03,5.227691008800e+03,6.320070931750e+03,7.172832408670e+03,6.225898098170e+03,5.757080446900e+03,4.651796974420e+03,7.504713517360e-03,2.000000000530e+04,1.448594103590e+23,4.526095423420e+06
