t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,X_O2_9,X_O2_10,X_O2_11,X_O2_12,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,Tg_9,Tg_10,Tg_11,Tg_12,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,3.801152027260e-14,1.000000000000e-25,1.000000000000e-25,1.000000000000e-25,3.456556803340e-17,1.000000000200e-25,3.727747023590e-25,2.311669425180e-08,9.393785296000e-01,1.049352783650e-02,1.262839460350e-04,1.635501083610e-06,1.000000000000e+04,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,7.504713517360e-03,2.000000000000e+04,1.448594103210e+23,4.526075423680e+06
1.000000000000e-14,4.999999682960e-02,8.473050997870e-10,9.395290953670e-13,1.693182401390e-13,1.337542738630e-14,1.340522266820e-10,1.053084407900e-11,4.103049710290e-11,2.378147136320e-08,9.393785272190e-01,1.049353046230e-02,1.262847686790e-04,1.635904746170e-06,1.000000000000e+04,4.564951485760e+03,3.325864987060e+03,4.463480845930e+03,4.058689414400e+02,5.460105860590e+03,5.148042767580e+03,5.922450431760e+03,6.173521028900e+02,5.000001036320e+02,5.000008580420e+02,5.000187119440e+02,5.006621004340e+02,7.504713504400e-03,1.999999993300e+04,1.448594098350e+23,4.526075433330e+06
2.015000000000e-14,4.999999685760e-02,1.707281212340e-09,1.893151150040e-12,3.411763959190e-13,2.695148531290e-14,2.701152045090e-10,2.121965122410e-11,8.267645267230e-11,2.445622006700e-08,9.393785215930e-01,1.049353309150e-02,1.262856032300e-04,1.636314458090e-06,1.000000000000e+04,4.562517347420e+03,3.325873295120e+03,4.463514088110e+03,4.056122766100e+02,5.460063757700e+03,5.148043230980e+03,5.922451720010e+03,7.203862344780e+02,5.000002088180e+02,5.000017289550e+02,5.000377043160e+02,5.013337951710e+02,7.504713504400e-03,1.999999993320e+04,1.448594098370e+23,4.526075475870e+06
3.045225000000e-14,4.999999688590e-02,2.580156984960e-09,2.861077558200e-12,5.156125691880e-13,4.073118318740e-14,4.082191299220e-10,3.206879088860e-11,1.249470986120e-10,2.514109001690e-08,9.393785158830e-01,1.049353576020e-02,1.262864503000e-04,1.636730315690e-06,1.000000000000e+04,4.560785248080e+03,3.325878978900e+03,4.463537099910e+03,4.055465586370e+02,5.460030159680e+03,5.148043564580e+03,5.922452612710e+03,8.133078307910e+02,5.000003155820e+02,5.000026129300e+02,5.000569813150e+02,5.020152181910e+02,7.504713504400e-03,1.999999993350e+04,1.448594098390e+23,4.526075519050e+06
4.090903375000e-14,4.999999691470e-02,3.466125913070e-09,3.843522885370e-12,6.926654342860e-13,5.471757556970e-14,5.483946172420e-10,4.308066807080e-11,1.678518053100e-10,2.583623303240e-08,9.393785100880e-01,1.049353846890e-02,1.262873100760e-04,1.637152411160e-06,1.000000000000e+04,4.566379907010e+03,3.325859400060e+03,4.463461248350e+03,4.055229895440e+02,5.460120956310e+03,5.148042639620e+03,5.922449707040e+03,8.988163667820e+02,5.000004239480e+02,5.000035101650e+02,5.000765472040e+02,5.027065052040e+02,7.504713504400e-03,1.999999993380e+04,1.448594098420e+23,4.526075562890e+06
5.152266925620e-14,4.999999694390e-02,4.365384394620e-09,4.840704915980e-12,8.723742470710e-13,6.891376285270e-14,6.906727400220e-10,5.425772384770e-11,2.114000837180e-10,2.654180321010e-08,9.393785042050e-01,1.049354121830e-02,1.262881827490e-04,1.637580838070e-06,1.000000000000e+04,4.583659583540e+03,3.325799747570e+03,4.463228532640e+03,4.054595627740e+02,5.460413608810e+03,5.148039716210e+03,5.922440777270e+03,9.786079277910e+02,5.000005339390e+02,5.000044208580e+02,5.000964063060e+02,5.034077936560e+02,7.504713504400e-03,1.999999993410e+04,1.448594098440e+23,4.526075607420e+06
6.229550929510e-14,4.999999697360e-02,5.278131773650e-09,5.852844701690e-12,1.054778853780e-12,8.332289195130e-14,8.350850379420e-10,6.560243591580e-11,2.556015874610e-10,2.725795695800e-08,9.393784982340e-01,1.049354400890e-02,1.262890685110e-04,1.638015691390e-06,1.000000000000e+04,4.612390791830e+03,3.325701029460e+03,4.462842868780e+03,4.054101847310e+02,5.460907110650e+03,5.148034842240e+03,5.922425976450e+03,1.053699530040e+03,5.000006455790e+02,5.000053452110e+02,5.001165630120e+02,5.041192227510e+02,7.504713504400e-03,1.999999993440e+04,1.448594098460e+23,4.526075652650e+06
7.322994193450e-14,4.999999700370e-02,6.204570384430e-09,6.880166610130e-12,1.239919699120e-12,9.794815699130e-14,9.816635237870e-10,7.711731913920e-11,3.004661149740e-10,2.798485303010e-08,9.393784921730e-01,1.049354684140e-02,1.262899675610e-04,1.638457067520e-06,1.000000000000e+04,4.645850478190e+03,3.325586532670e+03,4.462395387680e+03,4.054111575290e+02,5.461488321810e+03,5.148029176720e+03,5.922408807220e+03,1.124804948040e+03,5.000007588950e+02,5.000062834280e+02,5.001370217780e+02,5.048409334650e+02,7.504713504400e-03,1.999999993470e+04,1.448594098480e+23,4.526075698610e+06
8.432839106350e-14,4.999999703430e-02,7.144905596150e-09,7.922898374150e-12,1.427837833170e-12,1.127927999940e-13,1.130440690520e-09,8.880492610220e-11,3.460036116600e-10,2.872265256200e-08,9.393784860220e-01,1.049354971630e-02,1.262908800960e-04,1.638905064300e-06,1.000000000000e+04,4.670790615000e+03,3.325501842140e+03,4.462064525770e+03,4.054256834420e+02,5.461929863840e+03,5.148024992310e+03,5.922396124010e+03,1.192482613610e+03,5.000008739100e+02,5.000072357190e+02,5.001577871260e+02,5.055730685670e+02,7.504713504400e-03,1.999999993510e+04,1.448594098500e+23,4.526075745250e+06
9.559331692950e-14,4.999999706530e-02,8.099345858370e-09,8.981271141650e-12,1.618574917720e-12,1.278601115650e-13,1.281449518470e-09,1.006678476700e-10,3.922241720770e-10,2.947151910590e-08,9.393784797780e-01,1.049355263440e-02,1.262918063190e-04,1.639359781040e-06,1.000000000000e+04,4.671027386470e+03,3.325502418360e+03,4.462067409270e+03,4.054175367210e+02,5.461950903870e+03,5.148025057140e+03,5.922396264680e+03,1.257185466280e+03,5.000009906500e+02,5.000082022930e+02,5.001788636450e+02,5.063157726380e+02,7.504713504400e-03,1.999999993540e+04,1.448594098530e+23,4.526075792520e+06
1.070272166830e-13,4.999999709680e-02,9.068102747020e-09,1.005551952620e-11,1.812173233040e-12,1.431534315960e-13,1.434723482580e-09,1.127087135560e-10,4.391380421680e-10,3.023161866740e-08,9.393784734410e-01,1.049355559620e-02,1.262927464350e-04,1.639821318540e-06,1.000000000000e+04,4.633220164470e+03,3.325633662490e+03,4.462581826310e+03,4.053775400630e+02,5.461316082230e+03,5.148031641640e+03,5.922416052560e+03,1.319268131230e+03,5.000011091420e+02,5.000091833650e+02,5.002002559930e+02,5.070691920850e+02,7.504713504400e-03,1.999999993570e+04,1.448594098550e+23,4.526075840330e+06
