t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,Th,Tg_1,Tg_2,Tg_3,Tg_4,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,1.009585381120e-23,9.500000000000e-01,1.000000000000e-25,1.000000000200e-25,1.000000000000e+04,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,7.504713517360e-03,2.000000000000e+04,1.448594103210e+23,4.526094661400e+06
1.000000000000e-14,5.000000003110e-02,1.335018004740e-10,9.499999998150e-01,2.055359638290e-12,1.850785818540e-11,1.000000000000e+04,6.319288462160e+03,5.000001397170e+02,6.087263665740e+03,5.795626175120e+03,7.504713517360e-03,2.000000000030e+04,1.448594103230e+23,4.526094707100e+06
2.015000000000e-14,5.000000006270e-02,2.690061276410e-10,9.499999996270e-01,4.141549725670e-12,3.729333349200e-11,1.000000000000e+04,6.319288471760e+03,5.000002815310e+02,6.087263674130e+03,5.795626071200e+03,7.504713517360e-03,2.000000000060e+04,1.448594103250e+23,4.526094753500e+06
3.045225000000e-14,5.000000009480e-02,4.065430182980e-10,9.499999994360e-01,6.259032914070e-12,5.636058749180e-11,1.000000000000e+04,6.319288480930e+03,5.000004254710e+02,6.087263682190e+03,5.795625965680e+03,7.504713517360e-03,2.000000000100e+04,1.448594103280e+23,4.526094800580e+06
4.090903375000e-14,5.000000012740e-02,5.461429598070e-10,9.499999992420e-01,8.408278792630e-12,7.571384421520e-11,1.000000000000e+04,6.319288489770e+03,5.000005715700e+02,6.087263690000e+03,5.795625858540e+03,7.504713517360e-03,2.000000000130e+04,1.448594103300e+23,4.526094848370e+06
5.152266925620e-14,5.000000016040e-02,6.878369004330e-10,9.499999990460e-01,1.058976335930e-11,9.535739978890e-11,1.000000000000e+04,6.319288498740e+03,5.000007198610e+02,6.087263697930e+03,5.795625749790e+03,7.504713517360e-03,2.000000000160e+04,1.448594103330e+23,4.526094896880e+06
6.229550929510e-14,5.000000019400e-02,8.316562501640e-10,9.499999988460e-01,1.280397019440e-11,1.152956086950e-10,1.000000000000e+04,6.319288507840e+03,5.000008703760e+02,6.087263705990e+03,5.795625639410e+03,7.504713517360e-03,2.000000000200e+04,1.448594103350e+23,4.526094946120e+06
7.322994193450e-14,5.000000022800e-02,9.776328901350e-10,9.499999986440e-01,1.505139013190e-11,1.355328907350e-10,1.000000000000e+04,6.319288517080e+03,5.000010231490e+02,6.087263714160e+03,5.795625527370e+03,7.504713517360e-03,2.000000000230e+04,1.448594103380e+23,4.526094996100e+06
8.432839106350e-14,5.000000026260e-02,1.125799179700e-09,9.499999984380e-01,1.733252136840e-11,1.560737320040e-10,1.000000000000e+04,6.319288526460e+03,5.000011782130e+02,6.087263722450e+03,5.795625413660e+03,7.504713517360e-03,2.000000000270e+04,1.448594103400e+23,4.526095046820e+06
9.559331692950e-14,5.000000029760e-02,1.276187963610e-09,9.499999982300e-01,1.964786957340e-11,1.769226858920e-10,1.000000000000e+04,6.319288535980e+03,5.000013356030e+02,6.087263730870e+03,5.795625298240e+03,7.504713517360e-03,2.000000000310e+04,1.448594103430e+23,4.526095098310e+06
1.070272166830e-13,5.000000033320e-02,1.428832579260e-09,9.499999980180e-01,2.199794800140e-11,1.980843740870e-10,1.000000000000e+04,6.319288545640e+03,5.000014953540e+02,6.087263739410e+03,5.795625181090e+03,7.504713517360e-03,2.000000000340e+04,1.448594103460e+23,4.526095150570e+06
