t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,Th,Tg_1,Tg_2,Tg_3,Tg_4,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,1.009585381120e-23,9.500000000000e-01,1.000000000000e-25,1.000000000200e-25,1.000000000000e+04,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,7.504713517360e-03,2.000000000000e+04,1.448594103210e+23,4.526094661400e+06
1.000000000000e-14,5.000000002750e-02,9.036625260830e-10,9.499999990550e-01,1.231759533700e-11,1.351221058020e-12,1.000000000000e+04,5.906585150970e+03,5.000001135930e+02,4.824695008750e+03,3.892078515710e+03,7.504713517360e-03,2.000000000030e+04,1.448594103230e+23,4.526094703320e+06
2.015000000000e-14,5.000000005550e-02,1.820879996930e-09,9.499999980960e-01,2.481995495610e-11,2.722710573040e-12,1.000000000000e+04,5.906585198990e+03,5.000002288890e+02,4.824695097170e+03,3.892078957500e+03,7.504713517360e-03,2.000000000060e+04,1.448594103250e+23,4.526094745860e+06
3.045225000000e-14,5.000000008390e-02,2.751855747720e-09,9.499999971230e-01,3.750985088260e-11,4.114772796740e-12,1.000000000000e+04,5.906585247610e+03,5.000003459150e+02,4.824695186780e+03,3.892079405410e+03,7.504713517360e-03,2.000000000090e+04,1.448594103270e+23,4.526094789050e+06
4.090903375000e-14,5.000000011270e-02,3.696796153180e-09,9.499999961350e-01,5.039009618880e-11,5.527716330820e-12,1.000000000000e+04,5.906585297030e+03,5.000004646970e+02,4.824695277810e+03,3.892079860330e+03,7.504713517360e-03,2.000000000120e+04,1.448594103290e+23,4.526094832880e+06
5.152266925620e-14,5.000000014190e-02,4.655910683690e-09,9.499999951320e-01,6.346354614380e-11,6.961854406340e-12,1.000000000000e+04,5.906585347260e+03,5.000005852600e+02,4.824695370280e+03,3.892080322370e+03,7.504713517360e-03,2.000000000150e+04,1.448594103310e+23,4.526094877370e+06
6.229550929510e-14,5.000000017160e-02,5.629411951690e-09,9.499999941140e-01,7.673309884670e-11,8.417504953160e-12,1.000000000000e+04,5.906585398320e+03,5.000007076320e+02,4.824695464230e+03,3.892080791660e+03,7.504713517360e-03,2.000000000180e+04,1.448594103340e+23,4.526094922530e+06
7.322994193450e-14,5.000000020170e-02,6.617515758850e-09,9.499999930810e-01,9.020169586880e-11,9.894990670430e-12,1.000000000000e+04,5.906585450220e+03,5.000008318390e+02,4.824695559660e+03,3.892081268320e+03,7.504713517360e-03,2.000000000210e+04,1.448594103360e+23,4.526094968370e+06
8.432839106350e-14,5.000000023220e-02,7.620441143860e-09,9.499999920320e-01,1.038723229060e-10,1.139463909820e-11,1.000000000000e+04,5.906585502980e+03,5.000009579090e+02,4.824695656620e+03,3.892081752460e+03,7.504713517360e-03,2.000000000240e+04,1.448594103380e+23,4.526095014890e+06
9.559331692950e-14,5.000000026330e-02,8.638410431010e-09,9.499999909680e-01,1.177480104410e-10,1.291678268990e-11,1.000000000000e+04,5.906585556600e+03,5.000010858700e+02,4.824695755100e+03,3.892082244150e+03,7.504713517360e-03,2.000000000270e+04,1.448594103400e+23,4.526095062110e+06
