t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,Th,Tg_1,Tg_2,Tg_3,Tg_4,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,2.011034578150e-03,9.479119763360e-01,2.825530459020e-06,7.416355573400e-05,1.000000000000e+04,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,9.380891896690e-04,2.500000000000e+03,1.810742629010e+22,6.228110248390e+06
1.000000000000e-14,5.000000001420e-02,2.011034618520e-03,9.479119762750e-01,2.825531958650e-06,7.416356068190e-05,1.000000000000e+04,4.000000057490e+03,4.000000005550e+03,4.000001023550e+03,4.000000113040e+03,9.380891896690e-04,2.500000000020e+03,1.810742629020e+22,6.228110251800e+06
2.015000000000e-14,5.000000002870e-02,2.011034659490e-03,9.479119762130e-01,2.825533480780e-06,7.416356570400e-05,1.000000000000e+04,4.000000115840e+03,4.000000011190e+03,4.000002062460e+03,4.000000227770e+03,9.380891896690e-04,2.500000000040e+03,1.810742629040e+22,6.228110255260e+06
3.045225000000e-14,5.000000004340e-02,2.011034701090e-03,9.479119761500e-01,2.825535025740e-06,7.416357080140e-05,1.000000000000e+04,4.000000175070e+03,4.000000016910e+03,4.000003116950e+03,4.000000344230e+03,9.380891896690e-04,2.500000000060e+03,1.810742629050e+22,6.228110258770e+06
4.090903375000e-14,5.000000005830e-02,2.011034743300e-03,9.479119760860e-01,2.825536593870e-06,7.416357597530e-05,1.000000000000e+04,4.000000235180e+03,4.000000022710e+03,4.000004187260e+03,4.000000462430e+03,9.380891896690e-04,2.500000000070e+03,1.810742629060e+22,6.228110262340e+06
5.152266925620e-14,5.000000007340e-02,2.011034786150e-03,9.479119760210e-01,2.825538185520e-06,7.416358122680e-05,1.000000000000e+04,4.000000296200e+03,4.000000028600e+03,4.000005273630e+03,4.000000582410e+03,9.380891896690e-04,2.500000000090e+03,1.810742629080e+22,6.228110265960e+06
6.229550929510e-14,5.000000008870e-02,2.011034829640e-03,9.479119759550e-01,2.825539801050e-06,7.416358655710e-05,1.000000000000e+04,4.000000358130e+03,4.000000034590e+03,4.000006376290e+03,4.000000704190e+03,9.380891896690e-04,2.500000000110e+03,1.810742629090e+22,6.228110269630e+06
7.322994193450e-14,5.000000010430e-02,2.011034873790e-03,9.479119758890e-01,2.825541440810e-06,7.416359196730e-05,1.000000000000e+04,4.000000420990e+03,4.000000040660e+03,4.000007495480e+03,4.000000827790e+03,9.380891896690e-04,2.500000000130e+03,1.810742629110e+22,6.228110273360e+06
8.432839106350e-14,5.000000012010e-02,2.011034918590e-03,9.479119758210e-01,2.825543105170e-06,7.416359745870e-05,1.000000000000e+04,4.000000484790e+03,4.000000046820e+03,4.000008631470e+03,4.000000953250e+03,9.380891896690e-04,2.500000000150e+03,1.810742629120e+22,6.228110277150e+06
9.559331692950e-14,5.000000013610e-02,2.011034964070e-03,9.479119757520e-01,2.825544794490e-06,7.416360303240e-05,1.000000000000e+04,4.000000549550e+03,4.000000053070e+03,4.000009784500e+03,4.000001080580e+03,9.380891896690e-04,2.500000000170e+03,1.810742629140e+22,6.228110280990e+06
1.070272166830e-13,5.000000015240e-02,2.011035010230e-03,9.479119756820e-01,2.825546509160e-06,7.416360868980e-05,1.000000000000e+04,4.000000615290e+03,4.000000059420e+03,4.000010954780e+03,4.000001209830e+03,9.380891896690e-04,2.500000000200e+03,1.810742629150e+22,6.228110284890e+06
1.186326249340e-13,5.000000016890e-02,2.011035057080e-03,9.479119756110e-01,2.825548249540e-06,7.416361443200e-05,1.000000000000e+04,4.000000682000e+03,4.000000065860e+03,4.000012142650e+03,4.000001341020e+03,9.380891896690e-04,2.500000000220e+03,1.810742629170e+22,6.228110288850e+06
1.304121143080e-13,5.000000018570e-02,2.011035104640e-03,9.479119755390e-01,2.825550016030e-06,7.416362026040e-05,1.000000000000e+04,4.000000749720e+03,4.000000072400e+03,4.000013348340e+03,4.000001474170e+03,9.380891896690e-04,2.500000000240e+03,1.810742629180e+22,6.228110292860e+06
1.423682960220e-13,5.000000020270e-02,2.011035152910e-03,9.479119754660e-01,2.825551809020e-06,7.416362617610e-05,1.000000000000e+04,4.000000818460e+03,4.000000079040e+03,4.000014572120e+03,4.000001609330e+03,9.380891896690e-04,2.500000000260e+03,1.810742629200e+22,6.228110296940e+06
1.545038204630e-13,5.000000022000e-02,2.011035201900e-03,9.479119753920e-01,2.825553628900e-06,7.416363218060e-05,1.000000000000e+04,4.000000888220e+03,4.000000085780e+03,4.000015814250e+03,4.000001746510e+03,9.380891896690e-04,2.500000000280e+03,1.810742629210e+22,6.228110301080e+06
1.668213777700e-13,5.000000023760e-02,2.011035251630e-03,9.479119753170e-01,2.825555476080e-06,7.416363827520e-05,1.000000000000e+04,4.000000959040e+03,4.000000092620e+03,4.000017075020e+03,4.000001885740e+03,9.380891896690e-04,2.500000000300e+03,1.810742629230e+22,6.228110305280e+06
1.793236984360e-13,5.000000025540e-02,2.011035302100e-03,9.479119752410e-01,2.825557350960e-06,7.416364446120e-05,1.000000000000e+04,4.000001030910e+03,4.000000099560e+03,4.000018354690e+03,4.000002027070e+03,9.380891896690e-04,2.500000000330e+03,1.810742629250e+22,6.228110309540e+06
