t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,7.413073770720e-19,1.000000000000e-25,1.000000000000e-25,3.456268696930e-17,1.000000000000e-25,2.311476722730e-08,1.000082113520e-25,9.499999768850e-01,1.000000000000e+04,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,7.504713517360e-03,2.000000000000e+04,1.448594103210e+23,4.526094660770e+06
1.000000000000e-14,5.000000003110e-02,2.962162544910e-10,5.191128949140e-12,1.025516692750e-12,2.269360581630e-10,6.267654189490e-14,2.398852952240e-08,4.122756621010e-11,9.499999754100e-01,1.000000000000e+04,5.635270958880e+03,5.454447488820e+03,5.908872399540e+03,5.986602475120e+03,4.053721045460e+02,6.777083487790e+02,6.314509026440e+03,5.000001185220e+02,7.504713517360e-03,2.000000000030e+04,1.448594103230e+23,4.526094706480e+06
2.015000000000e-14,5.000000006270e-02,5.968757543150e-10,1.046012443200e-11,2.066416232750e-12,4.572761236360e-10,1.262932166430e-13,2.487539825930e-08,8.307354586970e-11,9.499999739120e-01,1.000000000000e+04,5.635270996430e+03,5.454447267380e+03,5.908872436790e+03,5.986603987260e+03,4.053720966990e+02,8.271216355850e+02,6.314509010650e+03,5.000002388210e+02,7.504713517360e-03,2.000000000060e+04,1.448594103250e+23,4.526094752870e+06
3.045225000000e-14,5.000000009480e-02,9.020451489740e-10,1.580815443480e-11,3.122929365980e-12,6.910712917420e-10,1.908641257730e-13,2.577557003490e-08,1.255472151860e-10,9.499999723920e-01,1.000000000000e+04,5.635271026610e+03,5.454447042510e+03,5.908872474510e+03,5.986604496820e+03,4.053720887170e+02,9.592220882260e+02,6.314508994650e+03,5.000003609250e+02,7.504713517360e-03,2.000000000100e+04,1.448594103280e+23,4.526094799960e+06
4.090903375000e-14,5.000000012740e-02,1.211792086980e-09,2.123640446300e-11,4.195290299750e-12,9.283733891520e-10,2.564035823320e-13,2.668924439510e-08,1.686579895060e-10,9.499999708490e-01,1.000000000000e+04,5.635271055460e+03,5.454446814230e+03,5.908872512860e+03,5.986604767850e+03,4.053720806070e+02,1.079165816880e+03,6.314508978420e+03,5.000004848600e+02,7.504713517360e-03,2.000000000130e+04,1.448594103300e+23,4.526094847750e+06
5.152266925620e-14,5.000000016040e-02,1.526185231570e-09,2.674607780430e-11,5.283736754570e-12,1.169235019940e-09,3.229261140500e-13,2.761662387890e-08,2.124154254090e-10,9.499999692830e-01,1.000000000000e+04,5.635271084110e+03,5.454446582520e+03,5.908872551920e+03,5.986604944960e+03,4.053720723720e+02,1.189833332660e+03,6.314508961970e+03,5.000006106550e+02,7.504713517360e-03,2.000000000160e+04,1.448594103330e+23,4.526094896260e+06
6.229550929510e-14,5.000000019400e-02,1.845294275940e-09,3.233839579550e-11,6.388510016880e-12,1.413709577250e-09,3.904464665590e-13,2.855791406320e-08,2.568292228200e-10,9.499999676930e-01,1.000000000000e+04,5.635271112920e+03,5.454446347340e+03,5.908872591720e+03,5.986605074990e+03,4.053720640130e+02,1.293048566580e+03,6.314508945290e+03,5.000007383360e+02,7.504713517360e-03,2.000000000200e+04,1.448594103350e+23,4.526094945490e+06
7.322994193450e-14,5.000000022800e-02,2.169189958700e-09,3.801459809290e-11,7.509854992520e-12,1.661851255110e-09,4.589796066630e-13,2.951332360850e-08,3.019092271650e-10,9.499999660800e-01,1.000000000000e+04,5.635271142070e+03,5.454446108660e+03,5.908872632270e+03,5.986605178200e+03,4.053720555320e+02,1.390069254190e+03,6.314508928390e+03,5.000008679330e+02,7.504713517360e-03,2.000000000230e+04,1.448594103380e+23,4.526094995470e+06
8.432839106350e-14,5.000000026260e-02,2.497944079530e-09,4.377594294740e-11,8.648020260990e-12,1.913715060470e-09,5.285407256470e-13,3.048306430530e-08,3.476654315490e-10,9.499999644420e-01,1.000000000000e+04,5.635271171610e+03,5.454445866420e+03,5.908872673590e+03,5.986605264630e+03,4.053720469270e+02,1.481808243140e+03,6.314508911260e+03,5.000009994730e+02,7.504713517360e-03,2.000000000270e+04,1.448594103400e+23,4.526095046190e+06
9.559331692950e-14,5.000000029760e-02,2.831629515130e-09,4.962370748300e-11,9.803258130630e-12,2.169356825390e-09,5.991452426520e-13,3.146735112100e-08,3.941079789750e-10,9.499999627800e-01,1.000000000000e+04,5.635271201600e+03,5.454445620570e+03,5.908872715680e+03,5.986605340040e+03,4.053720381970e+02,1.568959234300e+03,6.314508893890e+03,5.000011329870e+02,7.504713517360e-03,2.000000000310e+04,1.448594103430e+23,4.526095097680e+06
