t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,6.899786908990e-03,1.170139858820e-05,1.162564674150e-06,9.925957989160e-03,4.020329252030e-07,1.051914410470e-01,3.330091499470e-04,8.276365389090e-01,1.000000000000e+04,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,9.380891896690e-04,2.500000000000e+03,1.810742629010e+22,6.227993105050e+06
1.000000000000e-14,5.000000001420e-02,6.899787025060e-03,1.170140005410e-05,1.162565546100e-06,9.925958036370e-03,4.020329295120e-07,1.051914411230e-01,3.330091605730e-04,8.276365386420e-01,1.000000000000e+04,4.000000033420e+03,4.000000143420e+03,4.000001442590e+03,4.000000015080e+03,3.999997052340e+03,4.000000007740e+03,4.000000069250e+03,4.000000006120e+03,9.380891896690e-04,2.500000000020e+03,1.810742629020e+22,6.227993108470e+06
2.015000000000e-14,5.000000002870e-02,6.899787142880e-03,1.170140154200e-05,1.162566431120e-06,9.925958084300e-03,4.020329338850e-07,1.051914412000e-01,3.330091713580e-04,8.276365383720e-01,1.000000000000e+04,4.000000067350e+03,4.000000289000e+03,4.000002906810e+03,4.000000030380e+03,3.999994060460e+03,4.000000015600e+03,4.000000139540e+03,4.000000012330e+03,9.380891896690e-04,2.500000000040e+03,1.810742629040e+22,6.227993111930e+06
3.045225000000e-14,5.000000004340e-02,6.899787262460e-03,1.170140305230e-05,1.162567329420e-06,9.925958132950e-03,4.020329383240e-07,1.051914412780e-01,3.330091823060e-04,8.276365380970e-01,1.000000000000e+04,4.000000101780e+03,4.000000436760e+03,4.000004393000e+03,4.000000045910e+03,3.999991023700e+03,4.000000023570e+03,4.000000210890e+03,4.000000018640e+03,9.380891896690e-04,2.500000000060e+03,1.810742629050e+22,6.227993115440e+06
4.090903375000e-14,5.000000005830e-02,6.899787383830e-03,1.170140458520e-05,1.162568241200e-06,9.925958182320e-03,4.020329428290e-07,1.051914413580e-01,3.330091934170e-04,8.276365378190e-01,1.000000000000e+04,4.000000136730e+03,4.000000586730e+03,4.000005901480e+03,4.000000061680e+03,3.999987941390e+03,4.000000031660e+03,4.000000283300e+03,4.000000025040e+03,9.380891896690e-04,2.500000000070e+03,1.810742629060e+22,6.227993119010e+06
5.152266925620e-14,5.000000007340e-02,6.899787507030e-03,1.170140614100e-05,1.162569166650e-06,9.925958232440e-03,4.020329474030e-07,1.051914414380e-01,3.330092046950e-04,8.276365375360e-01,1.000000000000e+04,4.000000172200e+03,4.000000738960e+03,4.000007432590e+03,4.000000077680e+03,3.999984812850e+03,4.000000039880e+03,4.000000356800e+03,4.000000031540e+03,9.380891896690e-04,2.500000000090e+03,1.810742629080e+22,6.227993122630e+06
6.229550929510e-14,5.000000008870e-02,6.899787632070e-03,1.170140772030e-05,1.162570105980e-06,9.925958283310e-03,4.020329520440e-07,1.051914415200e-01,3.330092161420e-04,8.276365372490e-01,1.000000000000e+04,4.000000208210e+03,4.000000893470e+03,4.000008986670e+03,4.000000093920e+03,3.999981637380e+03,4.000000048220e+03,4.000000431400e+03,4.000000038130e+03,9.380891896690e-04,2.500000000110e+03,1.810742629090e+22,6.227993126300e+06
7.322994193450e-14,5.000000010430e-02,6.899787758990e-03,1.170140932320e-05,1.162571059410e-06,9.925958334940e-03,4.020329567560e-07,1.051914416030e-01,3.330092277610e-04,8.276365369580e-01,1.000000000000e+04,4.000000244750e+03,4.000001050300e+03,4.000010564050e+03,4.000000110410e+03,3.999978414270e+03,4.000000056680e+03,4.000000507130e+03,4.000000044830e+03,9.380891896690e-04,2.500000000130e+03,1.810742629110e+22,6.227993130030e+06
8.432839106350e-14,5.000000012010e-02,6.899787887810e-03,1.170141095020e-05,1.162572027130e-06,9.925958387350e-03,4.020329615380e-07,1.051914416870e-01,3.330092395540e-04,8.276365366620e-01,1.000000000000e+04,4.000000281840e+03,4.000001209470e+03,4.000012165100e+03,4.000000127140e+03,3.999975142820e+03,4.000000065270e+03,4.000000583980e+03,4.000000051620e+03,9.380891896690e-04,2.500000000150e+03,1.810742629120e+22,6.227993133820e+06
9.559331692950e-14,5.000000013610e-02,6.899788018570e-03,1.170141260150e-05,1.162573009370e-06,9.925958440540e-03,4.020329663910e-07,1.051914417730e-01,3.330092515240e-04,8.276365363620e-01,1.000000000000e+04,4.000000319490e+03,4.000001371040e+03,4.000013790160e+03,4.000000144120e+03,3.999971822300e+03,4.000000073990e+03,4.000000661990e+03,4.000000058510e+03,9.380891896690e-04,2.500000000170e+03,1.810742629140e+22,6.227993137660e+06
