t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,9.544853218320e-14,1.000000000200e-25,1.009793369070e-25,1.000000000000e-25,1.031172179600e-25,1.000082113360e-25,9.500000000000e-01,3.910125573120e-22,1.000000000000e+04,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,7.504713517360e-03,2.000000000000e+04,1.448594103210e+23,4.526094661400e+06
1.000000000000e-14,5.000000003110e-02,3.231969538210e-10,1.568091391200e-11,2.883943286120e-11,3.231912922970e-12,6.174037394700e-11,3.159783876830e-11,9.499999994220e-01,8.237847398960e-11,1.000000000000e+04,5.596150311580e+03,5.927830522970e+03,5.816650548150e+03,4.562938135560e+03,7.178110557020e+03,6.169694877370e+03,5.000001318170e+02,5.801615981010e+03,7.504713517360e-03,2.000000000030e+04,1.448594103230e+23,4.526094707100e+06
2.015000000000e-14,5.000000006270e-02,6.511449821440e-10,3.159704125090e-11,5.811145744540e-11,6.512304197240e-12,1.244068545350e-10,6.366964523500e-11,9.499999988360e-01,1.659926256910e-10,1.000000000000e+04,5.597679047340e+03,5.927830475060e+03,5.816650581000e+03,4.562937860440e+03,7.178110590380e+03,6.169694878270e+03,5.000002656120e+02,5.801616011340e+03,7.504713517360e-03,2.000000000060e+04,1.448594103250e+23,4.526094753500e+06
3.045225000000e-14,5.000000009480e-02,9.840122313610e-10,4.775191020950e-11,8.782256263530e-11,9.841900987710e-12,1.880133333950e-10,9.622252891890e-11,9.499999982410e-01,2.508609902890e-10,1.000000000000e+04,5.598186397170e+03,5.927830426420e+03,5.816650614330e+03,4.562937581190e+03,7.178110624240e+03,6.169694879180e+03,5.000004014140e+02,5.801616042120e+03,7.504713517360e-03,2.000000000100e+04,1.448594103280e+23,4.526094800580e+06
4.090903375000e-14,5.000000012740e-02,1.321872489800e-09,6.414910190350e-11,1.179793346470e-10,1.322144136650e-11,2.525739105320e-10,1.292637059820e-10,9.499999976370e-01,3.370023809960e-10,1.000000000000e+04,5.598450871520e+03,5.927830377060e+03,5.816650648170e+03,4.562937297750e+03,7.178110658610e+03,6.169694880110e+03,5.000005392530e+02,5.801616073350e+03,7.504713517360e-03,2.000000000130e+04,1.448594103300e+23,4.526094848370e+06
5.152266925620e-14,5.000000016040e-02,1.664800652610e-09,8.079225116470e-11,1.485884584910e-10,1.665167447630e-11,3.181028974550e-10,1.628005008290e-10,9.499999970230e-01,4.244358932230e-10,1.000000000000e+04,5.598595415730e+03,5.927830326960e+03,5.816650682520e+03,4.562937010060e+03,7.178110693500e+03,6.169694881050e+03,5.000006791590e+02,5.801616105040e+03,7.504713517360e-03,2.000000000160e+04,1.448594103330e+23,4.526094896880e+06
6.229550929510e-14,5.000000019400e-02,2.012872738370e-09,9.768504734730e-11,1.796567194520e-10,2.013336069700e-11,3.846148203440e-10,1.968403477300e-10,9.499999964010e-01,5.131809088120e-10,1.000000000000e+04,5.598688094080e+03,5.927830276100e+03,5.816650717370e+03,4.562936718050e+03,7.178110728910e+03,6.169694882000e+03,5.000008211630e+02,5.801616137210e+03,7.504713517360e-03,2.000000000200e+04,1.448594103350e+23,4.526094946120e+06
7.322994193450e-14,5.000000022800e-02,2.366165905950e-09,1.148312351460e-10,2.111910045940e-10,2.366727181340e-11,4.521244232730e-10,2.313907924700e-10,9.499999957690e-01,6.032571003340e-10,1.000000000000e+04,5.598758220970e+03,5.927830224490e+03,5.816650752760e+03,4.562936421660e+03,7.178110764850e+03,6.169694882970e+03,5.000009652980e+02,5.801616169860e+03,7.504713517360e-03,2.000000000230e+04,1.448594103380e+23,4.526094996100e+06
8.432839106350e-14,5.000000026260e-02,2.724758471590e-09,1.322346154240e-10,2.431983042880e-10,2.725419118690e-11,5.206466714800e-10,2.664594940210e-10,9.499999951280e-01,6.946844354490e-10,1.000000000000e+04,5.598813247500e+03,5.927830172090e+03,5.816650788670e+03,4.562936120830e+03,7.178110801330e+03,6.169694883950e+03,5.000011115950e+02,5.801616203000e+03,7.504713517360e-03,2.000000000270e+04,1.448594103400e+23,4.526095046820e+06
9.559331692950e-14,5.000000029760e-02,3.088729926270e-09,1.498990460600e-10,2.756857137610e-10,3.089491392920e-11,5.901967546810e-10,3.020542262390e-10,9.499999944770e-01,7.874831813340e-10,1.000000000000e+04,5.598857560610e+03,5.927830118920e+03,5.816650825120e+03,4.562935815480e+03,7.178110838360e+03,6.169694884950e+03,5.000012600860e+02,5.801616236640e+03,7.504713517360e-03,2.000000000310e+04,1.448594103430e+23,4.526095098310e+06
1.070272166830e-13,5.000000033320e-02,3.458160953350e-09,1.678284427970e-10,3.086604346680e-10,3.459024707790e-11,6.607900904390e-10,3.381828795880e-10,9.499999938170e-01,8.816739091720e-10,1.000000000000e+04,5.598893635320e+03,5.927830064940e+03,5.816650862120e+03,4.562935505550e+03,7.178110875940e+03,6.169694885960e+03,5.000014108050e+02,5.801616270780e+03,7.504713517360e-03,2.000000000340e+04,1.448594103460e+23,4.526095150570e+06
