t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,2.351696126180e-02,6.936267421480e-05,2.584918216920e-04,7.143538642100e-06,9.890914470870e-04,2.906181872730e-04,9.226081292570e-01,2.260201812500e-03,1.000000000000e+04,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,9.380891896690e-04,2.500000000000e+03,1.810742629010e+22,6.228052023030e+06
1.000000000000e-14,5.000000001420e-02,2.351696131420e-02,6.936267839390e-05,2.584918363260e-04,7.143539544520e-06,9.890914729880e-04,2.906181955370e-04,9.226081291180e-01,2.260201830900e-03,1.000000000000e+04,4.000000010420e+03,4.000000118330e+03,4.000000127000e+03,4.000000056130e+03,4.000000050910e+03,4.000000067090e+03,4.000000005800e+03,4.000000020580e+03,9.380891896690e-04,2.500000000020e+03,1.810742629020e+22,6.228052026440e+06
2.015000000000e-14,5.000000002870e-02,2.351696136750e-02,6.936268263580e-05,2.584918511780e-04,7.143540460480e-06,9.890914992760e-04,2.906182039250e-04,9.226081289770e-01,2.260201849580e-03,1.000000000000e+04,4.000000021000e+03,4.000000238440e+03,4.000000255910e+03,4.000000113110e+03,4.000000102580e+03,4.000000135190e+03,4.000000011690e+03,4.000000041470e+03,9.380891896690e-04,2.500000000040e+03,1.810742629040e+22,6.228052029900e+06
3.045225000000e-14,5.000000004340e-02,2.351696142150e-02,6.936268694120e-05,2.584918662540e-04,7.143541390170e-06,9.890915259600e-04,2.906182124390e-04,9.226081288340e-01,2.260201868550e-03,1.000000000000e+04,4.000000031740e+03,4.000000360350e+03,4.000000386760e+03,4.000000170930e+03,4.000000155030e+03,4.000000204310e+03,4.000000017670e+03,4.000000062670e+03,9.380891896690e-04,2.500000000060e+03,1.810742629050e+22,6.228052033420e+06
4.090903375000e-14,5.000000005830e-02,2.351696147630e-02,6.936269131130e-05,2.584918815560e-04,7.143542333810e-06,9.890915530430e-04,2.906182210810e-04,9.226081286880e-01,2.260201887790e-03,1.000000000000e+04,4.000000042640e+03,4.000000484090e+03,4.000000519560e+03,4.000000229630e+03,4.000000208270e+03,4.000000274460e+03,4.000000023740e+03,4.000000084190e+03,9.380891896690e-04,2.500000000070e+03,1.810742629060e+22,6.228052036980e+06
5.152266925620e-14,5.000000007340e-02,2.351696153190e-02,6.936269574690e-05,2.584918970870e-04,7.143543291610e-06,9.890915805330e-04,2.906182298520e-04,9.226081285410e-01,2.260201907330e-03,1.000000000000e+04,4.000000053700e+03,4.000000609680e+03,4.000000654360e+03,4.000000289210e+03,4.000000262300e+03,4.000000345670e+03,4.000000029900e+03,4.000000106030e+03,9.380891896690e-04,2.500000000090e+03,1.810742629080e+22,6.228052040600e+06
6.229550929510e-14,5.000000008870e-02,2.351696158840e-02,6.936270024900e-05,2.584919128510e-04,7.143544263770e-06,9.890916084350e-04,2.906182387540e-04,9.226081283910e-01,2.260201927160e-03,1.000000000000e+04,4.000000064930e+03,4.000000737160e+03,4.000000791180e+03,4.000000349680e+03,4.000000317150e+03,4.000000417940e+03,4.000000036150e+03,4.000000128200e+03,9.380891896690e-04,2.500000000110e+03,1.810742629090e+22,6.228052044280e+06
7.322994193450e-14,5.000000010430e-02,2.351696164570e-02,6.936270481870e-05,2.584919288520e-04,7.143545250510e-06,9.890916367560e-04,2.906182477910e-04,9.226081282390e-01,2.260201947280e-03,1.000000000000e+04,4.000000076330e+03,4.000000866550e+03,4.000000930060e+03,4.000000411050e+03,4.000000372810e+03,4.000000491300e+03,4.000000042490e+03,4.000000150710e+03,9.380891896690e-04,2.500000000130e+03,1.810742629110e+22,6.228052048010e+06
8.432839106350e-14,5.000000012010e-02,2.351696170390e-02,6.936270945690e-05,2.584919450920e-04,7.143546252050e-06,9.890916655010e-04,2.906182569630e-04,9.226081280850e-01,2.260201967710e-03,1.000000000000e+04,4.000000087900e+03,4.000000997880e+03,4.000001071010e+03,4.000000473350e+03,4.000000429320e+03,4.000000565760e+03,4.000000048930e+03,4.000000173550e+03,9.380891896690e-04,2.500000000150e+03,1.810742629120e+22,6.228052051790e+06
9.559331692950e-14,5.000000013610e-02,2.351696176290e-02,6.936271416460e-05,2.584919615770e-04,7.143547268620e-06,9.890916946780e-04,2.906182662720e-04,9.226081279290e-01,2.260201988440e-03,1.000000000000e+04,4.000000099640e+03,4.000001131180e+03,4.000001214080e+03,4.000000536590e+03,4.000000486670e+03,4.000000641340e+03,4.000000055470e+03,4.000000196730e+03,9.380891896690e-04,2.500000000170e+03,1.810742629140e+22,6.228052055630e+06
