t,X_O,X_O2,Th,Tv,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,9.500000000000e-01,1.000000000000e+04,5.000000000000e+02,7.504713517360e-03,2.000000000000e+04,1.448594103210e+23,6.930914601370e+06
1.000000000000e-14,5.000000133810e-02,9.499999986620e-01,1.000000000000e+04,5.000016941310e+02,7.504713517360e-03,2.000000001370e+04,1.448594104200e+23,6.930914710150e+06
2.015000000000e-14,5.000000269630e-02,9.499999973040e-01,1.000000000000e+04,5.000034136580e+02,7.504713517360e-03,2.000000002770e+04,1.448594105210e+23,6.930914820570e+06
3.045225000000e-14,5.000000407490e-02,9.499999959250e-01,1.000000000000e+04,5.000051589620e+02,7.504713517360e-03,2.000000004180e+04,1.448594106240e+23,6.930914932640e+06
4.090903375000e-14,5.000000547410e-02,9.499999945260e-01,1.000000000000e+04,5.000069304290e+02,7.504713517360e-03,2.000000005610e+04,1.448594107270e+23,6.930915046400e+06
5.152266925620e-14,5.000000689440e-02,9.499999931060e-01,1.000000000000e+04,5.000087284510e+02,7.504713517360e-03,2.000000007070e+04,1.448594108330e+23,6.930915161860e+06
6.229550929510e-14,5.000000833590e-02,9.499999916640e-01,1.000000000000e+04,5.000105534260e+02,7.504713517360e-03,2.000000008550e+04,1.448594109400e+23,6.930915279050e+06
7.322994193450e-14,5.000000979910e-02,9.499999902010e-01,1.000000000000e+04,5.000124057570e+02,7.504713517360e-03,2.000000010050e+04,1.448594110490e+23,6.930915398000e+06
8.432839106350e-14,5.000001128420e-02,9.499999887160e-01,1.000000000000e+04,5.000142858550e+02,7.504713517360e-03,2.000000011570e+04,1.448594111590e+23,6.930915518730e+06
9.559331692950e-14,5.000001279160e-02,9.499999872080e-01,1.000000000000e+04,5.000161941350e+02,7.504713517360e-03,2.000000013120e+04,1.448594112710e+23,6.930915641280e+06
1.070272166830e-13,5.000001432160e-02,9.499999856780e-01,1.000000000000e+04,5.000181310190e+02,7.504713517360e-03,2.000000014690e+04,1.448594113850e+23,6.930915765660e+06
1.186326249340e-13,5.000001587450e-02,9.499999841250e-01,1.000000000000e+04,5.000200969370e+02,7.504713517360e-03,2.000000016280e+04,1.448594115000e+23,6.930915891900e+06
1.304121143080e-13,5.000001745080e-02,9.499999825490e-01,1.000000000000e+04,5.000220923220e+02,7.504713517360e-03,2.000000017900e+04,1.448594116170e+23,6.930916020040e+06
1.423682960220e-13,5.000001905060e-02,9.499999809490e-01,1.000000000000e+04,5.000241176160e+02,7.504713517360e-03,2.000000019540e+04,1.448594117360e+23,6.930916150110e+06
1.545038204630e-13,5.000002067450e-02,9.499999793250e-01,1.000000000000e+04,5.000261732680e+02,7.504713517360e-03,2.000000021200e+04,1.448594118570e+23,6.930916282120e+06
1.668213777700e-13,5.000002232280e-02,9.499999776770e-01,1.000000000000e+04,5.000282597310e+02,7.504713517360e-03,2.000000022900e+04,1.448594119790e+23,6.930916416110e+06
1.793236984360e-13,5.000002399570e-02,9.499999760040e-01,1.000000000000e+04,5.000303774680e+02,7.504713517360e-03,2.000000024610e+04,1.448594121030e+23,6.930916552110e+06
1.920135539130e-13,5.000002569380e-02,9.499999743060e-01,1.000000000000e+04,5.000325269460e+02,7.504713517360e-03,2.000000026350e+04,1.448594122300e+23,6.930916690150e+06
2.048937572210e-13,5.000002741730e-02,9.499999725830e-01,1.000000000000e+04,5.000347086420e+02,7.504713517360e-03,2.000000028120e+04,1.448594123580e+23,6.930916830260e+06
2.179671635800e-13,5.000002916670e-02,9.499999708330e-01,1.000000000000e+04,5.000369230370e+02,7.504713517360e-03,2.000000029910e+04,1.448594124880e+23,6.930916972470e+06
2.312366710330e-13,5.000003094230e-02,9.499999690580e-01,1.000000000000e+04,5.000391706210e+02,7.504713517360e-03,2.000000031740e+04,1.448594126190e+23,6.930917116820e+06
2.447052210990e-13,5.000003274460e-02,9.499999672550e-01,1.000000000000e+04,5.000414518920e+02,7.504713517360e-03,2.000000033580e+04,1.448594127530e+23,6.930917263320e+06
2.583757994150e-13,5.000003457390e-02,9.499999654260e-01,1.000000000000e+04,5.000437673530e+02,7.504713517360e-03,2.000000035460e+04,1.448594128890e+23,6.930917412030e+06
2.722514364070e-13,5.000003643060e-02,9.499999635690e-01,1.000000000000e+04,5.000461175180e+02,7.504713517360e-03,2.000000037360e+04,1.448594130270e+23,6.930917562960e+06
2.863352079530e-13,5.000003831520e-02,9.499999616850e-01,1.000000000000e+04,5.000485029050e+02,7.504713517360e-03,2.000000039300e+04,1.448594131670e+23,6.930917716160e+06
3.006302360720e-13,5.000004022800e-02,9.499999597720e-01,1.000000000000e+04,5.000509240420e+02,7.504713517360e-03,2.000000041260e+04,1.448594133090e+23,6.930917871660e+06
3.151396896130e-13,5.000004216960e-02,9.499999578300e-01,1.000000000000e+04,5.000533814650e+02,7.504713517360e-03,2.000000043250e+04,1.448594134530e+23,6.930918029490e+06
3.298667849570e-13,5.000004414030e-02,9.499999558600e-01,1.000000000000e+04,5.000558757170e+02,7.504713517360e-03,2.000000045270e+04,1.448594136000e+23,6.930918189680e+06
3.448147867320e-13,5.000004614050e-02,9.499999538600e-01,1.000000000000e+04,5.000584073490e+02,7.504713517360e-03,2.000000047320e+04,1.448594137480e+23,6.930918352280e+06
3.599870085330e-13,5.000004817070e-02,9.499999518290e-01,1.000000000000e+04,5.000609769200e+02,7.504713517360e-03,2.000000049410e+04,1.448594138990e+23,6.930918517310e+06
3.753868136610e-13,5.000005023140e-02,9.499999497690e-01,1.000000000000e+04,5.000635850000e+02,7.504713517360e-03,2.000000051520e+04,1.448594140520e+23,6.930918684820e+06
3.910176158650e-13,5.000005232300e-02,9.499999476770e-01,1.000000000000e+04,5.000662321630e+02,7.504713517360e-03,2.000000053660e+04,1.448594142080e+23,6.930918854840e+06
4.068828801030e-13,5.000005444600e-02,9.499999455540e-01,1.000000000000e+04,5.000689189970e+02,7.504713517360e-03,2.000000055840e+04,1.448594143650e+23,6.930919027410e+06
4.229861233050e-13,5.000005660080e-02,9.499999433990e-01,1.000000000000e+04,5.000716460930e+02,7.504713517360e-03,2.000000058050e+04,1.448594145250e+23,6.930919202570e+06
4.393309151550e-13,5.000005878790e-02,9.499999412120e-01,1.000000000000e+04,5.000744140560e+02,7.504713517360e-03,2.000000060300e+04,1.448594146880e+23,6.930919380350e+06
4.559208788820e-13,5.000006100790e-02,9.499999389920e-01,1.000000000000e+04,5.000772234960e+02,7.504713517360e-03,2.000000062570e+04,1.448594148530e+23,6.930919560800e+06
4.727596920650e-13,5.000006326110e-02,9.499999367390e-01,1.000000000000e+04,5.000800750360e+02,7.504713517360e-03,2.000000064880e+04,1.448594150200e+23,6.930919743960e+06
4.898510874460e-13,5.000006554810e-02,9.499999344520e-01,1.000000000000e+04,5.000829693040e+02,7.504713517360e-03,2.000000067230e+04,1.448594151900e+23,6.930919929860e+06
5.071988537580e-13,5.000006786950e-02,9.499999321310e-01,1.000000000000e+04,5.000859069410e+02,7.504713517360e-03,2.000000069610e+04,1.448594153630e+23,6.930920118550e+06
5.248068365640e-13,5.000007022570e-02,9.499999297740e-01,1.000000000000e+04,5.000888885960e+02,7.504713517360e-03,2.000000072030e+04,1.448594155380e+23,6.930920310070e+06
5.426789391130e-13,5.000007261720e-02,9.499999273830e-01,1.000000000000e+04,5.000919149270e+02,7.504713517360e-03,2.000000074480e+04,1.448594157150e+23,6.930920504460e+06
5.608191231990e-13,5.000007504460e-02,9.499999249550e-01,1.000000000000e+04,5.000949866040e+02,7.504713517360e-03,2.000000076970e+04,1.448594158960e+23,6.930920701770e+06
5.792314100470e-13,5.000007750840e-02,9.499999224920e-01,1.000000000000e+04,5.000981043040e+02,7.504713517360e-03,2.000000079500e+04,1.448594160790e+23,6.930920902030e+06
5.979198811980e-13,5.000008000910e-02,9.499999199910e-01,1.000000000000e+04,5.001012687180e+02,7.504713517360e-03,2.000000082060e+04,1.448594162640e+23,6.930921105300e+06
6.168886794160e-13,5.000008254740e-02,9.499999174530e-01,1.000000000000e+04,5.001044805430e+02,7.504713517360e-03,2.000000084660e+04,1.448594164530e+23,6.930921311610e+06
6.361420096070e-13,5.000008512370e-02,9.499999148760e-01,1.000000000000e+04,5.001077404900e+02,7.504713517360e-03,2.000000087310e+04,1.448594166440e+23,6.930921521020e+06
6.556841397510e-13,5.000008773870e-02,9.499999122610e-01,1.000000000000e+04,5.001110492780e+02,7.504713517360e-03,2.000000089990e+04,1.448594168390e+23,6.930921733560e+06
6.755194018480e-13,5.000009039290e-02,9.499999096070e-01,1.000000000000e+04,5.001144076390e+02,7.504713517360e-03,2.000000092710e+04,1.448594170360e+23,6.930921949300e+06
6.956521928750e-13,5.000009308690e-02,9.499999069130e-01,1.000000000000e+04,5.001178163140e+02,7.504713517360e-03,2.000000095470e+04,1.448594172360e+23,6.930922168270e+06
7.160869757680e-13,5.000009582130e-02,9.499999041790e-01,1.000000000000e+04,5.001212760560e+02,7.504713517360e-03,2.000000098280e+04,1.448594174390e+23,6.930922390520e+06
7.368282804050e-13,5.000009859680e-02,9.499999014030e-01,1.000000000000e+04,5.001247876290e+02,7.504713517360e-03,2.000000101120e+04,1.448594176450e+23,6.930922616100e+06
7.578807046110e-13,5.000010141390e-02,9.499998985860e-01,1.000000000000e+04,5.001283518090e+02,7.504713517360e-03,2.000000104010e+04,1.448594178550e+23,6.930922845070e+06
7.792489151800e-13,5.000010427320e-02,9.499998957270e-01,1.000000000000e+04,5.001319693820e+02,7.504713517360e-03,2.000000106950e+04,1.448594180670e+23,6.930923077470e+06
8.009376489080e-13,5.000010717540e-02,9.499998928250e-01,1.000000000000e+04,5.001356411490e+02,7.504713517360e-03,2.000000109920e+04,1.448594182830e+23,6.930923313350e+06
8.229517136420e-13,5.000011012120e-02,9.499998898790e-01,1.000000000000e+04,5.001393679180e+02,7.504713517360e-03,2.000000112940e+04,1.448594185010e+23,6.930923552770e+06
8.452959893460e-13,5.000011311110e-02,9.499998868890e-01,1.000000000000e+04,5.001431505140e+02,7.504713517360e-03,2.000000116010e+04,1.448594187230e+23,6.930923795780e+06
8.679754291860e-13,5.000011614590e-02,9.499998838540e-01,1.000000000000e+04,5.001469897710e+02,7.504713517360e-03,2.000000119120e+04,1.448594189490e+23,6.930924042430e+06
8.909950606240e-13,5.000011922620e-02,9.499998807740e-01,1.000000000000e+04,5.001508865370e+02,7.504713517360e-03,2.000000122280e+04,1.448594191780e+23,6.930924292780e+06
9.143599865340e-13,5.000012235280e-02,9.499998776470e-01,1.000000000000e+04,5.001548416720e+02,7.504713517360e-03,2.000000125490e+04,1.448594194100e+23,6.930924546890e+06
9.380753863320e-13,5.000012552620e-02,9.499998744740e-01,1.000000000000e+04,5.001588560490e+02,7.504713517360e-03,2.000000128740e+04,1.448594196460e+23,6.930924804800e+06
9.621465171260e-13,5.000012874720e-02,9.499998712530e-01,1.000000000000e+04,5.001629305550e+02,7.504713517360e-03,2.000000132050e+04,1.448594198850e+23,6.930925066580e+06
9.865787148830e-13,5.000013201650e-02,9.499998679830e-01,1.000000000000e+04,5.001670660880e+02,7.504713517360e-03,2.000000135400e+04,1.448594201280e+23,6.930925332290e+06
1.011377395610e-12,5.000013533490e-02,9.499998646650e-01,1.000000000000e+04,5.001712635610e+02,7.504713517360e-03,2.000000138810e+04,1.448594203740e+23,6.930925601980e+06
1.036548056540e-12,5.000013870310e-02,9.499998612970e-01,1.000000000000e+04,5.001755239000e+02,7.504713517360e-03,2.000000142260e+04,1.448594206250e+23,6.930925875710e+06
1.062096277390e-12,5.000014212170e-02,9.499998578780e-01,1.000000000000e+04,5.001798480460e+02,7.504713517360e-03,2.000000145770e+04,1.448594208790e+23,6.930926153540e+06
1.088027721550e-12,5.000014559170e-02,9.499998544080e-01,1.000000000000e+04,5.001842369530e+02,7.504713517360e-03,2.000000149320e+04,1.448594211360e+23,6.930926435540e+06
1.114348137370e-12,5.000014911370e-02,9.499998508860e-01,1.000000000000e+04,5.001886915890e+02,7.504713517360e-03,2.000000152940e+04,1.448594213980e+23,6.930926721770e+06
1.141063359430e-12,5.000015268850e-02,9.499998473110e-01,1.000000000000e+04,5.001932129360e+02,7.504713517360e-03,2.000000156600e+04,1.448594216640e+23,6.930927012290e+06
1.168179309830e-12,5.000015631700e-02,9.499998436830e-01,1.000000000000e+04,5.001978019930e+02,7.504713517360e-03,2.000000160330e+04,1.448594219330e+23,6.930927307160e+06
1.195701999470e-12,5.000015999990e-02,9.499998400000e-01,1.000000000000e+04,5.002024597710e+02,7.504713517360e-03,2.000000164100e+04,1.448594222070e+23,6.930927606460e+06
1.223637529460e-12,5.000016373800e-02,9.499998362620e-01,1.000000000000e+04,5.002071872980e+02,7.504713517360e-03,2.000000167940e+04,1.448594224840e+23,6.930927910240e+06
1.251992092410e-12,5.000016753220e-02,9.499998324680e-01,1.000000000000e+04,5.002119856170e+02,7.504713517360e-03,2.000000171830e+04,1.448594227660e+23,6.930928218570e+06
1.280771973790e-12,5.000017138330e-02,9.499998286170e-01,1.000000000000e+04,5.002168557850e+02,7.504713517360e-03,2.000000175780e+04,1.448594230520e+23,6.930928531530e+06
1.309983553400e-12,5.000017529220e-02,9.499998247080e-01,1.000000000000e+04,5.002217988790e+02,7.504713517360e-03,2.000000179790e+04,1.448594233430e+23,6.930928849180e+06
1.339633306700e-12,5.000017925970e-02,9.499998207400e-01,1.000000000000e+04,5.002268159900e+02,7.504713517360e-03,2.000000183860e+04,1.448594236370e+23,6.930929171590e+06
1.369727806300e-12,5.000018328680e-02,9.499998167130e-01,1.000000000000e+04,5.002319082210e+02,7.504713517360e-03,2.000000187990e+04,1.448594239370e+23,6.930929498830e+06
1.400273723400e-12,5.000018737420e-02,9.499998126260e-01,1.000000000000e+04,5.002370766950e+02,7.504713517360e-03,2.000000192180e+04,1.448594242400e+23,6.930929830980e+06
1.431277829250e-12,5.000019152290e-02,9.499998084770e-01,1.000000000000e+04,5.002423225520e+02,7.504713517360e-03,2.000000196430e+04,1.448594245480e+23,6.930930168110e+06
1.462746996690e-12,5.000019573390e-02,9.499998042660e-01,1.000000000000e+04,5.002476469470e+02,7.504713517360e-03,2.000000200750e+04,1.448594248610e+23,6.930930510290e+06
1.494688201640e-12,5.000020000800e-02,9.499997999920e-01,1.000000000000e+04,5.002530510540e+02,7.504713517360e-03,2.000000205140e+04,1.448594251790e+23,6.930930857600e+06
1.527108524660e-12,5.000020434630e-02,9.499997956540e-01,1.000000000000e+04,5.002585360650e+02,7.504713517360e-03,2.000000209590e+04,1.448594255010e+23,6.930931210110e+06
1.560015152530e-12,5.000020874960e-02,9.499997912500e-01,1.000000000000e+04,5.002641031870e+02,7.504713517360e-03,2.000000214100e+04,1.448594258280e+23,6.930931567910e+06
1.593415379820e-12,5.000021321900e-02,9.499997867810e-01,1.000000000000e+04,5.002697536490e+02,7.504713517360e-03,2.000000218690e+04,1.448594261600e+23,6.930931931070e+06
1.627316610510e-12,5.000021775540e-02,9.499997822450e-01,1.000000000000e+04,5.002754886940e+02,7.504713517360e-03,2.000000223340e+04,1.448594264970e+23,6.930932299680e+06
1.661726359670e-12,5.000022235990e-02,9.499997776400e-01,1.000000000000e+04,5.002813095870e+02,7.504713517360e-03,2.000000228060e+04,1.448594268390e+23,6.930932673810e+06
1.696652255070e-12,5.000022703340e-02,9.499997729670e-01,1.000000000000e+04,5.002872176090e+02,7.504713517360e-03,2.000000232850e+04,1.448594271860e+23,6.930933053550e+06
1.732102038890e-12,5.000023177710e-02,9.499997682230e-01,1.000000000000e+04,5.002932140630e+02,7.504713517360e-03,2.000000237720e+04,1.448594275390e+23,6.930933438980e+06
1.768083569480e-12,5.000023659190e-02,9.499997634080e-01,1.000000000000e+04,5.002993002680e+02,7.504713517360e-03,2.000000242660e+04,1.448594278960e+23,6.930933830190e+06
