t,X_O,X_O2,Th,Tv,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,9.500000000000e-01,1.000000000000e+04,4.000000000000e+03,9.380891896690e-04,2.500000000000e+03,1.810742629010e+22,7.676757346630e+06
1.000000000000e-14,5.000000016730e-02,9.499999998330e-01,1.000000000000e+04,4.000000032540e+03,9.380891896690e-04,2.500000000210e+03,1.810742629170e+22,7.676757356050e+06
2.015000000000e-14,5.000000033700e-02,9.499999996630e-01,1.000000000000e+04,4.000000065570e+03,9.380891896690e-04,2.500000000430e+03,1.810742629320e+22,7.676757365610e+06
3.045225000000e-14,5.000000050940e-02,9.499999994910e-01,1.000000000000e+04,4.000000099090e+03,9.380891896690e-04,2.500000000650e+03,1.810742629480e+22,7.676757375320e+06
4.090903375000e-14,5.000000068430e-02,9.499999993160e-01,1.000000000000e+04,4.000000133120e+03,9.380891896690e-04,2.500000000880e+03,1.810742629650e+22,7.676757385160e+06
5.152266925620e-14,5.000000086180e-02,9.499999991380e-01,1.000000000000e+04,4.000000167660e+03,9.380891896690e-04,2.500000001100e+03,1.810742629810e+22,7.676757395160e+06
6.229550929510e-14,5.000000104200e-02,9.499999989580e-01,1.000000000000e+04,4.000000202710e+03,9.380891896690e-04,2.500000001340e+03,1.810742629980e+22,7.676757405310e+06
7.322994193450e-14,5.000000122490e-02,9.499999987750e-01,1.000000000000e+04,4.000000238290e+03,9.380891896690e-04,2.500000001570e+03,1.810742630150e+22,7.676757415610e+06
8.432839106350e-14,5.000000141050e-02,9.499999985890e-01,1.000000000000e+04,4.000000274410e+03,9.380891896690e-04,2.500000001810e+03,1.810742630320e+22,7.676757426060e+06
9.559331692950e-14,5.000000159900e-02,9.499999984010e-01,1.000000000000e+04,4.000000311060e+03,9.380891896690e-04,2.500000002050e+03,1.810742630490e+22,7.676757436670e+06
1.070272166830e-13,5.000000179020e-02,9.499999982100e-01,1.000000000000e+04,4.000000348270e+03,9.380891896690e-04,2.500000002300e+03,1.810742630670e+22,7.676757447440e+06
