t,X_O,X_O2,Th,Tv,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,9.500000000000e-01,1.000000000000e+04,5.000000000000e+02,7.504713517360e-03,2.000000000000e+04,1.448594103210e+23,6.930914601370e+06
1.000000000000e-14,5.000000122220e-02,9.499999987780e-01,1.000000000000e+04,5.000008928720e+02,7.504713517360e-03,2.000000001250e+04,1.448594104120e+23,6.930914663250e+06
2.015000000000e-14,5.000000246280e-02,9.499999975370e-01,1.000000000000e+04,5.000017991330e+02,7.504713517360e-03,2.000000002530e+04,1.448594105040e+23,6.930914726060e+06
3.045225000000e-14,5.000000372200e-02,9.499999962780e-01,1.000000000000e+04,5.000027189840e+02,7.504713517360e-03,2.000000003820e+04,1.448594105970e+23,6.930914789810e+06
4.090903375000e-14,5.000000500000e-02,9.499999950000e-01,1.000000000000e+04,5.000036526270e+02,7.504713517360e-03,2.000000005130e+04,1.448594106920e+23,6.930914854510e+06
5.152266925620e-14,5.000000629720e-02,9.499999937030e-01,1.000000000000e+04,5.000046002710e+02,7.504713517360e-03,2.000000006460e+04,1.448594107890e+23,6.930914920190e+06
6.229550929510e-14,5.000000761390e-02,9.499999923860e-01,1.000000000000e+04,5.000055621240e+02,7.504713517360e-03,2.000000007810e+04,1.448594108860e+23,6.930914986850e+06
7.322994193450e-14,5.000000895040e-02,9.499999910500e-01,1.000000000000e+04,5.000065384000e+02,7.504713517360e-03,2.000000009180e+04,1.448594109860e+23,6.930915054510e+06
8.432839106350e-14,5.000001030680e-02,9.499999896930e-01,1.000000000000e+04,5.000075293150e+02,7.504713517360e-03,2.000000010570e+04,1.448594110860e+23,6.930915123190e+06
9.559331692950e-14,5.000001168370e-02,9.499999883160e-01,1.000000000000e+04,5.000085350880e+02,7.504713517360e-03,2.000000011980e+04,1.448594111890e+23,6.930915192900e+06
1.070272166830e-13,5.000001308110e-02,9.499999869190e-01,1.000000000000e+04,5.000095559430e+02,7.504713517360e-03,2.000000013420e+04,1.448594112930e+23,6.930915263650e+06
1.186326249340e-13,5.000001449960e-02,9.499999855000e-01,1.000000000000e+04,5.000105921050e+02,7.504713517360e-03,2.000000014870e+04,1.448594113980e+23,6.930915335460e+06
1.304121143080e-13,5.000001593930e-02,9.499999840610e-01,1.000000000000e+04,5.000116438030e+02,7.504713517360e-03,2.000000016350e+04,1.448594115050e+23,6.930915408360e+06
1.423682960220e-13,5.000001740060e-02,9.499999825990e-01,1.000000000000e+04,5.000127112710e+02,7.504713517360e-03,2.000000017850e+04,1.448594116130e+23,6.930915482340e+06
1.545038204630e-13,5.000001888380e-02,9.499999811160e-01,1.000000000000e+04,5.000137947440e+02,7.504713517360e-03,2.000000019370e+04,1.448594117240e+23,6.930915557430e+06
1.668213777700e-13,5.000002038930e-02,9.499999796110e-01,1.000000000000e+04,5.000148944640e+02,7.504713517360e-03,2.000000020910e+04,1.448594118350e+23,6.930915633650e+06
1.793236984360e-13,5.000002191740e-02,9.499999780830e-01,1.000000000000e+04,5.000160106720e+02,7.504713517360e-03,2.000000022480e+04,1.448594119490e+23,6.930915711020e+06
1.920135539130e-13,5.000002346840e-02,9.499999765320e-01,1.000000000000e+04,5.000171436170e+02,7.504713517360e-03,2.000000024070e+04,1.448594120640e+23,6.930915789540e+06
2.048937572210e-13,5.000002504260e-02,9.499999749570e-01,1.000000000000e+04,5.000182935490e+02,7.504713517360e-03,2.000000025680e+04,1.448594121810e+23,6.930915869240e+06
2.179671635800e-13,5.000002664050e-02,9.499999733600e-01,1.000000000000e+04,5.000194607230e+02,7.504713517360e-03,2.000000027320e+04,1.448594123000e+23,6.930915950140e+06
2.312366710330e-13,5.000002826230e-02,9.499999717380e-01,1.000000000000e+04,5.000206453970e+02,7.504713517360e-03,2.000000028990e+04,1.448594124200e+23,6.930916032250e+06
2.447052210990e-13,5.000002990850e-02,9.499999700920e-01,1.000000000000e+04,5.000218478340e+02,7.504713517360e-03,2.000000030680e+04,1.448594125430e+23,6.930916115590e+06
2.583757994150e-13,5.000003157930e-02,9.499999684210e-01,1.000000000000e+04,5.000230682990e+02,7.504713517360e-03,2.000000032390e+04,1.448594126670e+23,6.930916200180e+06
2.722514364070e-13,5.000003327530e-02,9.499999667250e-01,1.000000000000e+04,5.000243070630e+02,7.504713517360e-03,2.000000034130e+04,1.448594127930e+23,6.930916286040e+06
2.863352079530e-13,5.000003499660e-02,9.499999650030e-01,1.000000000000e+04,5.000255644000e+02,7.504713517360e-03,2.000000035890e+04,1.448594129210e+23,6.930916373180e+06
3.006302360720e-13,5.000003674380e-02,9.499999632560e-01,1.000000000000e+04,5.000268405890e+02,7.504713517360e-03,2.000000037690e+04,1.448594130500e+23,6.930916461640e+06
3.151396896130e-13,5.000003851720e-02,9.499999614830e-01,1.000000000000e+04,5.000281359120e+02,7.504713517360e-03,2.000000039500e+04,1.448594131820e+23,6.930916551420e+06
