t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,Th,Tg_1,Tg_2,Tg_3,Tg_4,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,5.770408194200e-02,8.922111722820e-01,7.758787855090e-05,7.157897595670e-06,1.000000000000e+04,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,9.380891896690e-04,2.500000000000e+03,1.810742629010e+22,6.227996717800e+06
1.000000000000e-14,5.000000001420e-02,5.770408228790e-02,8.922111719120e-01,7.758788586510e-05,7.157900121570e-06,1.000000000000e+04,4.000000017280e+03,4.000000004580e+03,4.000000177070e+03,4.000001083740e+03,9.380891896690e-04,2.500000000020e+03,1.810742629020e+22,6.227996721210e+06
2.015000000000e-14,5.000000002870e-02,5.770408263900e-02,8.922111715360e-01,7.758789328890e-05,7.157902685350e-06,1.000000000000e+04,4.000000034830e+03,4.000000009230e+03,4.000000356800e+03,4.000002183730e+03,9.380891896690e-04,2.500000000040e+03,1.810742629040e+22,6.227996724670e+06
3.045225000000e-14,5.000000004340e-02,5.770408299540e-02,8.922111711550e-01,7.758790082410e-05,7.157905287590e-06,1.000000000000e+04,4.000000052630e+03,4.000000013940e+03,4.000000539220e+03,4.000003300230e+03,9.380891896690e-04,2.500000000060e+03,1.810742629050e+22,6.227996728180e+06
4.090903375000e-14,5.000000005830e-02,5.770408335710e-02,8.922111707680e-01,7.758790847240e-05,7.157907928870e-06,1.000000000000e+04,4.000000070710e+03,4.000000018730e+03,4.000000724380e+03,4.000004433470e+03,9.380891896690e-04,2.500000000070e+03,1.810742629060e+22,6.227996731750e+06
5.152266925620e-14,5.000000007340e-02,5.770408372420e-02,8.922111703760e-01,7.758791623530e-05,7.157910609760e-06,1.000000000000e+04,4.000000089050e+03,4.000000023590e+03,4.000000912320e+03,4.000005583710e+03,9.380891896690e-04,2.500000000090e+03,1.810742629080e+22,6.227996735370e+06
6.229550929510e-14,5.000000008870e-02,5.770408409690e-02,8.922111699770e-01,7.758792411480e-05,7.157913330870e-06,1.000000000000e+04,4.000000107670e+03,4.000000028520e+03,4.000001103080e+03,4.000006751200e+03,9.380891896690e-04,2.500000000110e+03,1.810742629090e+22,6.227996739040e+06
7.322994193450e-14,5.000000010430e-02,5.770408447510e-02,8.922111695720e-01,7.758793211240e-05,7.157916092790e-06,1.000000000000e+04,4.000000126570e+03,4.000000033530e+03,4.000001296690e+03,4.000007936210e+03,9.380891896690e-04,2.500000000130e+03,1.810742629110e+22,6.227996742770e+06
8.432839106350e-14,5.000000012010e-02,5.770408485900e-02,8.922111691620e-01,7.758794022990e-05,7.157918896150e-06,1.000000000000e+04,4.000000145750e+03,4.000000038610e+03,4.000001493220e+03,4.000009138990e+03,9.380891896690e-04,2.500000000150e+03,1.810742629120e+22,6.227996746560e+06
9.559331692950e-14,5.000000013610e-02,5.770408524860e-02,8.922111687450e-01,7.758794846930e-05,7.157921741550e-06,1.000000000000e+04,4.000000165220e+03,4.000000043770e+03,4.000001692690e+03,4.000010359810e+03,9.380891896690e-04,2.500000000170e+03,1.810742629140e+22,6.227996750400e+06
1.070272166830e-13,5.000000015240e-02,5.770408564420e-02,8.922111683220e-01,7.758795683220e-05,7.157924629630e-06,1.000000000000e+04,4.000000184980e+03,4.000000049000e+03,4.000001895150e+03,4.000011598920e+03,9.380891896690e-04,2.500000000200e+03,1.810742629150e+22,6.227996754300e+06
1.186326249340e-13,5.000000016890e-02,5.770408604560e-02,8.922111678930e-01,7.758796532050e-05,7.157927561040e-06,1.000000000000e+04,4.000000205040e+03,4.000000054320e+03,4.000002100650e+03,4.000012856640e+03,9.380891896690e-04,2.500000000220e+03,1.810742629170e+22,6.227996758260e+06
1.304121143080e-13,5.000000018570e-02,5.770408645310e-02,8.922111674570e-01,7.758797393620e-05,7.157930536420e-06,1.000000000000e+04,4.000000225400e+03,4.000000059710e+03,4.000002309230e+03,4.000014133220e+03,9.380891896690e-04,2.500000000240e+03,1.810742629180e+22,6.227996762270e+06
1.423682960220e-13,5.000000020270e-02,5.770408686660e-02,8.922111670140e-01,7.758798268110e-05,7.157933556420e-06,1.000000000000e+04,4.000000246070e+03,4.000000065180e+03,4.000002520940e+03,4.000015428960e+03,9.380891896690e-04,2.500000000260e+03,1.810742629200e+22,6.227996766350e+06
1.545038204630e-13,5.000000022000e-02,5.770408728640e-02,8.922111665650e-01,7.758799155720e-05,7.157936621730e-06,1.000000000000e+04,4.000000267040e+03,4.000000070740e+03,4.000002735820e+03,4.000016744130e+03,9.380891896690e-04,2.500000000280e+03,1.810742629210e+22,6.227996770490e+06
1.668213777700e-13,5.000000023750e-02,5.770408771250e-02,8.922111661100e-01,7.758800056650e-05,7.157939733020e-06,1.000000000000e+04,4.000000288330e+03,4.000000076380e+03,4.000002953930e+03,4.000018079020e+03,9.380891896690e-04,2.500000000300e+03,1.810742629230e+22,6.227996774690e+06
1.793236984360e-13,5.000000025530e-02,5.770408814490e-02,8.922111656470e-01,7.758800971090e-05,7.157942890980e-06,1.000000000000e+04,4.000000309940e+03,4.000000082100e+03,4.000003175310e+03,4.000019433940e+03,9.380891896690e-04,2.500000000330e+03,1.810742629250e+22,6.227996778960e+06
