t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,X_O2_9,X_O2_10,X_O2_11,X_O2_12,X_O2_13,X_O2_14,X_O2_15,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,Tg_9,Tg_10,Tg_11,Tg_12,Tg_13,Tg_14,Tg_15,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,9.499940438360e-01,5.956150653020e-06,1.337991004610e-11,3.571875598360e-17,6.520882433100e-23,1.001328299780e-25,1.000000002400e-25,1.000000000000e-25,1.000000000000e-25,1.000000000000e-25,1.000000000000e-25,1.000000000000e-25,1.000000000000e-25,1.000000000000e-25,1.000000000000e-25,1.000000000000e+04,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,7.504713517360e-03,2.000000000000e+04,1.448594103210e+23,4.526094568020e+06
1.000000000000e-14,5.000000003110e-02,9.499940357570e-01,5.961890233710e-06,1.400249853060e-09,5.302143468100e-10,2.125269200380e-10,9.701003724000e-11,4.599531178580e-11,2.188252856930e-11,1.018084819890e-11,2.956789638980e-12,7.928037161500e-13,1.742402245670e-13,3.354107810930e-14,5.211963326390e-15,5.301306019850e-16,1.000000000000e+04,5.000000625190e+02,5.017911144010e+02,4.242851351880e+03,5.173667853610e+03,6.284377225060e+03,6.279524980850e+03,6.997886645770e+03,5.902531116010e+03,5.510366496000e+03,6.357662779940e+03,5.497972894340e+03,3.707718697840e+03,1.243830977780e+04,4.383897280230e+03,3.462145884700e+03,7.504713517360e-03,2.000000000030e+04,1.448594103230e+23,4.526094613730e+06
2.015000000000e-14,5.000000006270e-02,9.499940275560e-01,5.967715908130e-06,2.807922863680e-09,1.068381885760e-09,4.282417504290e-10,1.954752281950e-10,9.268055464780e-11,4.409329562650e-11,2.051440909820e-11,5.957931102330e-12,1.597499519630e-12,3.510940763040e-13,6.758528412320e-14,1.050211057090e-14,1.068214471760e-15,1.000000000000e+04,5.000001259770e+02,5.036044811900e+02,4.299298924420e+03,5.173668458100e+03,6.284377230350e+03,6.279524994460e+03,6.997886632360e+03,5.902531155280e+03,5.510366300440e+03,6.357662909960e+03,5.497973026530e+03,3.707718983960e+03,1.243830670560e+04,4.383898255330e+03,3.462148920220e+03,7.504713517360e-03,2.000000000060e+04,1.448594103250e+23,4.526094660120e+06
3.045225000000e-14,5.000000009480e-02,9.499940192330e-01,5.973628967690e-06,4.236710988490e-09,1.614621951390e-09,6.471923100280e-10,2.954174002680e-10,1.400660775950e-10,6.663722476590e-11,3.100297338780e-11,9.004089666820e-12,2.414265792730e-12,5.306007603380e-13,1.021401653140e-13,1.587161462780e-14,1.614370948030e-15,1.000000000000e+04,5.000001903860e+02,5.054403157470e+02,4.318537880660e+03,5.173668672800e+03,6.284377235690e+03,6.279525008290e+03,6.997886618730e+03,5.902531195110e+03,5.510366101980e+03,6.357663041880e+03,5.497973160760e+03,3.707719274360e+03,1.243830358700e+04,4.383899244980e+03,3.462152000470e+03,7.504713517360e-03,2.000000000100e+04,1.448594103280e+23,4.526094707200e+06
4.090903375000e-14,5.000000012740e-02,9.499940107840e-01,5.979630723160e-06,5.686930954820e-09,2.169055632020e-09,8.694271349760e-10,3.968587082730e-10,1.881623848710e-10,8.951931343630e-11,4.164886611790e-11,1.209594058830e-11,3.243283593480e-12,7.128000698940e-13,1.372133821740e-13,2.132166598860e-14,2.168721160650e-15,1.000000000000e+04,5.000002557610e+02,5.072988339780e+02,4.328270962370e+03,5.173668790770e+03,6.284377241110e+03,6.279525022350e+03,6.997886604920e+03,5.902531235550e+03,5.510365900490e+03,6.357663175830e+03,5.497973296990e+03,3.707719569150e+03,1.243830042120e+04,4.383900249370e+03,3.462155126460e+03,7.504713517360e-03,2.000000000130e+04,1.448594103300e+23,4.526094754990e+06
5.152266925620e-14,5.000000016040e-02,9.499940022090e-01,5.985722504980e-06,7.158904240890e-09,2.731805832280e-09,1.094995489460e-09,4.998216393520e-10,2.369801382870e-10,1.127446340490e-10,5.245444721440e-11,1.523416925160e-11,4.084736695820e-12,8.977323951180e-13,1.728127101150e-13,2.685347300630e-14,2.731388057670e-15,1.000000000000e+04,5.000003221170e+02,5.091802522690e+02,4.334140196940e+03,5.173668869910e+03,6.284377246620e+03,6.279525036640e+03,6.997886590910e+03,5.902531276600e+03,5.510365695960e+03,6.357663311820e+03,5.497973435270e+03,3.707719868380e+03,1.243829720750e+04,4.383901268790e+03,3.462158298950e+03,7.504713517360e-03,2.000000000160e+04,1.448594103330e+23,4.526094803500e+06
6.229550929510e-14,5.000000019400e-02,9.499939935050e-01,5.991905663540e-06,8.652957147150e-09,3.302997300430e-09,1.323947376650e-09,6.043290179540e-10,2.865301595810e-10,1.363183351010e-10,6.342211200220e-11,1.841947132210e-11,4.938811630320e-12,1.085438732030e-12,2.089460411900e-13,3.246826216360e-14,3.302496432630e-15,1.000000000000e+04,5.000003894680e+02,5.110847874470e+02,4.338064509280e+03,5.173668929750e+03,6.284377252190e+03,6.279525051160e+03,6.997886576700e+03,5.902531318260e+03,5.510365488380e+03,6.357663449830e+03,5.497973575650e+03,3.707720172090e+03,1.243829394540e+04,4.383902303480e+03,3.462161518670e+03,7.504713517360e-03,2.000000000200e+04,1.448594103350e+23,4.526094852740e+06
7.322994193450e-14,5.000000022800e-02,9.499939846710e-01,5.998181569510e-06,1.016942086860e-08,3.882756655920e-09,1.556333549760e-09,7.104040109020e-10,3.368234328190e-10,1.602456423190e-10,7.455429173580e-11,2.165255290030e-11,5.805697725550e-12,1.275960691620e-12,2.456213858440e-13,3.816727834510e-14,3.882172952290e-15,1.000000000000e+04,5.000004578290e+02,5.130126567370e+02,4.340871808530e+03,5.173668978690e+03,6.284377257850e+03,6.279525065910e+03,6.997886562280e+03,5.902531360540e+03,5.510365277660e+03,6.357663589920e+03,5.497973718150e+03,3.707720480380e+03,1.243829063380e+04,4.383903353640e+03,3.462164786320e+03,7.504713517360e-03,2.000000000230e+04,1.448594103380e+23,4.526094902710e+06
8.432839106350e-14,5.000000026260e-02,9.499939757040e-01,6.004551614080e-06,1.170863156800e-08,4.471212417530e-09,1.792205523300e-09,8.180701325220e-10,3.878711068290e-10,1.845318598140e-10,8.585345413880e-11,2.493413067810e-11,6.685587150030e-12,1.469340509060e-12,2.828468746940e-13,4.395178511310e-14,4.470546184750e-15,1.000000000000e+04,5.000005272160e+02,5.149640777220e+02,4.342979019570e+03,5.173669020920e+03,6.284377263580e+03,6.279525080910e+03,6.997886547650e+03,5.902531403460e+03,5.510365063780e+03,6.357663732120e+03,5.497973862800e+03,3.707720793300e+03,1.243828727230e+04,4.383904419520e+03,3.462168102620e+03,7.504713517360e-03,2.000000000270e+04,1.448594103400e+23,4.526094953430e+06
9.559331692950e-14,5.000000029760e-02,9.499939666030e-01,6.011017209340e-06,1.327093045090e-08,5.068495031840e-09,2.031615584510e-09,9.273512498580e-10,4.396844976730e-10,2.091823712620e-10,9.732210395050e-11,2.826493209770e-11,7.578674954850e-12,1.665621053070e-12,3.206307603240e-13,4.982306498800e-14,5.067746628020e-15,1.000000000000e+04,5.000005976440e+02,5.169392682980e+02,4.344620472370e+03,5.173669058810e+03,6.284377269380e+03,6.279525096150e+03,6.997886532820e+03,5.902531447010e+03,5.510364846670e+03,6.357663876460e+03,5.497974009640e+03,3.707721110930e+03,1.243828386000e+04,4.383905501350e+03,3.462171468280e+03,7.504713517360e-03,2.000000000310e+04,1.448594103430e+23,4.526095004920e+06
