t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,X_O2_9,X_O2_10,X_O2_11,X_O2_12,X_O2_13,X_O2_14,X_O2_15,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,Tg_9,Tg_10,Tg_11,Tg_12,Tg_13,Tg_14,Tg_15,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,5.274217293350e-01,2.949259456690e-01,9.251808619120e-02,2.636511777050e-02,6.618973129980e-03,1.638245985640e-03,3.909382915390e-04,9.269179662370e-05,2.333565277210e-05,4.088965387390e-06,7.036239268070e-07,1.194710340600e-07,2.077931108390e-08,2.959604988600e-09,3.785681661360e-10,1.000000000000e+04,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,9.380891896690e-04,2.500000000000e+03,1.810742629010e+22,6.227854706510e+06
1.000000000000e-14,5.000000001420e-02,5.274217286830e-01,2.949259457780e-01,9.251808642500e-02,2.636511792360e-02,6.618973204580e-03,1.638246021560e-03,3.909383086450e-04,9.269180478170e-05,2.333565670650e-05,4.088966740060e-06,7.036244094530e-07,1.194711933480e-07,2.077936018220e-08,2.959617175570e-09,3.785705733620e-10,1.000000000000e+04,4.000000004160e+03,4.000000004670e+03,4.000000006480e+03,4.000000009740e+03,4.000000017980e+03,4.000000036290e+03,4.000000074910e+03,4.000000150150e+03,4.000000204500e+03,4.000000720050e+03,4.000001398620e+03,4.000002236170e+03,4.000003625030e+03,4.000006135030e+03,4.000007008310e+03,9.380891896690e-04,2.500000000020e+03,1.810742629020e+22,6.227854709920e+06
2.015000000000e-14,5.000000002870e-02,5.274217280200e-01,2.949259458900e-01,9.251808666230e-02,2.636511807900e-02,6.618973280290e-03,1.638246058010e-03,3.909383260070e-04,9.269181306210e-05,2.333566069980e-05,4.088968113010e-06,7.036248993380e-07,1.194713550250e-07,2.077941001710e-08,2.959629545340e-09,3.785730166960e-10,1.000000000000e+04,4.000000008370e+03,4.000000009410e+03,4.000000013060e+03,4.000000019630e+03,4.000000036230e+03,4.000000073120e+03,4.000000150950e+03,4.000000302560e+03,4.000000412060e+03,4.000001450900e+03,4.000002818210e+03,4.000004505880e+03,4.000007304440e+03,4.000012362080e+03,4.000014121740e+03,9.380891896690e-04,2.500000000040e+03,1.810742629040e+22,6.227854713380e+06
3.045225000000e-14,5.000000004340e-02,5.274217273480e-01,2.949259460030e-01,9.251808690320e-02,2.636511823670e-02,6.618973357140e-03,1.638246095010e-03,3.909383436300e-04,9.269182146670e-05,2.333566475310e-05,4.088969506560e-06,7.036253965710e-07,1.194715191270e-07,2.077946059940e-08,2.959642100660e-09,3.785754966810e-10,1.000000000000e+04,4.000000012650e+03,4.000000014220e+03,4.000000019740e+03,4.000000029660e+03,4.000000054750e+03,4.000000110510e+03,4.000000228130e+03,4.000000457250e+03,4.000000622740e+03,4.000002192720e+03,4.000004259110e+03,4.000006809640e+03,4.000011039040e+03,4.000018682530e+03,4.000021341870e+03,9.380891896690e-04,2.500000000060e+03,1.810742629050e+22,6.227854716890e+06
4.090903375000e-14,5.000000005820e-02,5.274217266660e-01,2.949259461170e-01,9.251808714770e-02,2.636511839680e-02,6.618973435140e-03,1.638246132570e-03,3.909383615170e-04,9.269182999730e-05,2.333566886720e-05,4.088970921020e-06,7.036259012630e-07,1.194716856910e-07,2.077951194050e-08,2.959654844310e-09,3.785780138650e-10,1.000000000000e+04,4.000000017000e+03,4.000000019110e+03,4.000000026520e+03,4.000000039850e+03,4.000000073550e+03,4.000000148460e+03,4.000000306460e+03,4.000000614260e+03,4.000000836580e+03,4.000002945660e+03,4.000005721610e+03,4.000009147950e+03,4.000014829660e+03,4.000025097800e+03,4.000028670310e+03,9.380891896690e-04,2.500000000070e+03,1.810742629060e+22,6.227854720460e+06
5.152266925620e-14,5.000000007340e-02,5.274217259730e-01,2.949259462340e-01,9.251808739580e-02,2.636511855930e-02,6.618973514310e-03,1.638246170680e-03,3.909383796720e-04,9.269183865590e-05,2.333567304300e-05,4.088972356690e-06,7.036264135260e-07,1.194718547530e-07,2.077956405170e-08,2.959667779110e-09,3.785805688070e-10,1.000000000000e+04,4.000000021410e+03,4.000000024060e+03,4.000000033400e+03,4.000000050190e+03,4.000000092640e+03,4.000000186980e+03,4.000000385970e+03,4.000000773630e+03,4.000001053630e+03,4.000003709900e+03,4.000007206050e+03,4.000011521340e+03,4.000018677140e+03,4.000031609290e+03,4.000036108670e+03,9.380891896690e-04,2.500000000090e+03,1.810742629080e+22,6.227854724080e+06
6.229550929510e-14,5.000000008870e-02,5.274217252700e-01,2.949259463520e-01,9.251808764770e-02,2.636511872420e-02,6.618973594670e-03,1.638246209370e-03,3.909383981000e-04,9.269184744440e-05,2.333567728140e-05,4.088973813900e-06,7.036269334720e-07,1.194720263510e-07,2.077961694460e-08,2.959680907940e-09,3.785831620730e-10,1.000000000000e+04,4.000000025890e+03,4.000000029090e+03,4.000000040380e+03,4.000000060690e+03,4.000000112010e+03,4.000000226070e+03,4.000000466670e+03,4.000000935390e+03,4.000001273930e+03,4.000004485600e+03,4.000008712760e+03,4.000013930330e+03,4.000022582330e+03,4.000038218450e+03,4.000043658600e+03,9.380891896690e-04,2.500000000110e+03,1.810742629090e+22,6.227854727750e+06
7.322994193450e-14,5.000000010430e-02,5.274217245560e-01,2.949259464720e-01,9.251808790330e-02,2.636511889160e-02,6.618973676240e-03,1.638246248640e-03,3.909384168040e-04,9.269185636470e-05,2.333568158340e-05,4.088975292960e-06,7.036274612180e-07,1.194722005230e-07,2.077967063090e-08,2.959694233700e-09,3.785857942380e-10,1.000000000000e+04,4.000000030430e+03,4.000000034200e+03,4.000000047470e+03,4.000000071340e+03,4.000000131670e+03,4.000000265750e+03,4.000000548580e+03,4.000001099570e+03,4.000001497540e+03,4.000005272930e+03,4.000010242070e+03,4.000016375450e+03,4.000026546090e+03,4.000044926750e+03,4.000051321790e+03,9.380891896690e-04,2.500000000130e+03,1.810742629110e+22,6.227854731480e+06
8.432839106350e-14,5.000000012010e-02,5.274217238320e-01,2.949259465940e-01,9.251808816280e-02,2.636511906150e-02,6.618973759020e-03,1.638246288500e-03,3.909384357890e-04,9.269186541880e-05,2.333568595000e-05,4.088976794210e-06,7.036279968790e-07,1.194723773080e-07,2.077972512240e-08,2.959707759350e-09,3.785884658860e-10,1.000000000000e+04,4.000000035040e+03,4.000000039390e+03,4.000000054660e+03,4.000000082150e+03,4.000000151620e+03,4.000000306030e+03,4.000000631730e+03,4.000001266220e+03,4.000001724500e+03,4.000006072080e+03,4.000011794320e+03,4.000018857260e+03,4.000030569320e+03,4.000051735680e+03,4.000059099920e+03,9.380891896690e-04,2.500000000150e+03,1.810742629120e+22,6.227854735270e+06
9.559331692950e-14,5.000000013610e-02,5.274217230970e-01,2.949259467170e-01,9.251808842620e-02,2.636511923390e-02,6.618973843050e-03,1.638246328960e-03,3.909384550580e-04,9.269187460870e-05,2.333569038200e-05,4.088978317980e-06,7.036285405760e-07,1.194725567440e-07,2.077978043140e-08,2.959721487880e-09,3.785911776080e-10,1.000000000000e+04,4.000000039720e+03,4.000000044650e+03,4.000000061960e+03,4.000000093120e+03,4.000000171870e+03,4.000000346910e+03,4.000000716110e+03,4.000001435370e+03,4.000001954860e+03,4.000006883210e+03,4.000013369850e+03,4.000021376280e+03,4.000034652890e+03,4.000058646740e+03,4.000066994730e+03,9.380891896690e-04,2.500000000170e+03,1.810742629140e+22,6.227854739110e+06
