t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,9.500000000000e-01,3.571880316680e-17,1.000000002400e-25,1.000000000000e-25,1.000000000000e-25,1.000000000000e+04,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,7.504713517360e-03,2.000000000000e+04,1.448594103210e+23,4.526094661400e+06
1.000000000000e-14,5.000000003110e-02,9.499999990470e-01,8.397513626970e-10,7.805869291480e-11,3.923833871540e-12,3.928318073430e-14,1.000000000000e+04,5.000001233270e+02,5.755427234680e+03,6.568927562750e+03,5.545487043780e+03,4.952337188430e+03,7.504713517360e-03,2.000000000030e+04,1.448594103230e+23,4.526094707100e+06
2.015000000000e-14,5.000000006270e-02,9.499999980800e-01,1.692098966850e-09,1.572882686620e-10,7.906525189070e-12,7.915564466470e-14,1.000000000000e+04,5.000002485040e+02,5.755427862760e+03,6.568927522310e+03,5.545487155290e+03,4.952337828710e+03,7.504713517360e-03,2.000000000060e+04,1.448594103250e+23,4.526094753490e+06
3.045225000000e-14,5.000000009480e-02,9.499999970980e-01,2.557231788860e-09,2.377062893200e-10,1.194895684380e-11,1.196262141020e-13,1.000000000000e+04,5.000003755590e+02,5.755428083540e+03,6.568927481260e+03,5.545487268480e+03,4.952338478560e+03,7.504713517360e-03,2.000000000100e+04,1.448594103280e+23,4.526094800580e+06
4.090903375000e-14,5.000000012740e-02,9.499999961020e-01,3.435341603160e-09,3.193305802850e-10,1.605202497330e-11,1.607038420790e-13,1.000000000000e+04,5.000005045190e+02,5.755428307640e+03,6.568927439590e+03,5.545487383360e+03,4.952339138170e+03,7.504713517360e-03,2.000000000130e+04,1.448594103300e+23,4.526094848370e+06
5.152266925620e-14,5.000000016040e-02,9.499999950900e-01,4.326623070950e-09,4.021792377170e-10,2.021663907110e-11,2.023976650780e-13,1.000000000000e+04,5.000006354140e+02,5.755428477660e+03,6.568927397310e+03,5.545487499970e+03,4.952339807660e+03,7.504713517360e-03,2.000000000160e+04,1.448594103330e+23,4.526094896880e+06
6.229550929510e-14,5.000000019400e-02,9.499999940640e-01,5.231273763870e-09,4.862706260640e-10,2.444372235350e-11,2.447169107670e-13,1.000000000000e+04,5.000007682720e+02,5.755428621420e+03,6.568927354380e+03,5.545487618330e+03,4.952340487190e+03,7.504713517360e-03,2.000000000200e+04,1.448594103350e+23,4.526094946120e+06
7.322994193450e-14,5.000000022800e-02,9.499999930220e-01,6.149494217160e-09,5.716233852330e-10,2.873421188500e-11,2.876709451390e-13,1.000000000000e+04,5.000009031230e+02,5.755428767340e+03,6.568927310820e+03,5.545487738460e+03,4.952341176920e+03,7.504713517360e-03,2.000000000230e+04,1.448594103380e+23,4.526094996100e+06
8.432839106350e-14,5.000000026260e-02,9.499999919640e-01,7.081487999110e-09,6.582564431090e-10,3.308905857340e-11,3.312693964490e-13,1.000000000000e+04,5.000010399970e+02,5.755428851440e+03,6.568927266590e+03,5.545487860390e+03,4.952341876990e+03,7.504713517360e-03,2.000000000270e+04,1.448594103400e+23,4.526095046820e+06
9.559331692950e-14,5.000000029760e-02,9.499999908910e-01,8.027461690870e-09,7.461889978930e-10,3.750922793560e-11,3.755218396810e-13,1.000000000000e+04,5.000011789240e+02,5.755428927680e+03,6.568927221710e+03,5.545487984150e+03,4.952342587560e+03,7.504713517360e-03,2.000000000310e+04,1.448594103430e+23,4.526095098310e+06
1.070272166830e-13,5.000000033320e-02,9.499999898010e-01,8.987624987970e-09,8.354405409960e-10,4.199569983800e-11,4.204380695600e-13,1.000000000000e+04,5.000013199340e+02,5.755429005070e+03,6.568927176150e+03,5.545488109770e+03,4.952343308780e+03,7.504713517360e-03,2.000000000340e+04,1.448594103460e+23,4.526095150560e+06
1.186326249340e-13,5.000000036940e-02,9.499999886950e-01,9.962190734490e-09,9.260308572420e-10,4.654946881890e-11,4.660280428850e-13,1.000000000000e+04,5.000014630600e+02,5.755429083620e+03,6.568927129910e+03,5.545488237270e+03,4.952344040830e+03,7.504713517360e-03,2.000000000380e+04,1.448594103480e+23,4.526095203610e+06
1.304121143080e-13,5.000000040600e-02,9.499999875730e-01,1.095137496720e-08,1.017980028230e-09,5.117154433420e-11,5.123018658090e-13,1.000000000000e+04,5.000016083330e+02,5.755429163350e+03,6.568927082980e+03,5.545488366690e+03,4.952344783850e+03,7.504713517360e-03,2.000000000420e+04,1.448594103510e+23,4.526095257440e+06
1.423682960220e-13,5.000000044330e-02,9.499999864340e-01,1.195539696330e-08,1.111308436770e-09,5.586295098210e-11,5.592697960740e-13,1.000000000000e+04,5.000017557850e+02,5.755429244270e+03,6.568927035340e+03,5.545488498050e+03,4.952345538020e+03,7.504713517360e-03,2.000000000450e+04,1.448594103540e+23,4.526095312090e+06
1.545038204630e-13,5.000000048100e-02,9.499999852770e-01,1.297447937560e-08,1.206036800310e-09,6.062472799710e-11,6.069426648230e-13,1.000000000000e+04,5.000019054480e+02,5.755429290090e+03,6.568926986990e+03,5.545488631370e+03,4.952346303500e+03,7.504713517360e-03,2.000000000490e+04,1.448594103570e+23,4.526095367550e+06
1.668213777700e-13,5.000000051940e-02,9.499999841030e-01,1.400884794000e-08,1.302186061150e-09,6.545793238150e-11,6.553302174350e-13,1.000000000000e+04,5.000020573560e+02,5.755429372010e+03,6.568926937910e+03,5.545488766700e+03,4.952347080460e+03,7.504713517360e-03,2.000000000530e+04,1.448594103590e+23,4.526095423850e+06
1.793236984360e-13,5.000000055830e-02,9.499999829120e-01,1.505873203730e-08,1.399777562420e-09,7.036363479280e-11,7.044436054840e-13,1.000000000000e+04,5.000022115430e+02,5.755429453250e+03,6.568926888100e+03,5.545488904060e+03,4.952347869080e+03,7.504713517360e-03,2.000000000570e+04,1.448594103620e+23,4.526095480990e+06
1.920135539130e-13,5.000000059780e-02,9.499999817030e-01,1.612436440070e-08,1.498832937770e-09,7.534292270020e-11,7.542937171710e-13,1.000000000000e+04,5.000023680430e+02,5.755429533730e+03,6.568926837530e+03,5.545489043470e+03,4.952348669530e+03,7.504713517360e-03,2.000000000610e+04,1.448594103650e+23,4.526095538990e+06
2.048937572210e-13,5.000000063790e-02,9.499999804760e-01,1.720598125430e-08,1.599374145360e-09,8.039689988500e-11,8.048916040390e-13,1.000000000000e+04,5.000025268910e+02,5.755429613380e+03,6.568926786220e+03,5.545489184980e+03,4.952349481980e+03,7.504713517360e-03,2.000000000650e+04,1.448594103680e+23,4.526095597860e+06
2.179671635800e-13,5.000000067860e-02,9.499999792300e-01,1.830382236570e-08,1.701423472740e-09,8.552668668500e-11,8.562484834270e-13,1.000000000000e+04,5.000026881210e+02,5.755429692130e+03,6.568926734130e+03,5.545489328610e+03,4.952350306620e+03,7.504713517360e-03,2.000000000700e+04,1.448594103710e+23,4.526095657610e+06
2.312366710330e-13,5.000000071990e-02,9.499999779650e-01,1.941813109880e-08,1.805003541730e-09,9.073342024330e-11,9.083757409540e-13,1.000000000000e+04,5.000028517690e+02,5.755429772540e+03,6.568926681250e+03,5.545489474400e+03,4.952351143630e+03,7.504713517360e-03,2.000000000740e+04,1.448594103740e+23,4.526095718260e+06
2.447052210990e-13,5.000000076190e-02,9.499999766820e-01,2.054915446820e-08,1.910137313530e-09,9.601825475990e-11,9.612849330460e-13,1.000000000000e+04,5.000030178720e+02,5.755429860140e+03,6.568926627590e+03,5.545489622370e+03,4.952351993200e+03,7.504713517360e-03,2.000000000780e+04,1.448594103770e+23,4.526095779820e+06
2.583757994150e-13,5.000000080440e-02,9.499999753790e-01,2.169714319350e-08,2.016848093710e-09,1.013823617480e-10,1.014987789500e-12,1.000000000000e+04,5.000031864670e+02,5.755429947740e+03,6.568926573120e+03,5.545489772560e+03,4.952352855500e+03,7.504713517360e-03,2.000000000830e+04,1.448594103810e+23,4.526095842300e+06
2.722514364070e-13,5.000000084760e-02,9.499999740570e-01,2.286235175530e-08,2.125159537480e-09,1.068269302920e-10,1.069496216080e-12,1.000000000000e+04,5.000033575910e+02,5.755430035310e+03,6.568926517840e+03,5.545489925010e+03,4.952353730750e+03,7.504713517360e-03,2.000000000870e+04,1.448594103840e+23,4.526095905720e+06
2.863352079530e-13,5.000000089150e-02,9.499999727150e-01,2.404503845120e-08,2.235095654830e-09,1.123531673160e-10,1.124822297160e-12,1.000000000000e+04,5.000035312810e+02,5.755430122820e+03,6.568926461720e+03,5.545490079740e+03,4.952354619120e+03,7.504713517360e-03,2.000000000910e+04,1.448594103870e+23,4.526095970090e+06
3.006302360720e-13,5.000000093600e-02,9.499999713530e-01,2.524546545350e-08,2.346680815930e-09,1.179622978440e-10,1.180978298420e-12,1.000000000000e+04,5.000037075770e+02,5.755430210200e+03,6.568926404760e+03,5.545490236790e+03,4.952355520810e+03,7.504713517360e-03,2.000000000960e+04,1.448594103900e+23,4.526096035420e+06
3.151396896130e-13,5.000000098120e-02,9.499999699700e-01,2.646389886680e-08,2.459939756490e-09,1.236555652780e-10,1.237976669520e-12,1.000000000000e+04,5.000038865170e+02,5.755430297430e+03,6.568926346950e+03,5.545490396200e+03,4.952356436030e+03,7.504713517360e-03,2.000000001010e+04,1.448594103940e+23,4.526096101740e+06
3.298667849570e-13,5.000000102700e-02,9.499999685670e-01,2.770060878770e-08,2.574897583270e-09,1.294342316690e-10,1.295830046920e-12,1.000000000000e+04,5.000040681410e+02,5.755430384450e+03,6.568926288270e+03,5.545490558000e+03,4.952357364980e+03,7.504713517360e-03,2.000000001050e+04,1.448594103970e+23,4.526096169050e+06
3.448147867320e-13,5.000000107360e-02,9.499999671420e-01,2.895586936380e-08,2.691579779620e-09,1.352995780010e-10,1.354551256640e-12,1.000000000000e+04,5.000042524900e+02,5.755430471220e+03,6.568926228720e+03,5.545490722230e+03,4.952358307860e+03,7.504713517360e-03,2.000000001100e+04,1.448594104010e+23,4.526096237370e+06
3.599870085330e-13,5.000000112080e-02,9.499999656970e-01,3.022995885520e-08,2.810012211160e-09,1.412529044700e-10,1.414153317120e-12,1.000000000000e+04,5.000044396030e+02,5.755430557680e+03,6.568926168260e+03,5.545490888920e+03,4.952359264880e+03,7.504713517360e-03,2.000000001150e+04,1.448594104040e+23,4.526096306710e+06
3.753868136610e-13,5.000000116870e-02,9.499999642290e-01,3.152315969580e-08,2.930221131470e-09,1.472955307780e-10,1.474649442110e-12,1.000000000000e+04,5.000046295240e+02,5.755430643780e+03,6.568926106900e+03,5.545491058110e+03,4.952360236260e+03,7.504713517360e-03,2.000000001200e+04,1.448594104080e+23,4.526096377090e+06
3.910176158650e-13,5.000000121740e-02,9.499999627400e-01,3.283575855600e-08,3.052233187970e-09,1.534287964190e-10,1.536053043590e-12,1.000000000000e+04,5.000048222930e+02,5.755430729470e+03,6.568926044630e+03,5.545491229840e+03,4.952361222210e+03,7.504713517360e-03,2.000000001250e+04,1.448594104110e+23,4.526096448530e+06
4.068828801030e-13,5.000000126680e-02,9.499999612280e-01,3.416804640650e-08,3.176075427770e-09,1.596540609830e-10,1.598377734760e-12,1.000000000000e+04,5.000050179530e+02,5.755430814680e+03,6.568925981410e+03,5.545491404140e+03,4.952362222940e+03,7.504713517360e-03,2.000000001300e+04,1.448594104150e+23,4.526096521050e+06
4.229861233050e-13,5.000000131690e-02,9.499999596930e-01,3.552031858220e-08,3.301775303680e-09,1.659727044500e-10,1.661637333040e-12,1.000000000000e+04,5.000052165490e+02,5.755430899360e+03,6.568925917250e+03,5.545491581060e+03,4.952363238690e+03,7.504713517360e-03,2.000000001350e+04,1.448594104190e+23,4.526096594650e+06
4.393309151550e-13,5.000000136780e-02,9.499999581360e-01,3.689287484820e-08,3.429360680330e-09,1.723861275030e-10,1.725845863150e-12,1.000000000000e+04,5.000054181230e+02,5.755430983450e+03,6.568925852130e+03,5.545491760630e+03,4.952364269670e+03,7.504713517360e-03,2.000000001400e+04,1.448594104220e+23,4.526096669350e+06
4.559208788820e-13,5.000000141950e-02,9.499999565550e-01,3.828601946620e-08,3.558859840310e-09,1.788957518330e-10,1.791017560200e-12,1.000000000000e+04,5.000056227210e+02,5.755431066870e+03,6.568925786030e+03,5.545491942900e+03,4.952365316120e+03,7.504713517360e-03,2.000000001460e+04,1.448594104260e+23,4.526096745170e+06
4.727596920650e-13,5.000000147190e-02,9.499999549500e-01,3.970006126170e-08,3.690301490440e-09,1.855030204580e-10,1.857166872890e-12,1.000000000000e+04,5.000058303880e+02,5.755431149570e+03,6.568925718930e+03,5.545492127900e+03,4.952366378260e+03,7.504713517360e-03,2.000000001510e+04,1.448594104300e+23,4.526096822130e+06
4.898510874460e-13,5.000000152510e-02,9.499999533220e-01,4.113531369250e-08,3.823714768170e-09,1.922093980390e-10,1.924308466660e-12,1.000000000000e+04,5.000060411700e+02,5.755431231460e+03,6.568925650830e+03,5.545492315670e+03,4.952367456340e+03,7.504713517360e-03,2.000000001560e+04,1.448594104340e+23,4.526096900250e+06
5.071988537580e-13,5.000000157910e-02,9.499999516690e-01,4.259209491840e-08,3.959129247980e-09,1.990163712100e-10,1.992457226970e-12,1.000000000000e+04,5.000062551130e+02,5.755431312490e+03,6.568925581710e+03,5.545492506270e+03,4.952368550580e+03,7.504713517360e-03,2.000000001620e+04,1.448594104380e+23,4.526096979540e+06
5.248068365640e-13,5.000000163400e-02,9.499999499910e-01,4.407072787170e-08,4.096574948020e-09,2.059254489010e-10,2.061628262620e-12,1.000000000000e+04,5.000064722660e+02,5.755431401010e+03,6.568925511560e+03,5.545492699720e+03,4.952369661240e+03,7.504713517360e-03,2.000000001680e+04,1.448594104420e+23,4.526097060010e+06
