t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,9.148664982960e-01,3.462161091250e-02,5.069548545860e-04,4.911820921690e-06,2.411614663040e-08,1.000000000000e+04,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,9.380891896690e-04,2.500000000000e+03,1.810742629010e+22,6.228012745650e+06
1.000000000000e-14,5.000000001420e-02,9.148664979870e-01,3.462161117620e-02,5.069548837870e-04,4.911822916500e-06,2.411621033110e-08,1.000000000000e+04,4.000000004500e+03,4.000000015580e+03,4.000000121260e+03,4.000001053430e+03,4.000004650000e+03,9.380891896690e-04,2.500000000020e+03,1.810742629020e+22,6.228012749060e+06
2.015000000000e-14,5.000000002870e-02,9.148664976730e-01,3.462161144380e-02,5.069549134260e-04,4.911824941230e-06,2.411627498740e-08,1.000000000000e+04,4.000000009070e+03,4.000000031400e+03,4.000000244330e+03,4.000002122660e+03,4.000009369760e+03,9.380891896690e-04,2.500000000040e+03,1.810742629040e+22,6.228012752520e+06
3.045225000000e-14,5.000000004340e-02,9.148664973540e-01,3.462161171540e-02,5.069549435100e-04,4.911826996330e-06,2.411634061350e-08,1.000000000000e+04,4.000000013710e+03,4.000000047450e+03,4.000000369250e+03,4.000003207920e+03,4.000014160310e+03,9.380891896690e-04,2.500000000060e+03,1.810742629050e+22,6.228012756040e+06
4.090903375000e-14,5.000000005830e-02,9.148664970310e-01,3.462161199110e-02,5.069549740450e-04,4.911829082250e-06,2.411640722400e-08,1.000000000000e+04,4.000000018420e+03,4.000000063750e+03,4.000000496040e+03,4.000004309470e+03,4.000019022720e+03,9.380891896690e-04,2.500000000070e+03,1.810742629060e+22,6.228012759600e+06
5.152266925620e-14,5.000000007340e-02,9.148664967030e-01,3.462161227090e-02,5.069550050380e-04,4.911831199470e-06,2.411647483360e-08,1.000000000000e+04,4.000000023200e+03,4.000000080280e+03,4.000000624740e+03,4.000005427540e+03,4.000023958060e+03,9.380891896690e-04,2.500000000090e+03,1.810742629080e+22,6.228012763220e+06
6.229550929510e-14,5.000000008870e-02,9.148664963700e-01,3.462161255490e-02,5.069550364960e-04,4.911833348440e-06,2.411654345740e-08,1.000000000000e+04,4.000000028060e+03,4.000000097070e+03,4.000000755370e+03,4.000006562380e+03,4.000028967430e+03,9.380891896690e-04,2.500000000110e+03,1.810742629090e+22,6.228012766900e+06
7.322994193450e-14,5.000000010430e-02,9.148664960320e-01,3.462161284320e-02,5.069550684260e-04,4.911835529650e-06,2.411661311050e-08,1.000000000000e+04,4.000000032980e+03,4.000000114110e+03,4.000000887950e+03,4.000007714250e+03,4.000034051950e+03,9.380891896690e-04,2.500000000130e+03,1.810742629110e+22,6.228012770630e+06
8.432839106350e-14,5.000000012010e-02,9.148664956890e-01,3.462161313580e-02,5.069551008350e-04,4.911837743580e-06,2.411668380840e-08,1.000000000000e+04,4.000000037980e+03,4.000000131400e+03,4.000001022530e+03,4.000008883390e+03,4.000039212730e+03,9.380891896690e-04,2.500000000150e+03,1.810742629120e+22,6.228012774410e+06
9.559331692950e-14,5.000000013610e-02,9.148664953410e-01,3.462161343280e-02,5.069551337300e-04,4.911839990710e-06,2.411675556690e-08,1.000000000000e+04,4.000000043050e+03,4.000000148950e+03,4.000001159120e+03,4.000010070070e+03,4.000044450930e+03,9.380891896690e-04,2.500000000170e+03,1.810742629140e+22,6.228012778250e+06
