t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,X_O2_9,X_O2_10,X_O2_11,X_O2_12,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,Tg_9,Tg_10,Tg_11,Tg_12,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,3.801152027260e-14,1.000000000000e-25,1.000000000000e-25,1.000000000000e-25,3.456556803340e-17,1.000000000200e-25,3.727747023590e-25,2.311669425180e-08,9.393785296000e-01,1.049352783650e-02,1.262839460350e-04,1.635501083610e-06,1.000000000000e+04,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,7.504713517360e-03,2.000000000000e+04,1.448594103210e+23,4.526075423680e+06
1.000000000000e-14,5.000000003110e-02,1.000092359950e-09,2.109526641700e-12,1.199076385660e-12,6.267564843580e-14,1.794497835090e-10,1.792839006280e-11,5.997404574760e-11,2.391291326030e-08,9.393785234880e-01,1.049353049360e-02,1.262848540580e-04,1.635959812260e-06,1.000000000000e+04,5.015598197660e+03,4.774291629630e+03,5.938980992620e+03,4.053671753550e+02,5.546160141330e+03,5.956031983640e+03,6.193567951230e+03,6.437392028160e+02,5.000001070940e+02,5.000009125740e+02,5.000220436770e+02,5.008178351010e+02,7.504713517360e-03,2.000000000030e+04,1.448594103230e+23,4.526075469390e+06
2.015000000000e-14,5.000000006270e-02,2.015147536380e-09,4.250695958450e-12,2.416139008650e-12,1.262914161830e-13,3.615912798310e-10,3.612570563760e-11,1.208477024990e-10,2.472107556170e-08,9.393785172840e-01,1.049353319060e-02,1.262857757010e-04,1.636425421830e-06,1.000000000000e+04,5.015679933030e+03,4.774291323450e+03,5.938981030820e+03,4.053671660610e+02,5.546161406350e+03,5.956031928890e+03,6.193567962090e+03,7.670315768970e+02,5.000002157950e+02,5.000018388350e+02,5.000444176810e+02,5.016474639980e+02,7.504713517360e-03,2.000000000060e+04,1.448594103250e+23,4.526075515770e+06
3.045225000000e-14,5.000000009480e-02,3.045428553560e-09,6.423982583680e-12,3.651457665710e-12,1.908614045590e-13,5.464648998250e-10,5.459598059870e-11,1.826344644390e-10,2.554136030600e-08,9.393785109870e-01,1.049353592800e-02,1.262867111690e-04,1.636898015560e-06,1.000000000000e+04,5.015705671090e+03,4.774291012710e+03,5.938981069220e+03,4.053671566130e+02,5.546161838820e+03,5.956031873270e+03,6.193567972990e+03,8.769554962010e+02,5.000003261260e+02,5.000027789900e+02,5.000671269590e+02,5.024890496980e+02,7.504713517360e-03,2.000000000100e+04,1.448594103280e+23,4.526075562860e+06
4.090903375000e-14,5.000000012740e-02,4.091163799490e-09,8.629868270090e-12,4.905306200560e-12,2.563999263960e-13,7.341116254290e-10,7.334330932790e-11,2.453480281600e-10,2.637394933010e-08,9.393785045960e-01,1.049353870650e-02,1.262876606690e-04,1.637377698190e-06,1.000000000000e+04,5.015718703920e+03,4.774290697370e+03,5.938981108050e+03,4.053671470150e+02,5.546162082730e+03,5.956031816790e+03,6.193567983960e+03,9.772177914970e+02,5.000004381130e+02,5.000037332470e+02,5.000901765290e+02,5.033427572550e+02,7.504713517360e-03,2.000000000130e+04,1.448594103300e+23,4.526075610650e+06
5.152266925620e-14,5.000000016040e-02,5.152585088040e-09,1.086884199650e-11,6.177962564630e-12,3.229215092060e-13,9.245730533130e-10,9.237184762210e-11,3.090022957050e-10,2.721902719850e-08,9.393784981090e-01,1.049354152660e-02,1.262886244120e-04,1.637864576060e-06,1.000000000000e+04,5.015726553060e+03,4.774290377350e+03,5.938981147400e+03,4.053671372670e+02,5.546162249990e+03,5.956031759420e+03,6.193567995030e+03,1.070020076010e+03,5.000005517790e+02,5.000047018180e+02,5.001135714840e+02,5.042087537840e+02,7.504713517360e-03,2.000000000160e+04,1.448594103330e+23,4.526075659150e+06
6.229550929510e-14,5.000000019400e-02,6.229927710320e-09,1.314140007610e-11,7.469708878710e-12,3.904408984010e-13,1.117891404100e-09,1.116858136150e-10,3.736113776480e-10,2.807678124400e-08,9.393784915250e-01,1.049354438910e-02,1.262896026110e-04,1.638358757110e-06,1.000000000000e+04,5.015731799190e+03,4.774290052600e+03,5.938981187350e+03,4.053671273710e+02,5.546162379000e+03,5.956031701180e+03,6.193568006210e+03,1.156810427020e+03,5.000006671500e+02,5.000056849160e+02,5.001373169960e+02,5.050872084840e+02,7.504713517360e-03,2.000000000200e+04,1.448594103350e+23,4.526075708390e+06
7.322994193450e-14,5.000000022800e-02,7.323430486830e-09,1.544804626660e-11,8.780831495470e-12,4.589730605570e-13,1.314109531720e-09,1.312894887110e-10,4.391895962180e-10,2.894740160940e-08,9.393784848420e-01,1.049354729440e-02,1.262905954820e-04,1.638860350870e-06,1.000000000000e+04,5.015735549250e+03,4.774289723030e+03,5.938981227920e+03,4.053671173250e+02,5.546162486260e+03,5.956031642040e+03,6.193568017520e+03,1.238612402240e+03,5.000007842510e+02,5.000066827600e+02,5.001614183100e+02,5.059782926550e+02,7.504713517360e-03,2.000000000230e+04,1.448594103380e+23,4.526075758360e+06
8.432839106350e-14,5.000000026250e-02,8.433335820390e-09,1.778929188210e-11,1.011162106300e-11,5.285331867330e-13,1.513270932930e-09,1.511872185370e-10,5.057514884820e-10,2.983108128960e-08,9.393784780580e-01,1.049355024340e-02,1.262916032470e-04,1.639369468540e-06,1.000000000000e+04,5.015738370340e+03,4.774289388570e+03,5.938981269160e+03,4.053671071280e+02,5.546162580210e+03,5.956031581990e+03,6.193568028970e+03,1.316183981420e+03,5.000009031090e+02,5.000076955720e+02,5.001858807540e+02,5.068821797190e+02,7.504713517360e-03,2.000000000270e+04,1.448594103400e+23,4.526075809080e+06
9.559331692950e-14,5.000000029760e-02,9.559889749890e-09,2.016565590570e-11,1.146237258910e-11,5.991366958400e-13,1.715419756920e-09,1.713834139010e-10,5.733118095600e-10,3.072801617450e-08,9.393784711730e-01,1.049355323660e-02,1.262926261280e-04,1.639886222980e-06,1.000000000000e+04,5.015740570640e+03,4.774289049150e+03,5.938981311070e+03,4.053670967800e+02,5.546162665460e+03,5.956031521040e+03,6.193568040570e+03,1.390108579150e+03,5.000010237500e+02,5.000087235750e+02,5.002107097310e+02,5.077990452360e+02,7.504713517360e-03,2.000000000310e+04,1.448594103430e+23,4.526075860570e+06
