t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,Th,Tg_1,Tg_2,Tg_3,Tg_4,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,5.551187941410e-12,9.499999999940e-01,1.000082113520e-25,1.000000001710e-25,1.000000000000e+04,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,7.504713517360e-03,2.000000000000e+04,1.448594103210e+23,4.526094661400e+06
1.000000000000e-14,5.000000003110e-02,6.178930873130e-10,9.499999992830e-01,5.304162172300e-11,1.457420694260e-11,1.000000000000e+04,6.052943090290e+03,5.000001302310e+02,6.212884665560e+03,6.636137537180e+03,7.504713517360e-03,2.000000000030e+04,1.448594103230e+23,4.526094707100e+06
2.015000000000e-14,5.000000006270e-02,1.239420118290e-09,9.499999985620e-01,1.068788672630e-10,2.936702729770e-11,1.000000000000e+04,6.085313137620e+03,5.000002624150e+02,6.212884613290e+03,6.636137541500e+03,7.504713517360e-03,2.000000000060e+04,1.448594103250e+23,4.526094753490e+06
3.045225000000e-14,5.000000009480e-02,1.870270057930e-09,9.499999978290e-01,1.615236709610e-10,4.438174027570e-11,1.000000000000e+04,6.096223598630e+03,5.000003965820e+02,6.212884560240e+03,6.636137545900e+03,7.504713517360e-03,2.000000000100e+04,1.448594103280e+23,4.526094800580e+06
4.090903375000e-14,5.000000012740e-02,2.510582749960e-09,9.499999970850e-01,2.169881461750e-10,5.962167427570e-11,1.000000000000e+04,6.101715445800e+03,5.000005327610e+02,6.212884506390e+03,6.636137550360e+03,7.504713517360e-03,2.000000000130e+04,1.448594103300e+23,4.526094848370e+06
5.152266925620e-14,5.000000016040e-02,3.160500135780e-09,9.499999963310e-01,2.732845879600e-10,7.509020762300e-11,1.000000000000e+04,6.105016820160e+03,5.000006709830e+02,6.212884451740e+03,6.636137554890e+03,7.504713517360e-03,2.000000000160e+04,1.448594103330e+23,4.526094896880e+06
6.229550929510e-14,5.000000019400e-02,3.820166285880e-09,9.499999955650e-01,3.304254758000e-10,9.079076931780e-11,1.000000000000e+04,6.107228411630e+03,5.000008112780e+02,6.212884396270e+03,6.636137559490e+03,7.504713517360e-03,2.000000000200e+04,1.448594103350e+23,4.526094946120e+06
7.322994193450e-14,5.000000022800e-02,4.489727431850e-09,9.499999947870e-01,3.884234763660e-10,1.067268397960e-10,1.000000000000e+04,6.108799211930e+03,5.000009536780e+02,6.212884339960e+03,6.636137564150e+03,7.504713517360e-03,2.000000000230e+04,1.448594103380e+23,4.526094996100e+06
8.432839106350e-14,5.000000026260e-02,5.169331998720e-09,9.499999939980e-01,4.472914463320e-10,1.229019517000e-10,1.000000000000e+04,6.109976690710e+03,5.000010982140e+02,6.212884282820e+03,6.636137568890e+03,7.504713517360e-03,2.000000000270e+04,1.448594103400e+23,4.526095046820e+06
9.559331692950e-14,5.000000029760e-02,5.859130637920e-09,9.499999931970e-01,5.070424352200e-10,1.393196906620e-10,1.000000000000e+04,6.110892839640e+03,5.000012449180e+02,6.212884224810e+03,6.636137573700e+03,7.504713517360e-03,2.000000000310e+04,1.448594103430e+23,4.526095098310e+06
1.070272166830e-13,5.000000033320e-02,6.559276260660e-09,9.499999923840e-01,5.676896882970e-10,1.559836961010e-10,1.000000000000e+04,6.111625575310e+03,5.000013938220e+02,6.212884165940e+03,6.636137578580e+03,7.504713517360e-03,2.000000000340e+04,1.448594103460e+23,4.526095150570e+06
1.186326249340e-13,5.000000036940e-02,7.269924071800e-09,9.499999915590e-01,6.292466495040e-10,1.728976620240e-10,1.000000000000e+04,6.112225855250e+03,5.000015449600e+02,6.212884106180e+03,6.636137583540e+03,7.504713517360e-03,2.000000000380e+04,1.448594103480e+23,4.526095203610e+06
1.304121143080e-13,5.000000040600e-02,7.991231604300e-09,9.499999907210e-01,6.917269644440e-10,1.900653378510e-10,1.000000000000e+04,6.112726103720e+03,5.000016983640e+02,6.212884045520e+03,6.636137588560e+03,7.504713517360e-03,2.000000000420e+04,1.448594103510e+23,4.526095257450e+06
1.423682960220e-13,5.000000044330e-02,8.723358754100e-09,9.499999898710e-01,7.551444834010e-10,2.074905292430e-10,1.000000000000e+04,6.113148704740e+03,5.000018540700e+02,6.212883983960e+03,6.636137593670e+03,7.504713517360e-03,2.000000000450e+04,1.448594103540e+23,4.526095312090e+06
1.545038204630e-13,5.000000048100e-02,9.466467815590e-09,9.499999890080e-01,8.195132644160e-10,2.251770989480e-10,1.000000000000e+04,6.113510344060e+03,5.000020121120e+02,6.212883921470e+03,6.636137598850e+03,7.504713517360e-03,2.000000000490e+04,1.448594103570e+23,4.526095367560e+06
1.668213777700e-13,5.000000051940e-02,1.022072351760e-08,9.499999881320e-01,8.848475763960e-10,2.431289676520e-10,1.000000000000e+04,6.113824328160e+03,5.000021725240e+02,6.212883858050e+03,6.636137604110e+03,7.504713517360e-03,2.000000000530e+04,1.448594103590e+23,4.526095423850e+06
1.793236984360e-13,5.000000055830e-02,1.098629305980e-08,9.499999872430e-01,9.511619022840e-10,2.613501148540e-10,1.000000000000e+04,6.114099207830e+03,5.000023353420e+02,6.212883793670e+03,6.636137609440e+03,7.504713517360e-03,2.000000000570e+04,1.448594103620e+23,4.526095481000e+06
1.920135539130e-13,5.000000059780e-02,1.176334615010e-08,9.499999863410e-01,1.018470942270e-09,2.798445797470e-10,1.000000000000e+04,6.114341736170e+03,5.000025006020e+02,6.212883728330e+03,6.636137614860e+03,7.504713517360e-03,2.000000000610e+04,1.448594103650e+23,4.526095538990e+06
2.048937572210e-13,5.000000063790e-02,1.255205504170e-08,9.499999854250e-01,1.086789617030e-09,2.986164621090e-10,1.000000000000e+04,6.114557401850e+03,5.000026683420e+02,6.212883662010e+03,6.636137620360e+03,7.504713517360e-03,2.000000000650e+04,1.448594103680e+23,4.526095597860e+06
2.179671635800e-13,5.000000067860e-02,1.335259457180e-08,9.499999844950e-01,1.156133071060e-09,3.176699232190e-10,1.000000000000e+04,6.114749684510e+03,5.000028385970e+02,6.212883594690e+03,6.636137625940e+03,7.504713517360e-03,2.000000000700e+04,1.448594103710e+23,4.526095657620e+06
2.312366710330e-13,5.000000071990e-02,1.416514220020e-08,9.499999835510e-01,1.226516676040e-09,3.370091867720e-10,1.000000000000e+04,6.114922276600e+03,5.000030114060e+02,6.212883526360e+03,6.636137631600e+03,7.504713517360e-03,2.000000000740e+04,1.448594103740e+23,4.526095718260e+06
2.447052210990e-13,5.000000076190e-02,1.498987804850e-08,9.499999825940e-01,1.297956034200e-09,3.566385398210e-10,1.000000000000e+04,6.115078160710e+03,5.000031868070e+02,6.212883457010e+03,6.636137637350e+03,7.504713517360e-03,2.000000000780e+04,1.448594103770e+23,4.526095779820e+06
2.583757994150e-13,5.000000080440e-02,1.582698494010e-08,9.499999816220e-01,1.370466981810e-09,3.765623337260e-10,1.000000000000e+04,6.115220107050e+03,5.000033648400e+02,6.212883386620e+03,6.636137643190e+03,7.504713517360e-03,2.000000000830e+04,1.448594103810e+23,4.526095842300e+06
2.722514364070e-13,5.000000084760e-02,1.667664844100e-08,9.499999806350e-01,1.444065592680e-09,3.967849851160e-10,1.000000000000e+04,6.115349603330e+03,5.000035455420e+02,6.212883315170e+03,6.636137649110e+03,7.504713517360e-03,2.000000000870e+04,1.448594103840e+23,4.526095905720e+06
2.863352079530e-13,5.000000089150e-02,1.753905690030e-08,9.499999796330e-01,1.518768181730e-09,4.173109768700e-10,1.000000000000e+04,6.115468543740e+03,5.000037289550e+02,6.212883242650e+03,6.636137655130e+03,7.504713517360e-03,2.000000000910e+04,1.448594103870e+23,4.526095970090e+06
3.006302360720e-13,5.000000093600e-02,1.841440149270e-08,9.499999786170e-01,1.594591308610e-09,4.381448591120e-10,1.000000000000e+04,6.115577962310e+03,5.000039151200e+02,6.212883169040e+03,6.636137661230e+03,7.504713517360e-03,2.000000000960e+04,1.448594103900e+23,4.526096035430e+06
