t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,Th,Tg_1,Tg_2,Tg_3,Tg_4,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,9.122091639140e-01,3.719294141350e-02,5.907368462760e-04,7.157825699130e-06,1.000000000000e+04,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,9.380891896690e-04,2.500000000000e+03,1.810742629010e+22,6.228008612390e+06
1.000000000000e-14,5.000000001420e-02,9.122091635940e-01,3.719294168560e-02,5.907368777340e-04,7.157828224960e-06,1.000000000000e+04,4.000000004480e+03,4.000000014890e+03,4.000000112780e+03,4.000001083710e+03,9.380891896690e-04,2.500000000020e+03,1.810742629020e+22,6.228008615800e+06
2.015000000000e-14,5.000000002870e-02,9.122091632690e-01,3.719294196180e-02,5.907369096650e-04,7.157830788680e-06,1.000000000000e+04,4.000000009030e+03,4.000000030010e+03,4.000000227250e+03,4.000002183670e+03,9.380891896690e-04,2.500000000040e+03,1.810742629040e+22,6.228008619260e+06
3.045225000000e-14,5.000000004340e-02,9.122091629390e-01,3.719294224210e-02,5.907369420740e-04,7.157833390840e-06,1.000000000000e+04,4.000000013650e+03,4.000000045350e+03,4.000000343440e+03,4.000003300130e+03,9.380891896690e-04,2.500000000060e+03,1.810742629050e+22,6.228008622780e+06
4.090903375000e-14,5.000000005830e-02,9.122091626040e-01,3.719294252660e-02,5.907369749700e-04,7.157836032050e-06,1.000000000000e+04,4.000000018330e+03,4.000000060920e+03,4.000000461380e+03,4.000004433340e+03,9.380891896690e-04,2.500000000070e+03,1.810742629060e+22,6.228008626340e+06
5.152266925620e-14,5.000000007340e-02,9.122091622640e-01,3.719294281540e-02,5.907370083590e-04,7.157838712870e-06,1.000000000000e+04,4.000000023090e+03,4.000000076730e+03,4.000000581080e+03,4.000005583550e+03,9.380891896690e-04,2.500000000090e+03,1.810742629080e+22,6.228008629960e+06
6.229550929510e-14,5.000000008870e-02,9.122091619190e-01,3.719294310850e-02,5.907370422490e-04,7.157841433900e-06,1.000000000000e+04,4.000000027920e+03,4.000000092770e+03,4.000000702580e+03,4.000006751010e+03,9.380891896690e-04,2.500000000110e+03,1.810742629090e+22,6.228008633640e+06
7.322994193450e-14,5.000000010430e-02,9.122091615690e-01,3.719294340610e-02,5.907370766470e-04,7.157844195750e-06,1.000000000000e+04,4.000000032820e+03,4.000000109060e+03,4.000000825890e+03,4.000007935980e+03,9.380891896690e-04,2.500000000130e+03,1.810742629110e+22,6.228008637370e+06
8.432839106350e-14,5.000000012010e-02,9.122091612130e-01,3.719294370800e-02,5.907371115610e-04,7.157846999020e-06,1.000000000000e+04,4.000000037790e+03,4.000000125580e+03,4.000000951060e+03,4.000009138730e+03,9.380891896690e-04,2.500000000150e+03,1.810742629120e+22,6.228008641150e+06
9.559331692950e-14,5.000000013610e-02,9.122091608520e-01,3.719294401450e-02,5.907371469990e-04,7.157849844350e-06,1.000000000000e+04,4.000000042840e+03,4.000000142360e+03,4.000001078110e+03,4.000010359520e+03,9.380891896690e-04,2.500000000170e+03,1.810742629140e+22,6.228008644990e+06
1.070272166830e-13,5.000000015240e-02,9.122091604860e-01,3.719294432560e-02,5.907371829690e-04,7.157852732350e-06,1.000000000000e+04,4.000000047960e+03,4.000000159390e+03,4.000001207060e+03,4.000011598590e+03,9.380891896690e-04,2.500000000200e+03,1.810742629150e+22,6.228008648890e+06
1.186326249340e-13,5.000000016890e-02,9.122091601150e-01,3.719294464140e-02,5.907372194780e-04,7.157855663680e-06,1.000000000000e+04,4.000000053160e+03,4.000000176670e+03,4.000001337950e+03,4.000012856270e+03,9.380891896690e-04,2.500000000220e+03,1.810742629170e+22,6.228008652850e+06
1.304121143080e-13,5.000000018570e-02,9.122091597370e-01,3.719294496190e-02,5.907372565350e-04,7.157858638970e-06,1.000000000000e+04,4.000000058440e+03,4.000000194210e+03,4.000001470800e+03,4.000014132820e+03,9.380891896690e-04,2.500000000240e+03,1.810742629180e+22,6.228008656870e+06
1.423682960220e-13,5.000000020270e-02,9.122091593540e-01,3.719294528720e-02,5.907372941470e-04,7.157861658890e-06,1.000000000000e+04,4.000000063800e+03,4.000000212020e+03,4.000001605640e+03,4.000015428520e+03,9.380891896690e-04,2.500000000260e+03,1.810742629200e+22,6.228008660950e+06
1.545038204630e-13,5.000000022000e-02,9.122091589660e-01,3.719294561740e-02,5.907373323240e-04,7.157864724120e-06,1.000000000000e+04,4.000000069240e+03,4.000000230090e+03,4.000001742510e+03,4.000016743650e+03,9.380891896690e-04,2.500000000280e+03,1.810742629210e+22,6.228008665090e+06
1.668213777700e-13,5.000000023750e-02,9.122091585710e-01,3.719294595260e-02,5.907373710730e-04,7.157867835320e-06,1.000000000000e+04,4.000000074760e+03,4.000000248440e+03,4.000001881430e+03,4.000018078510e+03,9.380891896690e-04,2.500000000300e+03,1.810742629230e+22,6.228008669290e+06
1.793236984360e-13,5.000000025530e-02,9.122091581710e-01,3.719294629280e-02,5.907374104040e-04,7.157870993190e-06,1.000000000000e+04,4.000000080360e+03,4.000000267050e+03,4.000002022430e+03,4.000019433390e+03,9.380891896690e-04,2.500000000330e+03,1.810742629250e+22,6.228008673550e+06
1.920135539130e-13,5.000000027340e-02,9.122091577640e-01,3.719294663800e-02,5.907374503240e-04,7.157874198420e-06,1.000000000000e+04,4.000000086040e+03,4.000000285950e+03,4.000002165550e+03,4.000020808590e+03,9.380891896690e-04,2.500000000350e+03,1.810742629260e+22,6.228008677880e+06
2.048937572210e-13,5.000000029170e-02,9.122091573510e-01,3.719294698850e-02,5.907374908440e-04,7.157877451740e-06,1.000000000000e+04,4.000000091820e+03,4.000000305130e+03,4.000002310810e+03,4.000022204420e+03,9.380891896690e-04,2.500000000370e+03,1.810742629280e+22,6.228008682270e+06
2.179671635800e-13,5.000000031040e-02,9.122091569330e-01,3.719294734420e-02,5.907375319710e-04,7.157880753850e-06,1.000000000000e+04,4.000000097670e+03,4.000000324600e+03,4.000002458250e+03,4.000023621180e+03,9.380891896690e-04,2.500000000400e+03,1.810742629300e+22,6.228008686730e+06
2.312366710330e-13,5.000000032930e-02,9.122091565080e-01,3.719294770530e-02,5.907375737150e-04,7.157884105500e-06,1.000000000000e+04,4.000000103620e+03,4.000000344360e+03,4.000002607910e+03,4.000025059200e+03,9.380891896690e-04,2.500000000420e+03,1.810742629320e+22,6.228008691260e+06
2.447052210990e-13,5.000000034840e-02,9.122091560760e-01,3.719294807170e-02,5.907376160850e-04,7.157887507420e-06,1.000000000000e+04,4.000000109660e+03,4.000000364420e+03,4.000002759810e+03,4.000026518780e+03,9.380891896690e-04,2.500000000450e+03,1.810742629330e+22,6.228008695850e+06
