t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,X_O2_9,X_O2_10,X_O2_11,X_O2_12,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,Tg_9,Tg_10,Tg_11,Tg_12,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,3.801152027260e-14,1.000000000000e-25,1.000000000000e-25,1.000000000000e-25,3.456556803340e-17,1.000000000200e-25,3.727747023590e-25,2.311669425180e-08,9.393785296000e-01,1.049352783650e-02,1.262839460350e-04,1.635501083610e-06,1.000000000000e+04,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,7.504713517360e-03,2.000000000000e+04,1.448594103210e+23,4.526075423680e+06
1.000000000000e-14,5.000000002750e-02,8.473051539800e-10,9.395291554940e-13,1.693182509610e-13,1.337543035540e-14,1.340522352560e-10,1.053084475260e-11,4.103049972710e-11,2.378147132790e-08,9.393785240570e-01,1.049353042690e-02,1.262847682540e-04,1.635904740690e-06,1.000000000000e+04,4.563003042770e+03,3.325871010450e+03,4.463504446510e+03,-2.843971684750e+11,5.460070259380e+03,5.148043067310e+03,5.922451336490e+03,6.172785601420e+02,5.000001036320e+02,5.000008580420e+02,5.000187119450e+02,5.006621004760e+02,7.504713517360e-03,2.000000000030e+04,1.448594103230e+23,4.526075465600e+06
2.015000000000e-14,5.000000005550e-02,1.707281321540e-09,1.893151271240e-12,3.411764177230e-13,2.695149287270e-14,2.701152217840e-10,2.121965258130e-11,8.267645795990e-11,2.445622007480e-08,9.393785184310e-01,1.049353305620e-02,1.262856028050e-04,1.636314452630e-06,1.000000000000e+04,4.563108550830e+03,3.325870982940e+03,4.463505049920e+03,-2.843971683810e+11,5.460072185360e+03,5.148043114660e+03,5.922451371690e+03,7.202498653690e+02,5.000002088180e+02,5.000017289550e+02,5.000377043190e+02,5.013337952540e+02,7.504713517360e-03,2.000000000060e+04,1.448594103250e+23,4.526075508140e+06
3.045225000000e-14,5.000000008390e-02,2.580157149990e-09,2.861077741460e-12,5.156126022280e-13,4.073119703240e-14,4.082191560310e-10,3.206879293980e-11,1.249471066030e-10,2.514109006850e-08,9.393785127210e-01,1.049353572490e-02,1.262864498750e-04,1.636730310260e-06,1.000000000000e+04,4.563130163380e+03,3.325870960100e+03,4.463505689270e+03,-2.843971683240e+11,5.460072607160e+03,5.148043162750e+03,5.922451407960e+03,8.133112311580e+02,5.000003155820e+02,5.000026129300e+02,5.000569813190e+02,5.020152183190e+02,7.504713517360e-03,2.000000000090e+04,1.448594103270e+23,4.526075551330e+06
4.090903375000e-14,5.000000011270e-02,3.466126134740e-09,3.843523131610e-12,6.926654785000e-13,5.471759746560e-14,5.483946523130e-10,4.308067082610e-11,1.678518160450e-10,2.583623312850e-08,9.393785069250e-01,1.049353843360e-02,1.262873096510e-04,1.637152405760e-06,1.000000000000e+04,4.563112898800e+03,3.325870939120e+03,4.463506350780e+03,-2.843971682840e+11,5.460072331790e+03,5.148043211480e+03,5.922451445000e+03,8.989839469280e+02,5.000004239480e+02,5.000035101650e+02,5.000765472090e+02,5.027065053790e+02,7.504713517360e-03,2.000000000120e+04,1.448594103290e+23,4.526075595160e+06
5.152266925620e-14,5.000000014190e-02,4.365384673710e-09,4.840705225860e-12,8.723743010420e-13,6.891379462800e-14,6.906727841730e-10,5.425772731420e-11,2.114000972280e-10,2.654180335130e-08,9.393785010430e-01,1.049354118300e-02,1.262881823240e-04,1.637580832700e-06,1.000000000000e+04,4.563225476930e+03,3.325870909400e+03,4.463506982730e+03,-2.843971682530e+11,5.460074387010e+03,5.148043259900e+03,5.922451481350e+03,9.788474798530e+02,5.000005339390e+02,5.000044208580e+02,5.000964063120e+02,5.034077938790e+02,7.504713517360e-03,2.000000000150e+04,1.448594103310e+23,4.526075639650e+06
6.229550929510e-14,5.000000017160e-02,5.278132110770e-09,5.852845075240e-12,1.054778913460e-12,8.332293548570e-14,8.350850912610e-10,6.560244009540e-11,2.556016037630e-10,2.725795714500e-08,9.393784950720e-01,1.049354397360e-02,1.262890680870e-04,1.638015686050e-06,1.000000000000e+04,4.563435496130e+03,3.325870873170e+03,4.463507595410e+03,-2.843971682270e+11,5.460078193110e+03,5.148043308230e+03,5.922451517340e+03,1.053952252260e+03,5.000006455790e+02,5.000053452110e+02,5.001165630200e+02,5.041192230210e+02,7.504713517360e-03,2.000000000180e+04,1.448594103340e+23,4.526075684800e+06
7.322994193450e-14,5.000000020170e-02,6.204570780030e-09,6.880167046620e-12,1.239919757190e-12,9.794821421100e-14,9.816635863300e-10,7.711732402710e-11,3.004661340660e-10,2.798485326360e-08,9.393784890110e-01,1.049354680600e-02,1.262899671360e-04,1.638457062210e-06,1.000000000000e+04,4.563214280990e+03,3.325870863540e+03,4.463508351540e+03,-2.843971682050e+11,5.460074259150e+03,5.148043359720e+03,5.922451557690e+03,1.125055693870e+03,5.000007588950e+02,5.000062834290e+02,5.001370217880e+02,5.048409337840e+02,7.504713517360e-03,2.000000000210e+04,1.448594103360e+23,4.526075730630e+06
8.432839106350e-14,5.000000023220e-02,7.144906050610e-09,7.922898872440e-12,1.427837880470e-12,1.127928728910e-13,1.130440762330e-09,8.880493168990e-11,3.460036335300e-10,2.872265284250e-08,9.393784828600e-01,1.049354968100e-02,1.262908796710e-04,1.638905059020e-06,1.000000000000e+04,4.563221024100e+03,3.325870839020e+03,4.463509048030e+03,-2.843971681850e+11,5.460074415810e+03,5.148043410580e+03,5.922451596560e+03,1.192736401760e+03,5.000008739100e+02,5.000072357190e+02,5.001577871370e+02,5.055730689370e+02,7.504713517360e-03,2.000000000240e+04,1.448594103380e+23,4.526075777150e+06
9.559331692950e-14,5.000000026330e-02,8.099346372200e-09,8.981271701180e-12,1.618574947540e-12,1.278602022460e-13,1.281449599600e-09,1.006678539540e-10,3.922241967290e-10,2.947151943410e-08,9.393784766160e-01,1.049355259910e-02,1.262918058940e-04,1.639359775780e-06,1.000000000000e+04,4.563236976340e+03,3.325870813480e+03,4.463509752730e+03,-2.843971681680e+11,5.460074738300e+03,5.148043462040e+03,5.922451635920e+03,1.257439361210e+03,5.000009906510e+02,5.000082022940e+02,5.001788636570e+02,5.063157730590e+02,7.504713517360e-03,2.000000000270e+04,1.448594103400e+23,4.526075824370e+06
1.070272166830e-13,5.000000029470e-02,9.068103321260e-09,1.005552014860e-11,1.812173247710e-12,1.431535423580e-13,1.434723573210e-09,1.127087205530e-10,4.391380696580e-10,3.023161904420e-08,9.393784702790e-01,1.049355556090e-02,1.262927460100e-04,1.639821313310e-06,1.000000000000e+04,4.563188201400e+03,3.325870791560e+03,4.463510488540e+03,-2.843971681530e+11,5.460073899390e+03,5.148043514560e+03,5.922451676430e+03,1.319519255440e+03,5.000011091420e+02,5.000091833660e+02,5.002002560070e+02,5.070691925580e+02,7.504713517360e-03,2.000000000300e+04,1.448594103430e+23,4.526075872300e+06
1.186326249340e-13,5.000000032670e-02,1.005139164790e-08,1.114588234970e-11,2.008675704840e-12,1.586762834130e-13,1.590296660330e-09,1.249302006660e-10,4.867556520040e-10,3.100312016840e-08,9.393784638460e-01,1.049355856720e-02,1.262937002280e-04,1.640289773910e-06,1.000000000000e+04,4.563178001660e+03,3.325870766790e+03,4.463511223770e+03,-2.843971681390e+11,5.460073753270e+03,5.148043567560e+03,5.922451717190e+03,1.379264751360e+03,5.000012294110e+02,5.000101791540e+02,5.002219689140e+02,5.078334756860e+02,7.504713517360e-03,2.000000000340e+04,1.448594103450e+23,4.526075920940e+06
