t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,Th,Tg_1,Tg_2,Tg_3,Tg_4,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,1.009585381120e-23,9.500000000000e-01,1.000000000000e-25,1.000000000200e-25,1.000000000000e+04,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,7.504713517360e-03,2.000000000000e+04,1.448594103210e+23,4.526094661400e+06
1.000000000000e-14,5.000000002850e-02,1.146668553990e-09,9.499999987970e-01,2.302715616030e-11,5.150700345540e-12,1.000000000000e+04,6.253550656310e+03,5.000001194020e+02,5.907278942820e+03,5.514286051680e+03,7.504713517360e-03,2.000000000030e+04,1.448594103230e+23,4.526094707080e+06
2.015000000000e-14,5.000000005750e-02,2.310537144150e-09,9.499999975750e-01,4.639971955920e-11,1.037866112280e-11,1.000000000000e+04,6.253550689280e+03,5.000002405950e+02,5.907278923420e+03,5.514286190910e+03,7.504713517360e-03,2.000000000060e+04,1.448594103250e+23,4.526094753440e+06
3.045225000000e-14,5.000000008690e-02,3.491863804520e-09,9.499999963350e-01,7.012287086860e-11,1.568504092720e-11,1.000000000000e+04,6.253550722630e+03,5.000003636060e+02,5.907278903600e+03,5.514286331990e+03,7.504713517360e-03,2.000000000090e+04,1.448594103270e+23,4.526094800500e+06
4.090903375000e-14,5.000000011680e-02,4.690910424950e-09,9.499999950770e-01,9.420186866170e-11,2.107101586970e-11,1.000000000000e+04,6.253550756400e+03,5.000004884620e+02,5.907278883400e+03,5.514286475010e+03,7.504713517360e-03,2.000000000120e+04,1.448594103290e+23,4.526094848270e+06
5.152266925620e-14,5.000000014710e-02,5.907942744650e-09,9.499999938000e-01,1.186420514210e-10,2.653778043610e-11,1.000000000000e+04,6.253550790670e+03,5.000006151910e+02,5.907278862880e+03,5.514286620170e+03,7.504713517360e-03,2.000000000150e+04,1.448594103320e+23,4.526094896750e+06
6.229550929510e-14,5.000000017780e-02,7.143230549100e-09,9.499999925030e-01,1.434488369210e-10,3.208654647080e-11,1.000000000000e+04,6.253550825460e+03,5.000007438210e+02,5.907278842060e+03,5.514286767510e+03,7.504713517360e-03,2.000000000180e+04,1.448594103340e+23,4.526094945960e+06
7.322994193450e-14,5.000000020900e-02,8.397047670580e-09,9.499999911880e-01,1.686277242020e-10,3.771854399590e-11,1.000000000000e+04,6.253550860770e+03,5.000008743800e+02,5.907278820930e+03,5.514286917050e+03,7.504713517360e-03,2.000000000210e+04,1.448594103360e+23,4.526094995900e+06
8.432839106350e-14,5.000000024070e-02,9.669672048850e-09,9.499999898520e-01,1.941842947920e-10,4.343502148370e-11,1.000000000000e+04,6.253550896600e+03,5.000010068980e+02,5.907278799480e+03,5.514287068850e+03,7.504713517360e-03,2.000000000250e+04,1.448594103390e+23,4.526095046600e+06
9.559331692950e-14,5.000000027290e-02,1.096138579270e-08,9.499999884960e-01,2.201242139400e-10,4.923724613360e-11,1.000000000000e+04,6.253550932980e+03,5.000011414030e+02,5.907278777710e+03,5.514287222920e+03,7.504713517360e-03,2.000000000280e+04,1.448594103410e+23,4.526095098060e+06
1.070272166830e-13,5.000000030550e-02,1.227247524280e-08,9.499999871200e-01,2.464532318740e-10,5.512650415310e-11,1.000000000000e+04,6.253550969900e+03,5.000012779260e+02,5.907278755620e+03,5.514287379300e+03,7.504713517360e-03,2.000000000310e+04,1.448594103430e+23,4.526095150280e+06
1.186326249340e-13,5.000000033860e-02,1.360323103450e-08,9.499999857240e-01,2.731771850770e-10,6.110410104260e-11,1.000000000000e+04,6.253551007370e+03,5.000014164970e+02,5.907278733190e+03,5.514287538020e+03,7.504713517360e-03,2.000000000350e+04,1.448594103460e+23,4.526095203300e+06
1.304121143080e-13,5.000000037230e-02,1.495394816300e-08,9.499999843060e-01,3.003019975760e-10,6.717136188530e-11,1.000000000000e+04,6.253551045410e+03,5.000015571460e+02,5.907278710420e+03,5.514287699130e+03,7.504713517360e-03,2.000000000380e+04,1.448594103480e+23,4.526095257100e+06
1.423682960220e-13,5.000000040640e-02,1.632492604840e-08,9.499999828680e-01,3.278336822620e-10,7.332963164040e-11,1.000000000000e+04,6.253551084020e+03,5.000016999050e+02,5.907278687320e+03,5.514287862650e+03,7.504713517360e-03,2.000000000420e+04,1.448594103510e+23,4.526095311720e+06
1.545038204630e-13,5.000000044100e-02,1.771646916260e-08,9.499999814070e-01,3.557783349060e-10,7.958027023730e-11,1.000000000000e+04,6.253551123180e+03,5.000018448050e+02,5.907278663840e+03,5.514288028570e+03,7.504713517360e-03,2.000000000450e+04,1.448594103540e+23,4.526095367150e+06
1.668213777700e-13,5.000000047620e-02,1.912888486900e-08,9.499999799250e-01,3.841421645710e-10,8.592467356110e-11,1.000000000000e+04,6.253551162950e+03,5.000019918790e+02,5.907278640030e+03,5.514288197040e+03,7.504713517360e-03,2.000000000490e+04,1.448594103560e+23,4.526095423410e+06
1.793236984360e-13,5.000000051190e-02,2.056248682310e-08,9.499999784200e-01,4.129314515210e-10,9.236424282140e-11,1.000000000000e+04,6.253551203320e+03,5.000021411590e+02,5.907278615870e+03,5.514288368030e+03,7.504713517360e-03,2.000000000530e+04,1.448594103590e+23,4.526095480520e+06
1.920135539130e-13,5.000000054810e-02,2.201759281890e-08,9.499999768930e-01,4.421525776110e-10,9.890040550400e-11,1.000000000000e+04,6.253551244300e+03,5.000022926780e+02,5.907278591340e+03,5.514288541580e+03,7.504713517360e-03,2.000000000560e+04,1.448594103620e+23,4.526095538490e+06
