t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,7.064359763510e-01,2.057724998670e-01,3.294206022280e-02,4.251557300940e-03,5.256618920110e-04,6.508613723340e-05,7.130085975560e-06,2.814321360810e-08,1.000000000000e+04,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,9.380891896690e-04,2.500000000000e+03,1.810742629010e+22,6.227886615450e+06
1.000000000000e-14,5.000000001420e-02,7.064359756970e-01,2.057725002000e-01,3.294206042550e-02,4.251557370280e-03,5.256619154730e-04,6.508614522740e-05,7.130088430150e-06,2.814328463290e-08,1.000000000000e+04,4.000000004080e+03,4.000000005590e+03,4.000000010710e+03,4.000000028210e+03,4.000000080320e+03,4.000000200210e+03,4.000000962840e+03,4.000004538970e+03,9.380891896690e-04,2.500000000020e+03,1.810742629020e+22,6.227886618860e+06
2.015000000000e-14,5.000000002870e-02,7.064359750330e-01,2.057725005390e-01,3.294206063120e-02,4.251557440670e-03,5.256619392870e-04,6.508615334120e-05,7.130090921560e-06,2.814335672300e-08,1.000000000000e+04,4.000000008220e+03,4.000000011260e+03,4.000000021580e+03,4.000000056850e+03,4.000000161850e+03,4.000000403420e+03,4.000001940130e+03,4.000009146020e+03,9.380891896690e-04,2.500000000040e+03,1.810742629040e+22,6.227886622320e+06
3.045225000000e-14,5.000000004340e-02,7.064359743600e-01,2.057725008830e-01,3.294206084000e-02,4.251557512110e-03,5.256619634590e-04,6.508616157680e-05,7.130093450340e-06,2.814342989450e-08,1.000000000000e+04,4.000000012430e+03,4.000000017020e+03,4.000000032610e+03,4.000000085910e+03,4.000000244600e+03,4.000000609680e+03,4.000002932070e+03,4.000013822170e+03,9.380891896690e-04,2.500000000060e+03,1.810742629050e+22,6.227886625840e+06
4.090903375000e-14,5.000000005820e-02,7.064359736760e-01,2.057725012310e-01,3.294206105200e-02,4.251557584620e-03,5.256619879920e-04,6.508616993590e-05,7.130096017060e-06,2.814350416350e-08,1.000000000000e+04,4.000000016700e+03,4.000000022870e+03,4.000000043810e+03,4.000000115410e+03,4.000000328590e+03,4.000000819030e+03,4.000003938890e+03,4.000018568470e+03,9.380891896690e-04,2.500000000070e+03,1.810742629060e+22,6.227886629400e+06
5.152266925620e-14,5.000000007340e-02,7.064359729820e-01,2.057725015850e-01,3.294206126710e-02,4.251557658220e-03,5.256620128940e-04,6.508617842040e-05,7.130098622270e-06,2.814357954660e-08,1.000000000000e+04,4.000000021030e+03,4.000000028800e+03,4.000000055170e+03,4.000000145360e+03,4.000000413840e+03,4.000001031520e+03,4.000004960820e+03,4.000023385960e+03,9.380891896690e-04,2.500000000090e+03,1.810742629080e+22,6.227886633020e+06
6.229550929510e-14,5.000000008870e-02,7.064359722780e-01,2.057725019450e-01,3.294206148550e-02,4.251557732920e-03,5.256620381690e-04,6.508618703210e-05,7.130101266560e-06,2.814365606050e-08,1.000000000000e+04,4.000000025430e+03,4.000000034820e+03,4.000000066710e+03,4.000000175750e+03,4.000000500370e+03,4.000001247200e+03,4.000005998070e+03,4.000028275720e+03,9.380891896690e-04,2.500000000110e+03,1.810742629090e+22,6.227886636700e+06
7.322994193450e-14,5.000000010430e-02,7.064359715630e-01,2.057725023100e-01,3.294206170710e-02,4.251557808750e-03,5.256620638230e-04,6.508619577310e-05,7.130103950520e-06,2.814373372200e-08,1.000000000000e+04,4.000000029890e+03,4.000000040940e+03,4.000000078420e+03,4.000000206600e+03,4.000000588190e+03,4.000001466120e+03,4.000007050880e+03,4.000033238820e+03,9.380891896690e-04,2.500000000130e+03,1.810742629110e+22,6.227886640430e+06
8.432839106350e-14,5.000000012010e-02,7.064359708370e-01,2.057725026800e-01,3.294206193210e-02,4.251557885710e-03,5.256620898630e-04,6.508620464510e-05,7.130106674730e-06,2.814381254850e-08,1.000000000000e+04,4.000000034420e+03,4.000000047140e+03,4.000000090300e+03,4.000000237910e+03,4.000000677340e+03,4.000001688320e+03,4.000008119490e+03,4.000038276370e+03,9.380891896690e-04,2.500000000150e+03,1.810742629120e+22,6.227886644210e+06
9.559331692950e-14,5.000000013610e-02,7.064359701010e-01,2.057725030550e-01,3.294206216040e-02,4.251557963830e-03,5.256621162920e-04,6.508621365020e-05,7.130109439810e-06,2.814389255740e-08,1.000000000000e+04,4.000000039020e+03,4.000000053440e+03,4.000000102370e+03,4.000000269690e+03,4.000000767820e+03,4.000001913850e+03,4.000009204120e+03,4.000043389480e+03,9.380891896690e-04,2.500000000170e+03,1.810742629140e+22,6.227886648060e+06
