t,X_O,X_O2,Th,Tv,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,9.500000000000e-01,1.000000000000e+04,5.000000000000e+02,7.504713517360e-03,2.000000000000e+04,1.448594103210e+23,6.930914601370e+06
1.000000000000e-14,5.000000118670e-02,9.499999988130e-01,1.000000000000e+04,5.000008901130e+02,7.504713517360e-03,2.000000001220e+04,1.448594104090e+23,6.930914662780e+06
2.015000000000e-14,5.000000239120e-02,9.499999976090e-01,1.000000000000e+04,5.000017935730e+02,7.504713517360e-03,2.000000002450e+04,1.448594104980e+23,6.930914725110e+06
3.045225000000e-14,5.000000361380e-02,9.499999963860e-01,1.000000000000e+04,5.000027105800e+02,7.504713517360e-03,2.000000003710e+04,1.448594105890e+23,6.930914788370e+06
4.090903375000e-14,5.000000485470e-02,9.499999951450e-01,1.000000000000e+04,5.000036413380e+02,7.504713517360e-03,2.000000004980e+04,1.448594106810e+23,6.930914852590e+06
5.152266925620e-14,5.000000611420e-02,9.499999938860e-01,1.000000000000e+04,5.000045860530e+02,7.504713517360e-03,2.000000006270e+04,1.448594107750e+23,6.930914917770e+06
6.229550929510e-14,5.000000739260e-02,9.499999926070e-01,1.000000000000e+04,5.000055449340e+02,7.504713517360e-03,2.000000007580e+04,1.448594108700e+23,6.930914983920e+06
7.322994193450e-14,5.000000869020e-02,9.499999913100e-01,1.000000000000e+04,5.000065181920e+02,7.504713517360e-03,2.000000008910e+04,1.448594109660e+23,6.930915051070e+06
8.432839106350e-14,5.000001000720e-02,9.499999899930e-01,1.000000000000e+04,5.000075060450e+02,7.504713517360e-03,2.000000010260e+04,1.448594110640e+23,6.930915119220e+06
9.559331692950e-14,5.000001134400e-02,9.499999886560e-01,1.000000000000e+04,5.000085087100e+02,7.504713517360e-03,2.000000011630e+04,1.448594111640e+23,6.930915188400e+06
1.070272166830e-13,5.000001270090e-02,9.499999872990e-01,1.000000000000e+04,5.000095264100e+02,7.504713517360e-03,2.000000013030e+04,1.448594112640e+23,6.930915258620e+06
1.186326249340e-13,5.000001407810e-02,9.499999859220e-01,1.000000000000e+04,5.000105593690e+02,7.504713517360e-03,2.000000014440e+04,1.448594113670e+23,6.930915329880e+06
1.304121143080e-13,5.000001547600e-02,9.499999845240e-01,1.000000000000e+04,5.000116078170e+02,7.504713517360e-03,2.000000015870e+04,1.448594114700e+23,6.930915402220e+06
1.423682960220e-13,5.000001689480e-02,9.499999831050e-01,1.000000000000e+04,5.000126719860e+02,7.504713517360e-03,2.000000017330e+04,1.448594115760e+23,6.930915475640e+06
1.545038204630e-13,5.000001833490e-02,9.499999816650e-01,1.000000000000e+04,5.000137521110e+02,7.504713517360e-03,2.000000018810e+04,1.448594116830e+23,6.930915550160e+06
1.668213777700e-13,5.000001979670e-02,9.499999802030e-01,1.000000000000e+04,5.000148484320e+02,7.504713517360e-03,2.000000020300e+04,1.448594117910e+23,6.930915625800e+06
1.793236984360e-13,5.000002128030e-02,9.499999787200e-01,1.000000000000e+04,5.000159611900e+02,7.504713517360e-03,2.000000021830e+04,1.448594119020e+23,6.930915702580e+06
1.920135539130e-13,5.000002278620e-02,9.499999772140e-01,1.000000000000e+04,5.000170906340e+02,7.504713517360e-03,2.000000023370e+04,1.448594120140e+23,6.930915780510e+06
2.048937572210e-13,5.000002431470e-02,9.499999756850e-01,1.000000000000e+04,5.000182370120e+02,7.504713517360e-03,2.000000024940e+04,1.448594121270e+23,6.930915859600e+06
2.179671635800e-13,5.000002586610e-02,9.499999741340e-01,1.000000000000e+04,5.000194005790e+02,7.504713517360e-03,2.000000026530e+04,1.448594122420e+23,6.930915939880e+06
2.312366710330e-13,5.000002744080e-02,9.499999725590e-01,1.000000000000e+04,5.000205815920e+02,7.504713517360e-03,2.000000028140e+04,1.448594123590e+23,6.930916021370e+06
2.447052210990e-13,5.000002903910e-02,9.499999709610e-01,1.000000000000e+04,5.000217803130e+02,7.504713517360e-03,2.000000029780e+04,1.448594124780e+23,6.930916104070e+06
2.583757994150e-13,5.000003066140e-02,9.499999693390e-01,1.000000000000e+04,5.000229970070e+02,7.504713517360e-03,2.000000031450e+04,1.448594125990e+23,6.930916188020e+06
2.722514364070e-13,5.000003230800e-02,9.499999676920e-01,1.000000000000e+04,5.000242319430e+02,7.504713517360e-03,2.000000033140e+04,1.448594127210e+23,6.930916273230e+06
2.863352079530e-13,5.000003397930e-02,9.499999660210e-01,1.000000000000e+04,5.000254853950e+02,7.504713517360e-03,2.000000034850e+04,1.448594128450e+23,6.930916359710e+06
3.006302360720e-13,5.000003567570e-02,9.499999643240e-01,1.000000000000e+04,5.000267576400e+02,7.504713517360e-03,2.000000036590e+04,1.448594129710e+23,6.930916447500e+06
3.151396896130e-13,5.000003739760e-02,9.499999626020e-01,1.000000000000e+04,5.000280489600e+02,7.504713517360e-03,2.000000038360e+04,1.448594130990e+23,6.930916536590e+06
3.298667849570e-13,5.000003914520e-02,9.499999608550e-01,1.000000000000e+04,5.000293596400e+02,7.504713517360e-03,2.000000040150e+04,1.448594132290e+23,6.930916627030e+06
3.448147867320e-13,5.000004091910e-02,9.499999590810e-01,1.000000000000e+04,5.000306899720e+02,7.504713517360e-03,2.000000041970e+04,1.448594133610e+23,6.930916718820e+06
3.599870085330e-13,5.000004271960e-02,9.499999572800e-01,1.000000000000e+04,5.000320402490e+02,7.504713517360e-03,2.000000043810e+04,1.448594134940e+23,6.930916811990e+06
3.753868136610e-13,5.000004454710e-02,9.499999554530e-01,1.000000000000e+04,5.000334107710e+02,7.504713517360e-03,2.000000045690e+04,1.448594136300e+23,6.930916906550e+06
3.910176158650e-13,5.000004640200e-02,9.499999535980e-01,1.000000000000e+04,5.000348018400e+02,7.504713517360e-03,2.000000047590e+04,1.448594137680e+23,6.930917002530e+06
4.068828801030e-13,5.000004828470e-02,9.499999517150e-01,1.000000000000e+04,5.000362137640e+02,7.504713517360e-03,2.000000049520e+04,1.448594139080e+23,6.930917099960e+06
4.229861233050e-13,5.000005019570e-02,9.499999498040e-01,1.000000000000e+04,5.000376468570e+02,7.504713517360e-03,2.000000051480e+04,1.448594140500e+23,6.930917198840e+06
4.393309151550e-13,5.000005213530e-02,9.499999478650e-01,1.000000000000e+04,5.000391014340e+02,7.504713517360e-03,2.000000053470e+04,1.448594141940e+23,6.930917299210e+06
4.559208788820e-13,5.000005410400e-02,9.499999458960e-01,1.000000000000e+04,5.000405778190e+02,7.504713517360e-03,2.000000055490e+04,1.448594143400e+23,6.930917401080e+06
4.727596920650e-13,5.000005610230e-02,9.499999438980e-01,1.000000000000e+04,5.000420763380e+02,7.504713517360e-03,2.000000057540e+04,1.448594144880e+23,6.930917504480e+06
4.898510874460e-13,5.000005813050e-02,9.499999418690e-01,1.000000000000e+04,5.000435973230e+02,7.504713517360e-03,2.000000059620e+04,1.448594146390e+23,6.930917609430e+06
5.071988537580e-13,5.000006018920e-02,9.499999398110e-01,1.000000000000e+04,5.000451411090e+02,7.504713517360e-03,2.000000061730e+04,1.448594147920e+23,6.930917715950e+06
5.248068365640e-13,5.000006227870e-02,9.499999377210e-01,1.000000000000e+04,5.000467080400e+02,7.504713517360e-03,2.000000063880e+04,1.448594149470e+23,6.930917824080e+06
5.426789391130e-13,5.000006439960e-02,9.499999356000e-01,1.000000000000e+04,5.000482984610e+02,7.504713517360e-03,2.000000066050e+04,1.448594151050e+23,6.930917933820e+06
5.608191231990e-13,5.000006655230e-02,9.499999334480e-01,1.000000000000e+04,5.000499127250e+02,7.504713517360e-03,2.000000068260e+04,1.448594152650e+23,6.930918045210e+06
5.792314100470e-13,5.000006873730e-02,9.499999312630e-01,1.000000000000e+04,5.000515511880e+02,7.504713517360e-03,2.000000070500e+04,1.448594154270e+23,6.930918158270e+06
5.979198811980e-13,5.000007095500e-02,9.499999290450e-01,1.000000000000e+04,5.000532142140e+02,7.504713517360e-03,2.000000072770e+04,1.448594155920e+23,6.930918273020e+06
6.168886794160e-13,5.000007320610e-02,9.499999267940e-01,1.000000000000e+04,5.000549021710e+02,7.504713517360e-03,2.000000075080e+04,1.448594157590e+23,6.930918389500e+06
6.361420096070e-13,5.000007549090e-02,9.499999245090e-01,1.000000000000e+04,5.000566154310e+02,7.504713517360e-03,2.000000077430e+04,1.448594159290e+23,6.930918507720e+06
6.556841397510e-13,5.000007780990e-02,9.499999221900e-01,1.000000000000e+04,5.000583543740e+02,7.504713517360e-03,2.000000079810e+04,1.448594161010e+23,6.930918627720e+06
6.755194018480e-13,5.000008016380e-02,9.499999198360e-01,1.000000000000e+04,5.000601193850e+02,7.504713517360e-03,2.000000082220e+04,1.448594162760e+23,6.930918749510e+06
6.956521928750e-13,5.000008255290e-02,9.499999174470e-01,1.000000000000e+04,5.000619108540e+02,7.504713517360e-03,2.000000084670e+04,1.448594164530e+23,6.930918873140e+06
7.160869757680e-13,5.000008497790e-02,9.499999150220e-01,1.000000000000e+04,5.000637291780e+02,7.504713517360e-03,2.000000087160e+04,1.448594166340e+23,6.930918998610e+06
7.368282804050e-13,5.000008743930e-02,9.499999125610e-01,1.000000000000e+04,5.000655747580e+02,7.504713517360e-03,2.000000089680e+04,1.448594168160e+23,6.930919125970e+06
7.578807046110e-13,5.000008993760e-02,9.499999100620e-01,1.000000000000e+04,5.000674480040e+02,7.504713517360e-03,2.000000092240e+04,1.448594170020e+23,6.930919255240e+06
7.792489151800e-13,5.000009247330e-02,9.499999075270e-01,1.000000000000e+04,5.000693493300e+02,7.504713517360e-03,2.000000094840e+04,1.448594171900e+23,6.930919386440e+06
8.009376489080e-13,5.000009504710e-02,9.499999049530e-01,1.000000000000e+04,5.000712791550e+02,7.504713517360e-03,2.000000097480e+04,1.448594173820e+23,6.930919519620e+06
8.229517136420e-13,5.000009765950e-02,9.499999023400e-01,1.000000000000e+04,5.000732379080e+02,7.504713517360e-03,2.000000100160e+04,1.448594175760e+23,6.930919654790e+06
8.452959893460e-13,5.000010031110e-02,9.499998996890e-01,1.000000000000e+04,5.000752260210e+02,7.504713517360e-03,2.000000102880e+04,1.448594177730e+23,6.930919791990e+06
8.679754291860e-13,5.000010300250e-02,9.499998969970e-01,1.000000000000e+04,5.000772439350e+02,7.504713517360e-03,2.000000105640e+04,1.448594179730e+23,6.930919931240e+06
8.909950606240e-13,5.000010573420e-02,9.499998942660e-01,1.000000000000e+04,5.000792920950e+02,7.504713517360e-03,2.000000108450e+04,1.448594181750e+23,6.930920072590e+06
9.143599865340e-13,5.000010850700e-02,9.499998914930e-01,1.000000000000e+04,5.000813709550e+02,7.504713517360e-03,2.000000111290e+04,1.448594183810e+23,6.930920216050e+06
9.380753863320e-13,5.000011132130e-02,9.499998886790e-01,1.000000000000e+04,5.000834809740e+02,7.504713517360e-03,2.000000114180e+04,1.448594185910e+23,6.930920361660e+06
9.621465171260e-13,5.000011417780e-02,9.499998858220e-01,1.000000000000e+04,5.000856226190e+02,7.504713517360e-03,2.000000117110e+04,1.448594188030e+23,6.930920509460e+06
9.865787148830e-13,5.000011707720e-02,9.499998829230e-01,1.000000000000e+04,5.000877963640e+02,7.504713517360e-03,2.000000120080e+04,1.448594190180e+23,6.930920659480e+06
