t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,X_O2_9,X_O2_10,X_O2_11,X_O2_12,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,Tg_9,Tg_10,Tg_11,Tg_12,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,3.801152027260e-14,1.000000000000e-25,1.000000000000e-25,1.000000000000e-25,3.456556803340e-17,1.000000000200e-25,3.727747023590e-25,2.311669425180e-08,9.393785296000e-01,1.049352783650e-02,1.262839460350e-04,1.635501083610e-06,1.000000000000e+04,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,7.504713517360e-03,2.000000000000e+04,1.448594103210e+23,4.526075423680e+06
1.000000000000e-14,5.000000002850e-02,1.000092359640e-09,2.109526645260e-12,1.199076331140e-12,6.267565677310e-14,1.794497834920e-10,1.792838996940e-11,5.997404578870e-11,2.391291326040e-08,9.393785234900e-01,1.049353049370e-02,1.262848540600e-04,1.635959812270e-06,1.000000000000e+04,5.015598193200e+03,4.774291783630e+03,5.938981234830e+03,4.053672182910e+02,5.546160141700e+03,5.956031928280e+03,6.193567950710e+03,6.437392028090e+02,5.000001070950e+02,5.000009125740e+02,5.000220436770e+02,5.008178351010e+02,7.504713517360e-03,2.000000000030e+04,1.448594103230e+23,4.526075469360e+06
2.015000000000e-14,5.000000005750e-02,2.015147535730e-09,4.250695965680e-12,2.416138899420e-12,1.262914329120e-13,3.615912797900e-10,3.612570545120e-11,1.208477025740e-10,2.472107556190e-08,9.393785172890e-01,1.049353319070e-02,1.262857757050e-04,1.636425421870e-06,1.000000000000e+04,5.015679928580e+03,4.774291475360e+03,5.938981272340e+03,4.053672090320e+02,5.546161406680e+03,5.956031874520e+03,6.193567961620e+03,7.670315768780e+02,5.000002157960e+02,5.000018388360e+02,5.000444176810e+02,5.016474639980e+02,7.504713517360e-03,2.000000000060e+04,1.448594103250e+23,4.526075515720e+06
3.045225000000e-14,5.000000008690e-02,3.045428552530e-09,6.423982594680e-12,3.651457501590e-12,1.908614297340e-13,5.464648997530e-10,5.459598031960e-11,1.826344645400e-10,2.554136030640e-08,9.393785109950e-01,1.049353592810e-02,1.262867111750e-04,1.636898015610e-06,1.000000000000e+04,5.015705666640e+03,4.774291162490e+03,5.938981310050e+03,4.053671996210e+02,5.546161839100e+03,5.956031819930e+03,6.193567972580e+03,8.769554961670e+02,5.000003261280e+02,5.000027789910e+02,5.000671269590e+02,5.024890496980e+02,7.504713517360e-03,2.000000000090e+04,1.448594103270e+23,4.526075562780e+06
4.090903375000e-14,5.000000011680e-02,4.091163798050e-09,8.629868284950e-12,4.905305981380e-12,2.563999600680e-13,7.341116253190e-10,7.334330895660e-11,2.453480282790e-10,2.637394933060e-08,9.393785046060e-01,1.049353870670e-02,1.262876606770e-04,1.637377698260e-06,1.000000000000e+04,5.015718699480e+03,4.774290844990e+03,5.938981348170e+03,4.053671900600e+02,5.546162082960e+03,5.956031764470e+03,6.193567983600e+03,9.772177914430e+02,5.000004381150e+02,5.000037332480e+02,5.000901765290e+02,5.033427572540e+02,7.504713517360e-03,2.000000000120e+04,1.448594103290e+23,4.526075610540e+06
5.152266925620e-14,5.000000014710e-02,5.152585086150e-09,1.086884201530e-11,6.177962290240e-12,3.229215514270e-13,9.245730531570e-10,9.237184715920e-11,3.090022958350e-10,2.721902719910e-08,9.393784981220e-01,1.049354152690e-02,1.262886244220e-04,1.637864576150e-06,1.000000000000e+04,5.015726548630e+03,4.774290522790e+03,5.938981386810e+03,4.053671803510e+02,5.546162250170e+03,5.956031708160e+03,6.193567994730e+03,1.070020075930e+03,5.000005517820e+02,5.000047018190e+02,5.001135714840e+02,5.042087537830e+02,7.504713517360e-03,2.000000000150e+04,1.448594103320e+23,4.526075659020e+06
6.229550929510e-14,5.000000017780e-02,6.229927707940e-09,1.314140009900e-11,7.469708548980e-12,3.904409492180e-13,1.117891403890e-09,1.116858130610e-10,3.736113777790e-10,2.807678124470e-08,9.393784915410e-01,1.049354438940e-02,1.262896026220e-04,1.638358757220e-06,1.000000000000e+04,5.015731794770e+03,4.774290195810e+03,5.938981426040e+03,4.053671704930e+02,5.546162379140e+03,5.956031650980e+03,6.193568005970e+03,1.156810426920e+03,5.000006671530e+02,5.000056849170e+02,5.001373169960e+02,5.050872084830e+02,7.504713517360e-03,2.000000000180e+04,1.448594103340e+23,4.526075708230e+06
7.322994193450e-14,5.000000020900e-02,7.323430483920e-09,1.544804629380e-11,8.780831110290e-12,4.589731200180e-13,1.314109531450e-09,1.312894880670e-10,4.391895963420e-10,2.894740161010e-08,9.393784848600e-01,1.049354729480e-02,1.262905954960e-04,1.638860351000e-06,1.000000000000e+04,5.015735544840e+03,4.774289863990e+03,5.938981465880e+03,4.053671604860e+02,5.546162486350e+03,5.956031592920e+03,6.193568017330e+03,1.238612402110e+03,5.000007842550e+02,5.000066827620e+02,5.001614183110e+02,5.059782926540e+02,7.504713517360e-03,2.000000000210e+04,1.448594103360e+23,4.526075758170e+06
8.432839106350e-14,5.000000024070e-02,8.433335816920e-09,1.778929191350e-11,1.011162062230e-11,5.285332548850e-13,1.513270932590e-09,1.511872178030e-10,5.057514885890e-10,2.983108129030e-08,9.393784780800e-01,1.049355024380e-02,1.262916032630e-04,1.639369468690e-06,1.000000000000e+04,5.015738365930e+03,4.774289527250e+03,5.938981506370e+03,4.053671503300e+02,5.546162580250e+03,5.956031533980e+03,6.193568028840e+03,1.316183981260e+03,5.000009031140e+02,5.000076955730e+02,5.001858807540e+02,5.068821797160e+02,7.504713517360e-03,2.000000000250e+04,1.448594103390e+23,4.526075808870e+06
9.559331692950e-14,5.000000027290e-02,9.559889745800e-09,2.016565594150e-11,1.146237209280e-11,5.991367727260e-13,1.715419756510e-09,1.713834130790e-10,5.733118096410e-10,3.072801617510e-08,9.393784711970e-01,1.049355323710e-02,1.262926261460e-04,1.639886223150e-06,1.000000000000e+04,5.015740566240e+03,4.774289185500e+03,5.938981547520e+03,4.053671400220e+02,5.546162665450e+03,5.956031474140e+03,6.193568040500e+03,1.390108578960e+03,5.000010237560e+02,5.000087235770e+02,5.002107097310e+02,5.077990452330e+02,7.504713517360e-03,2.000000000280e+04,1.448594103410e+23,4.526075860320e+06
1.070272166830e-13,5.000000030550e-02,1.070334200000e-08,2.257766514570e-11,1.283338495500e-11,6.707993237140e-13,1.920600814630e-09,1.918825508660e-10,6.418855359440e-10,3.163840509280e-08,9.393784642120e-01,1.049355627520e-02,1.262936643730e-04,1.640410728930e-06,1.000000000000e+04,5.015742330940e+03,4.774288838680e+03,5.938981589350e+03,4.053671295610e+02,5.546162744710e+03,5.956031413390e+03,6.193568052320e+03,1.460843168410e+03,5.000011462070e+02,5.000097669990e+02,5.002359107280e+02,5.087290669250e+02,7.504713517360e-03,2.000000000310e+04,1.448594103430e+23,4.526075912550e+06
1.186326249340e-13,5.000000033860e-02,1.186394605510e-08,2.502585419520e-11,1.422496313370e-11,7.435367927590e-13,2.128859590580e-09,2.126891752910e-10,7.114878685930e-10,3.256244985390e-08,9.393784571220e-01,1.049355935900e-02,1.262947181730e-04,1.640943102300e-06,1.000000000000e+04,5.015743779090e+03,4.774288486700e+03,5.938981631880e+03,4.053671189450e+02,5.546162819850e+03,5.956031351730e+03,6.193568064300e+03,1.528754153540e+03,5.000012704950e+02,5.000108260720e+02,5.002614893120e+02,5.096724246920e+02,7.504713517360e-03,2.000000000350e+04,1.448594103460e+23,4.526075965550e+06
1.304121143080e-13,5.000000037230e-02,1.304195918850e-08,2.751076577880e-11,1.563741511240e-11,8.173653030250e-13,2.340242250220e-09,2.338078986400e-10,7.821342367000e-10,3.350035529630e-08,9.393784499250e-01,1.049356248900e-02,1.262957877790e-04,1.641483461280e-06,1.000000000000e+04,5.015744991510e+03,4.774288129490e+03,5.938981675100e+03,4.053671081730e+02,5.546162892070e+03,5.956031289130e+03,6.193568076460e+03,1.594141715870e+03,5.000013966470e+02,5.000119010310e+02,5.002874511340e+02,5.106293006320e+02,7.504713517360e-03,2.000000000380e+04,1.448594103480e+23,4.526076019360e+06
1.423682960220e-13,5.000000040640e-02,1.423764253710e-08,3.003295072550e-11,1.707105400230e-11,8.923012195060e-13,2.554795651900e-09,2.552434023840e-10,8.538403008130e-10,3.445232933030e-08,9.393784426210e-01,1.049356566590e-02,1.262968734310e-04,1.642031925640e-06,1.000000000000e+04,5.015746021970e+03,4.774287766950e+03,5.938981719040e+03,4.053670972420e+02,5.546162962200e+03,5.956031225600e+03,6.193568088800e+03,1.657251318830e+03,5.000015246920e+02,5.000129921140e+02,5.003138019300e+02,5.115998790580e+02,7.504713517360e-03,2.000000000420e+04,1.448594103510e+23,4.526076073970e+06
1.545038204630e-13,5.000000044100e-02,1.545126115460e-08,3.259296812640e-11,1.852619761120e-11,9.683611526500e-13,2.772567356850e-09,2.770004382170e-10,9.266219563880e-10,3.541858298510e-08,9.393784352060e-01,1.049356889050e-02,1.262979753660e-04,1.642588616970e-06,1.000000000000e+04,5.015746909200e+03,4.774287399010e+03,5.938981763700e+03,4.053670861490e+02,5.546163030850e+03,5.956031161110e+03,6.193568101310e+03,1.718288245270e+03,5.000016546570e+02,5.000140995620e+02,5.003405475210e+02,5.125843465200e+02,7.504713517360e-03,2.000000000450e+04,1.448594103540e+23,4.526076129400e+06
1.668213777700e-13,5.000000047620e-02,1.668308407080e-08,3.519138545880e-11,2.000316851420e-11,1.045561962040e-12,2.993605639740e-09,2.990838291050e-10,1.000495337320e-09,3.639933045500e-08,9.393784276810e-01,1.049357216340e-02,1.262990938310e-04,1.643153658680e-06,1.000000000000e+04,5.015747682270e+03,4.774287025590e+03,5.938981809090e+03,4.053670748920e+02,5.546163098460e+03,5.956031095650e+03,6.193568114020e+03,1.777426593870e+03,5.000017865720e+02,5.000152236210e+02,5.003676938140e+02,5.135828918230e+02,7.504713517360e-03,2.000000000490e+04,1.448594103560e+23,4.526076185660e+06
