# Idx,Group
0,12
1,12
2,12
3,12
4,12
5,12
6,12
7,12
8,12
9,12
10,12
11,12
12,12
13,12
14,12
15,12
16,12
17,12
18,12
19,12
20,12
21,12
22,12
23,12
24,12
25,12
26,12
27,12
28,12
29,12
30,12
31,12
32,12
33,13
34,13
35,13
36,13
37,13
38,12
39,13
40,13
41,13
42,13
43,13
44,12
45,13
46,13
47,13
48,12
49,13
50,13
51,13
52,12
53,13
54,13
55,12
56,13
57,13
58,12
59,13
60,13
61,12
62,13
63,12
64,13
65,13
66,12
67,13
68,13
69,12
70,13
71,12
72,13
73,13
74,12
75,13
76,12
77,13
78,13
79,12
80,14
81,14
82,14
83,14
84,14
85,14
86,13
87,14
88,14
89,14
90,12
91,14
92,13
93,14
94,14
95,14
96,13
97,12
98,14
99,14
100,14
101,13
102,14
103,12
104,14
105,13
106,14
107,12
108,14
109,13
110,14
111,14
112,13
113,12
114,14
115,14
116,13
117,12
118,14
119,13
120,14
121,12
122,14
123,13
124,14
125,12
126,13
127,14
128,14
129,13
130,12
131,14
132,13
133,14
134,12
135,14
136,13
137,15
138,15
139,15
140,15
141,15
142,15
143,14
144,15
145,15
146,12
147,15
148,15
149,13
150,14
151,15
152,15
153,15
154,12
155,14
156,15
157,13
158,15
159,15
160,14
161,15
162,13
163,12
164,15
165,14
166,15
167,15
168,13
169,14
170,12
171,15
172,15
173,14
174,13
175,15
176,12
177,15
178,14
179,13
180,15
181,14
182,15
183,12
184,15
185,13
186,14
187,15
188,12
189,15
190,13
191,14
192,15
193,14
194,12
195,13
196,15
197,15
198,14
199,13
200,12
201,15
202,7
203,7
204,7
205,14
206,7
207,7
208,7
209,7
210,15
211,7
212,7
213,13
214,7
215,14
216,7
217,12
218,15
219,7
220,7
221,7
222,15
223,13
224,14
225,7
226,7
227,12
228,15
229,7
230,14
231,7
232,13
233,15
234,7
235,7
236,12
237,14
238,15
239,7
240,13
241,7
242,15
243,14
244,7
245,12
246,7
247,13
248,15
249,7
250,14
251,15
252,7
253,12
254,13
255,7
256,14
257,15
258,7
259,13
260,7
261,12
262,15
263,14
264,7
265,15
266,7
267,14
268,13
269,12
270,7
271,15
272,14
273,7
274,7
275,7
276,13
277,7
278,7
279,7
280,15
281,7
282,12
283,7
284,7
285,7
286,7
287,7
288,14
289,7
290,15
291,7
292,7
293,13
294,7
295,7
296,12
297,7
298,7
299,14
300,15
301,7
302,7
303,7
304,13
305,7
306,15
307,14
308,7
309,7
310,12
311,7
312,13
313,15
314,7
315,7
316,14
317,7
318,7
319,12
320,7
321,15
322,13
323,7
324,7
325,14
326,7
327,15
328,7
329,7
330,12
331,13
332,14
333,7
334,15
335,7
336,7
337,7
338,12
339,7
340,14
341,15
342,13
343,7
344,7
345,7
346,15
347,14
348,12
349,13
350,7
351,7
352,7
353,15
354,10
355,10
356,10
357,10
358,10
359,14
360,10
361,7
362,10
363,10
364,7
365,13
366,10
367,12
368,10
369,15
370,10
371,7
372,7
373,10
374,10
375,14
376,10
377,7
378,10
379,13
380,7
381,15
382,10
383,12
384,7
385,10
386,14
387,10
388,7
389,10
390,7
391,15
392,13
393,10
394,12
395,7
396,10
397,7
398,14
399,10
400,15
401,7
402,10
403,7
404,13
405,10
406,14
407,7
408,12
409,15
410,10
411,7
412,10
413,7
414,13
415,10
416,14
417,15
418,7
419,7
420,12
421,10
422,10
423,7
424,13
425,15
426,7
427,14
428,10
429,7
430,12
431,10
432,7
433,15
434,10
435,13
436,14
437,7
438,10
439,10
440,10
441,10
442,7
443,10
444,10
445,10
446,10
447,7
448,12
449,15
450,10
451,10
452,10
453,10
454,14
455,10
456,13
457,7
458,10
459,10
460,7
461,10
462,15
463,10
464,10
465,10
466,12
467,7
468,10
469,7
470,14
471,10
472,10
473,13
474,10
475,15
476,7
477,10
478,10
479,7
480,10
481,14
482,12
483,10
484,10
485,7
486,7
487,15
488,10
489,7
490,10
491,10
492,7
493,10
494,14
495,10
496,7
497,15
498,10
499,7
500,7
501,7
502,10
503,10
504,10
505,14
506,7
507,15
508,7
509,10
510,10
511,7
512,7
513,10
514,10
515,7
516,7
517,10
518,14
519,15
520,10
521,10
522,7
523,7
524,7
525,7
526,10
527,10
528,15
529,14
530,10
531,10
532,10
533,10
534,10
535,10
536,7
537,10
538,10
539,10
540,10
541,10
542,7
543,10
544,7
545,10
546,7
547,10
548,15
549,10
550,10
551,7
552,7
553,10
554,10
555,10
556,7
557,10
558,10
559,10
560,10
561,7
562,7
563,10
564,15
565,10
566,7
567,10
568,7
569,7
570,10
571,10
572,10
573,7
574,10
575,10
576,7
577,10
578,10
579,7
580,10
581,7
582,7
583,7
584,7
585,10
586,10
587,10
588,10
589,7
590,10
591,10
592,7
593,7
594,7
595,7
596,10
597,10
598,10
599,7
600,10
601,7
602,7
603,10
604,10
605,10
606,7
607,10
608,7
609,7
610,10
611,10
612,10
613,7
614,7
615,7
616,7
617,10
618,10
619,10
620,10
621,7
622,7
623,7
624,10
625,16
626,7
627,16
628,16
629,10
630,16
631,7
632,16
633,16
634,7
635,16
636,10
637,16
638,10
639,16
640,10
641,7
642,16
643,16
644,7
645,16
646,10
647,7
648,7
649,16
650,10
651,10
652,7
653,16
654,16
655,10
656,7
657,7
658,16
659,10
660,16
661,10
662,10
663,7
664,7
665,16
666,7
667,16
668,7
669,10
670,10
671,7
672,16
673,10
674,16
675,10
676,7
677,10
678,7
679,16
680,7
681,7
682,16
683,7
684,10
685,10
686,7
687,16
688,10
689,10
690,16
691,7
692,7
693,10
694,7
695,16
696,10
697,7
698,10
699,7
700,16
701,7
702,16
703,10
704,10
705,7
706,10
707,7
708,16
709,10
710,7
711,7
712,7
713,16
714,10
715,10
716,7
717,7
718,7
719,16
720,10
721,10
722,16
723,10
724,10
725,7
726,7
727,16
728,16
729,16
730,16
731,16
732,16
733,7
734,7
735,16
736,16
737,7
738,16
739,10
740,16
741,10
742,16
743,7
744,16
745,16
746,10
747,16
748,16
749,16
750,7
751,10
752,10
753,7
754,16
755,7
756,7
757,16
758,16
759,16
760,7
761,10
762,10
763,16
764,7
765,16
766,10
767,16
768,7
769,7
770,16
771,16
772,10
773,7
774,7
775,16
776,10
777,10
778,16
779,16
780,7
781,16
782,10
783,7
784,7
785,16
786,16
787,10
788,7
789,10
790,7
791,16
792,10
793,7
794,16
795,16
796,7
797,16
798,10
799,10
800,10
801,16
802,7
803,7
804,16
805,7
806,7
807,16
808,16
809,7
810,10
811,10
812,7
813,10
814,16
815,16
816,16
817,7
818,10
819,7
820,7
821,10
822,7
823,16
824,16
825,10
826,7
827,7
828,16
829,10
830,16
831,10
832,16
833,16
834,16
835,16
836,16
837,16
838,7
839,16
840,7
841,16
842,10
843,16
844,16
845,10
846,7
847,16
848,16
849,7
850,7
851,16
852,16
853,16
854,10
855,7
856,16
857,16
858,16
859,16
860,10
861,7
862,10
863,16
864,16
865,7
866,16
867,7
868,10
869,16
870,16
871,16
872,7
873,16
874,10
875,7
876,7
877,16
878,10
879,16
880,16
881,7
882,16
883,10
884,7
885,16
886,7
887,10
888,16
889,16
890,16
891,16
892,10
893,7
894,16
895,10
896,7
897,7
898,10
899,16
900,7
901,7
902,16
903,16
904,16
905,7
906,16
907,10
908,10
909,10
910,16
911,16
912,16
913,7
914,7
915,7
916,7
917,16
918,16
919,7
920,16
921,10
922,16
923,7
924,10
925,10
926,16
927,16
928,16
929,7
930,10
931,7
932,16
933,16
934,7
935,7
936,10
937,10
938,16
939,7
940,16
941,7
942,11
943,16
944,11
945,11
946,11
947,11
948,10
949,16
950,11
951,11
952,11
953,7
954,11
955,10
956,7
957,16
958,16
959,11
960,16
961,10
962,11
963,11
964,7
965,7
966,10
967,11
968,16
969,11
970,7
971,16
972,16
973,11
974,7
975,16
976,10
977,7
978,11
979,11
980,10
981,7
982,16
983,7
984,16
985,11
