t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,Th,Tg_1,Tg_2,Tg_3,Tg_4,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,1.009585381120e-23,9.500000000000e-01,1.000000000000e-25,1.000000000200e-25,1.000000000000e+04,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,7.504713517360e-03,2.000000000000e+04,1.448594103210e+23,4.526094661400e+06
1.000000000000e-14,5.000000003110e-02,1.146668552200e-09,9.499999987940e-01,2.302715637720e-11,5.155812985360e-12,1.000000000000e+04,6.253550656560e+03,5.000001194020e+02,5.907278985930e+03,5.553016196090e+03,7.504713517360e-03,2.000000000030e+04,1.448594103230e+23,4.526094707100e+06
2.015000000000e-14,5.000000006270e-02,2.310537146510e-09,9.499999975700e-01,4.639971990560e-11,1.038896304020e-11,1.000000000000e+04,6.253550689570e+03,5.000002405940e+02,5.907278965840e+03,5.553016355550e+03,7.504713517360e-03,2.000000000060e+04,1.448594103250e+23,4.526094753490e+06
3.045225000000e-14,5.000000009480e-02,3.491863834730e-09,9.499999963280e-01,7.012287097820e-11,1.570060975900e-11,1.000000000000e+04,6.253550722850e+03,5.000003636050e+02,5.907278945210e+03,5.553016516930e+03,7.504713517360e-03,2.000000000100e+04,1.448594103280e+23,4.526094800580e+06
4.090903375000e-14,5.000000012740e-02,4.690910423240e-09,9.499999950660e-01,9.420186931620e-11,2.109193117840e-11,1.000000000000e+04,6.253550756630e+03,5.000004884600e+02,5.907278924280e+03,5.553016680740e+03,7.504713517360e-03,2.000000000130e+04,1.448594103300e+23,4.526094848370e+06
5.152266925620e-14,5.000000016040e-02,5.907942710530e-09,9.499999937860e-01,1.186420526280e-10,2.656412241890e-11,1.000000000000e+04,6.253550790920e+03,5.000006151890e+02,5.907278903020e+03,5.553016847000e+03,7.504713517360e-03,2.000000000160e+04,1.448594103330e+23,4.526094896880e+06
6.229550929510e-14,5.000000019400e-02,7.143230482090e-09,9.499999924870e-01,1.434488386890e-10,3.211839652770e-11,1.000000000000e+04,6.253550825720e+03,5.000007438180e+02,5.907278881450e+03,5.553017015750e+03,7.504713517360e-03,2.000000000200e+04,1.448594103350e+23,4.526094946120e+06
7.322994193450e-14,5.000000022800e-02,8.397047570180e-09,9.499999911690e-01,1.686277265400e-10,3.775598474810e-11,1.000000000000e+04,6.253550861050e+03,5.000008743770e+02,5.907278859560e+03,5.553017187040e+03,7.504713517360e-03,2.000000000230e+04,1.448594103380e+23,4.526094996090e+06
8.432839106350e-14,5.000000026260e-02,9.669671914540e-09,9.499999898300e-01,1.941842977080e-10,4.347813679150e-11,1.000000000000e+04,6.253550896900e+03,5.000010068940e+02,5.907278837330e+03,5.553017360900e+03,7.504713517360e-03,2.000000000270e+04,1.448594103400e+23,4.526095046820e+06
9.559331692950e-14,5.000000029760e-02,1.096138562400e-08,9.499999884720e-01,2.201242174430e-10,4.928612111540e-11,1.000000000000e+04,6.253550933290e+03,5.000011413990e+02,5.907278814780e+03,5.553017537360e+03,7.504713517360e-03,2.000000000310e+04,1.448594103430e+23,4.526095098310e+06
1.070272166830e-13,5.000000033320e-02,1.227247533650e-08,9.499999870930e-01,2.464532318190e-10,5.518122252030e-11,1.000000000000e+04,6.253550970200e+03,5.000012779200e+02,5.907278791850e+03,5.553017716400e+03,7.504713517360e-03,2.000000000340e+04,1.448594103460e+23,4.526095150560e+06
1.186326249340e-13,5.000000036940e-02,1.360323109900e-08,9.499999856930e-01,2.731771855400e-10,6.116475311430e-11,1.000000000000e+04,6.253551007690e+03,5.000014164910e+02,5.907278768610e+03,5.553017898200e+03,7.504713517360e-03,2.000000000380e+04,1.448594103480e+23,4.526095203610e+06
1.304121143080e-13,5.000000040600e-02,1.495394820870e-08,9.499999842720e-01,3.003019984130e-10,6.723803656880e-11,1.000000000000e+04,6.253551045740e+03,5.000015571400e+02,5.907278745020e+03,5.553018082720e+03,7.504713517360e-03,2.000000000420e+04,1.448594103510e+23,4.526095257440e+06
1.423682960220e-13,5.000000044330e-02,1.632492608610e-08,9.499999828310e-01,3.278336833220e-10,7.340241917380e-11,1.000000000000e+04,6.253551084370e+03,5.000016998980e+02,5.907278721080e+03,5.553018270000e+03,7.504713517360e-03,2.000000000450e+04,1.448594103540e+23,4.526095312090e+06
1.545038204630e-13,5.000000048100e-02,1.771646864330e-08,9.499999813670e-01,3.557783433420e-10,7.965926741360e-11,1.000000000000e+04,6.253551123570e+03,5.000018447980e+02,5.907278696770e+03,5.553018460090e+03,7.504713517360e-03,2.000000000490e+04,1.448594103570e+23,4.526095367550e+06
1.668213777700e-13,5.000000051940e-02,1.912888435060e-08,9.499999798820e-01,3.841421730960e-10,8.600996826940e-11,1.000000000000e+04,6.253551163350e+03,5.000019918710e+02,5.907278672100e+03,5.553018653030e+03,7.504713517360e-03,2.000000000530e+04,1.448594103590e+23,4.526095423850e+06
1.793236984360e-13,5.000000055830e-02,2.056248630570e-08,9.499999783740e-01,4.129314601240e-10,9.245592952730e-11,1.000000000000e+04,6.253551203740e+03,5.000021411510e+02,5.907278647060e+03,5.553018848870e+03,7.504713517360e-03,2.000000000570e+04,1.448594103620e+23,4.526095480990e+06
1.920135539130e-13,5.000000059780e-02,2.201759230270e-08,9.499999768430e-01,4.421525862800e-10,9.899858009000e-11,1.000000000000e+04,6.253551244720e+03,5.000022926690e+02,5.907278621640e+03,5.553019047630e+03,7.504713517360e-03,2.000000000610e+04,1.448594103650e+23,4.526095538990e+06
2.048937572210e-13,5.000000063790e-02,2.349452490260e-08,9.499999752900e-01,4.718120291450e-10,1.056393702940e-10,1.000000000000e+04,6.253551286350e+03,5.000024464610e+02,5.907278595860e+03,5.553019249430e+03,7.504713517360e-03,2.000000000650e+04,1.448594103680e+23,4.526095597860e+06
2.179671635800e-13,5.000000067860e-02,2.499361150490e-08,9.499999737130e-01,5.019163634650e-10,1.123797722290e-10,1.000000000000e+04,6.253551328600e+03,5.000026025590e+02,5.907278569700e+03,5.553019454250e+03,7.504713517360e-03,2.000000000700e+04,1.448594103710e+23,4.526095657610e+06
2.312366710330e-13,5.000000071990e-02,2.651518441990e-08,9.499999721130e-01,5.324722626060e-10,1.192212800690e-10,1.000000000000e+04,6.253551371480e+03,5.000027609980e+02,5.907278543150e+03,5.553019662150e+03,7.504713517360e-03,2.000000000740e+04,1.448594103740e+23,4.526095718260e+06
