t,X_O,X_O2,Th,Tv,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,9.500000000000e-01,1.000000000000e+04,4.000000000000e+03,9.380891896690e-04,2.500000000000e+03,1.810742629010e+22,7.676757346630e+06
1.000000000000e-14,5.000000014830e-02,9.499999998520e-01,1.000000000000e+04,4.000000017100e+03,9.380891896690e-04,2.500000000190e+03,1.810742629150e+22,7.676757352090e+06
2.015000000000e-14,5.000000029890e-02,9.499999997010e-01,1.000000000000e+04,4.000000034450e+03,9.380891896690e-04,2.500000000380e+03,1.810742629290e+22,7.676757357630e+06
3.045225000000e-14,5.000000045170e-02,9.499999995480e-01,1.000000000000e+04,4.000000052060e+03,9.380891896690e-04,2.500000000580e+03,1.810742629430e+22,7.676757363250e+06
4.090903375000e-14,5.000000060680e-02,9.499999993930e-01,1.000000000000e+04,4.000000069940e+03,9.380891896690e-04,2.500000000780e+03,1.810742629570e+22,7.676757368950e+06
5.152266925620e-14,5.000000076430e-02,9.499999992360e-01,1.000000000000e+04,4.000000088090e+03,9.380891896690e-04,2.500000000980e+03,1.810742629720e+22,7.676757374740e+06
6.229550929510e-14,5.000000092410e-02,9.499999990760e-01,1.000000000000e+04,4.000000106510e+03,9.380891896690e-04,2.500000001180e+03,1.810742629870e+22,7.676757380620e+06
7.322994193450e-14,5.000000108630e-02,9.499999989140e-01,1.000000000000e+04,4.000000125200e+03,9.380891896690e-04,2.500000001390e+03,1.810742630020e+22,7.676757386590e+06
8.432839106350e-14,5.000000125090e-02,9.499999987490e-01,1.000000000000e+04,4.000000144180e+03,9.380891896690e-04,2.500000001600e+03,1.810742630170e+22,7.676757392640e+06
9.559331692950e-14,5.000000141800e-02,9.499999985820e-01,1.000000000000e+04,4.000000163440e+03,9.380891896690e-04,2.500000001820e+03,1.810742630330e+22,7.676757398790e+06
1.070272166830e-13,5.000000158760e-02,9.499999984120e-01,1.000000000000e+04,4.000000182980e+03,9.380891896690e-04,2.500000002040e+03,1.810742630480e+22,7.676757405030e+06
1.186326249340e-13,5.000000175980e-02,9.499999982400e-01,1.000000000000e+04,4.000000202830e+03,9.380891896690e-04,2.500000002260e+03,1.810742630640e+22,7.676757411360e+06
1.304121143080e-13,5.000000193450e-02,9.499999980650e-01,1.000000000000e+04,4.000000222960e+03,9.380891896690e-04,2.500000002480e+03,1.810742630810e+22,7.676757417790e+06
1.423682960220e-13,5.000000211190e-02,9.499999978880e-01,1.000000000000e+04,4.000000243410e+03,9.380891896690e-04,2.500000002710e+03,1.810742630970e+22,7.676757424310e+06
1.545038204630e-13,5.000000229190e-02,9.499999977080e-01,1.000000000000e+04,4.000000264150e+03,9.380891896690e-04,2.500000002940e+03,1.810742631140e+22,7.676757430930e+06
1.668213777700e-13,5.000000247460e-02,9.499999975250e-01,1.000000000000e+04,4.000000285210e+03,9.380891896690e-04,2.500000003170e+03,1.810742631310e+22,7.676757437650e+06
1.793236984360e-13,5.000000266000e-02,9.499999973400e-01,1.000000000000e+04,4.000000306590e+03,9.380891896690e-04,2.500000003410e+03,1.810742631480e+22,7.676757444470e+06
1.920135539130e-13,5.000000284830e-02,9.499999971520e-01,1.000000000000e+04,4.000000328280e+03,9.380891896690e-04,2.500000003650e+03,1.810742631650e+22,7.676757451400e+06
2.048937572210e-13,5.000000303930e-02,9.499999969610e-01,1.000000000000e+04,4.000000350310e+03,9.380891896690e-04,2.500000003900e+03,1.810742631830e+22,7.676757458430e+06
2.179671635800e-13,5.000000323330e-02,9.499999967670e-01,1.000000000000e+04,4.000000372660e+03,9.380891896690e-04,2.500000004150e+03,1.810742632010e+22,7.676757465560e+06
2.312366710330e-13,5.000000343010e-02,9.499999965700e-01,1.000000000000e+04,4.000000395340e+03,9.380891896690e-04,2.500000004400e+03,1.810742632200e+22,7.676757472800e+06
2.447052210990e-13,5.000000362990e-02,9.499999963700e-01,1.000000000000e+04,4.000000418370e+03,9.380891896690e-04,2.500000004650e+03,1.810742632380e+22,7.676757480150e+06
2.583757994150e-13,5.000000383270e-02,9.499999961670e-01,1.000000000000e+04,4.000000441740e+03,9.380891896690e-04,2.500000004910e+03,1.810742632570e+22,7.676757487610e+06
2.722514364070e-13,5.000000403850e-02,9.499999959610e-01,1.000000000000e+04,4.000000465470e+03,9.380891896690e-04,2.500000005180e+03,1.810742632760e+22,7.676757495180e+06
2.863352079530e-13,5.000000424740e-02,9.499999957530e-01,1.000000000000e+04,4.000000489540e+03,9.380891896690e-04,2.500000005450e+03,1.810742632950e+22,7.676757502860e+06
3.006302360720e-13,5.000000445950e-02,9.499999955410e-01,1.000000000000e+04,4.000000513990e+03,9.380891896690e-04,2.500000005720e+03,1.810742633150e+22,7.676757510660e+06
3.151396896130e-13,5.000000467470e-02,9.499999953250e-01,1.000000000000e+04,4.000000538790e+03,9.380891896690e-04,2.500000005990e+03,1.810742633350e+22,7.676757518580e+06
