vqn,jqn,E,egam,rMin,rMax,VMin,VMax,Tau,ri,ro,EVib,ERot,g
0,0,-5.11304567e+00,0.00000000e+00,2.28204900e+00,2.00000000e+02,-5.71472718e-06,5.21125838e+00,8.73993660e+02,2.19076220e+00,2.38596100e+00,-5.11304567e+00,0.00000000e+00,1.50000000e+00
0,1,-5.11268934e+00,0.00000000e+00,2.28204980e+00,2.78187200e+01,3.52601767e-04,5.21126001e+00,8.74011420e+02,2.19077640e+00,2.38597720e+00,-5.11304567e+00,3.56327797e-04,4.50000000e+00
0,2,-5.11197670e+00,0.00000000e+00,2.28209250e+00,2.13714740e+01,1.06921477e-03,5.21126654e+00,8.74046940e+02,2.19080480e+00,2.38600960e+00,-5.11304567e+00,1.06896978e-03,7.50000000e+00
0,3,-5.11090778e+00,0.00000000e+00,2.28212770e+00,1.81502880e+01,2.14410298e-03,5.21128124e+00,8.74100240e+02,2.19084740e+00,2.38605820e+00,-5.11304567e+00,2.13789331e-03,1.05000000e+01
0,4,-5.10948261e+00,0.00000000e+00,2.28219570e+00,1.61206120e+01,3.57721809e-03,5.21130709e+00,8.74171310e+02,2.19090430e+00,2.38612290e+00,-5.11304567e+00,3.56306300e-03,1.35000000e+01
0,5,-5.10770126e+00,0.00000000e+00,2.28227250e+00,1.46900980e+01,5.36850706e-03,5.21134682e+00,8.74260160e+02,2.19097530e+00,2.38620390e+00,-5.11304567e+00,5.34441626e-03,1.65000000e+01
0,6,-5.10556379e+00,0.00000000e+00,2.28235500e+00,1.36119340e+01,7.51789881e-03,5.21140315e+00,8.74366820e+02,2.19106060e+00,2.38630110e+00,-5.11304567e+00,7.48188235e-03,1.95000000e+01
0,7,-5.10307029e+00,0.00000000e+00,2.28248340e+00,1.27611780e+01,1.00253068e-02,5.21147879e+00,8.74491280e+02,2.19116010e+00,2.38641450e+00,-5.11304567e+00,9.97537964e-03,2.25000000e+01
0,8,-5.10022087e+00,0.00000000e+00,2.28259910e+00,1.20673490e+01,1.28906304e-02,5.21157594e+00,8.74633580e+02,2.19127380e+00,2.38654410e+00,-5.11304567e+00,1.28248047e-02,2.55000000e+01
0,9,-5.09701563e+00,0.00000000e+00,2.28272120e+00,1.14872890e+01,1.61137583e-02,5.21169730e+00,8.74793730e+02,2.19140180e+00,2.38668990e+00,-5.11304567e+00,1.60300460e-02,2.85000000e+01
0,10,-5.09345470e+00,0.00000000e+00,2.28286890e+00,1.09925490e+01,1.96945632e-02,5.21184533e+00,8.74971750e+02,2.19154400e+00,2.38685190e+00,-5.11304567e+00,1.95909729e-02,3.15000000e+01
0,11,-5.08953822e+00,0.00000000e+00,2.28303810e+00,1.05639860e+01,2.36329012e-02,5.21202248e+00,8.75167670e+02,2.19170050e+00,2.38703020e+00,-5.11304567e+00,2.35074466e-02,3.45000000e+01
0,12,-5.08526636e+00,0.00000000e+00,2.28322970e+00,1.01876060e+01,2.79286183e-02,5.21223064e+00,8.75381510e+02,2.19187130e+00,2.38722480e+00,-5.11304567e+00,2.77793094e-02,3.75000000e+01
0,13,-5.08063928e+00,0.00000000e+00,2.28342390e+00,9.85353580e+00,3.25815413e-02,5.21247255e+00,8.75613310e+02,2.19205630e+00,2.38743560e+00,-5.11304567e+00,3.24063897e-02,4.05000000e+01
0,14,-5.07565717e+00,0.00000000e+00,2.28362310e+00,9.55419470e+00,3.75914914e-02,5.21275038e+00,8.75863090e+02,2.19225560e+00,2.38766280e+00,-5.11304567e+00,3.73885025e-02,4.35000000e+01
0,15,-5.07032022e+00,0.00000000e+00,2.28386800e+00,9.28378550e+00,4.29582645e-02,5.21306631e+00,8.76130900e+02,2.19246920e+00,2.38790620e+00,-5.11304567e+00,4.27254493e-02,4.65000000e+01
0,16,-5.06462865e+00,0.00000000e+00,2.28411100e+00,9.03762670e+00,4.86816485e-02,5.21342223e+00,8.76416760e+02,2.19269710e+00,2.38816590e+00,-5.11304567e+00,4.84170176e-02,4.95000000e+01
0,17,-5.05858269e+00,0.00000000e+00,2.28435920e+00,8.81234790e+00,5.47614146e-02,5.21382088e+00,8.76720730e+02,2.19293930e+00,2.38844200e+00,-5.11304567e+00,5.44629791e-02,5.25000000e+01
0,18,-5.05218258e+00,0.00000000e+00,2.28462430e+00,8.60513190e+00,6.11973290e-02,5.21426415e+00,8.77042840e+02,2.19319590e+00,2.38873440e+00,-5.11304567e+00,6.08630914e-02,5.55000000e+01
0,19,-5.04542857e+00,0.00000000e+00,2.28491470e+00,8.41354590e+00,6.79891276e-02,5.21475396e+00,8.77383130e+02,2.19346680e+00,2.38904320e+00,-5.11304567e+00,6.76170988e-02,5.85000000e+01
0,20,-5.03832094e+00,0.00000000e+00,2.28521860e+00,8.23590850e+00,7.51365465e-02,5.21529274e+00,8.77741660e+02,2.19375210e+00,2.38936840e+00,-5.11304567e+00,7.47247292e-02,6.15000000e+01
0,21,-5.03085997e+00,0.00000000e+00,2.28554990e+00,8.07062400e+00,8.26393027e-02,5.21588269e+00,8.78118480e+02,2.19405170e+00,2.38971000e+00,-5.11304567e+00,8.21856996e-02,6.45000000e+01
