t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,X_O2_5,X_O2_6,X_O2_7,X_O2_8,X_O2_9,X_O2_10,X_O2_11,X_O2_12,Th,Tg_1,Tg_2,Tg_3,Tg_4,Tg_5,Tg_6,Tg_7,Tg_8,Tg_9,Tg_10,Tg_11,Tg_12,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,3.416967249790e-02,4.360979058510e-06,1.381311180250e-06,4.020464547760e-07,8.970086493580e-03,7.536348121040e-05,9.754575170670e-04,9.983867467480e-02,3.874171072230e-01,2.193851676700e-01,1.265686423880e-01,7.259368371880e-02,1.000000000000e+04,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,4.000000000000e+03,9.380891896690e-04,2.500000000000e+03,1.810742629010e+22,6.227935279350e+06
1.000000000000e-14,5.000000001420e-02,3.416967279560e-02,4.360979663470e-06,1.381312153630e-06,4.020464590830e-07,8.970086528150e-03,7.536348602190e-05,9.754575310550e-04,9.983867471350e-02,3.874171070010e-01,2.193851675560e-01,1.265686423380e-01,7.259368369720e-02,1.000000000000e+04,4.000000019400e+03,4.000000084110e+03,4.000001369620e+03,3.999997052440e+03,4.000000013100e+03,4.000000120500e+03,4.000000033050e+03,4.000000006520e+03,4.000000007170e+03,4.000000007360e+03,4.000000007710e+03,4.000000008080e+03,9.380891896690e-04,2.500000000020e+03,1.810742629020e+22,6.227935282760e+06
2.015000000000e-14,5.000000002870e-02,3.416967309790e-02,4.360980277510e-06,1.381313141610e-06,4.020464634560e-07,8.970086563240e-03,7.536349090560e-05,9.754575452520e-04,9.983867475280e-02,3.874171067770e-01,2.193851674410e-01,1.265686422880e-01,7.259368367540e-02,1.000000000000e+04,4.000000039080e+03,4.000000169480e+03,4.000002759780e+03,3.999994060660e+03,4.000000026390e+03,4.000000242820e+03,4.000000066590e+03,4.000000013140e+03,4.000000014460e+03,4.000000014820e+03,4.000000015540e+03,4.000000016280e+03,9.380891896690e-04,2.500000000040e+03,1.810742629040e+22,6.227935286220e+06
3.045225000000e-14,5.000000004340e-02,3.416967340460e-02,4.360980900750e-06,1.381314144410e-06,4.020464678930e-07,8.970086598850e-03,7.536349586260e-05,9.754575596630e-04,9.983867479260e-02,3.874171065490e-01,2.193851673240e-01,1.265686422370e-01,7.259368365320e-02,1.000000000000e+04,4.000000059070e+03,4.000000256130e+03,4.000004170800e+03,3.999991024010e+03,4.000000039890e+03,4.000000366960e+03,4.000000100640e+03,4.000000019860e+03,4.000000021850e+03,4.000000022400e+03,4.000000023480e+03,4.000000024610e+03,9.380891896690e-04,2.500000000060e+03,1.810742629050e+22,6.227935289730e+06
4.090903375000e-14,5.000000005830e-02,3.416967371600e-02,4.360981533340e-06,1.381315162260e-06,4.020464723980e-07,8.970086635000e-03,7.536350089390e-05,9.754575742900e-04,9.983867483310e-02,3.874171063170e-01,2.193851672060e-01,1.265686421860e-01,7.259368363060e-02,1.000000000000e+04,4.000000079350e+03,4.000000344080e+03,4.000005602980e+03,3.999987941800e+03,4.000000053580e+03,4.000000492970e+03,4.000000135200e+03,4.000000026680e+03,4.000000029350e+03,4.000000030090e+03,4.000000031540e+03,4.000000033060e+03,9.380891896690e-04,2.500000000070e+03,1.810742629060e+22,6.227935293300e+06
5.152266925620e-14,5.000000007340e-02,3.416967403200e-02,4.360982175420e-06,1.381316195370e-06,4.020464769700e-07,8.970086671690e-03,7.536350600070e-05,9.754575891360e-04,9.983867487410e-02,3.874171060820e-01,2.193851670850e-01,1.265686421340e-01,7.259368360770e-02,1.000000000000e+04,4.000000099940e+03,4.000000433350e+03,4.000007056640e+03,3.999984813370e+03,4.000000067490e+03,4.000000620870e+03,4.000000170280e+03,4.000000033610e+03,4.000000036960e+03,4.000000037900e+03,4.000000039730e+03,4.000000041630e+03,9.380891896690e-04,2.500000000090e+03,1.810742629080e+22,6.227935296920e+06
6.229550929510e-14,5.000000008870e-02,3.416967435280e-02,4.360982827130e-06,1.381317243980e-06,4.020464816100e-07,8.970086708940e-03,7.536351118410e-05,9.754576042050e-04,9.983867491580e-02,3.874171058440e-01,2.193851669630e-01,1.265686420810e-01,7.259368358450e-02,1.000000000000e+04,4.000000120830e+03,4.000000523960e+03,4.000008532110e+03,3.999981638000e+03,4.000000081600e+03,4.000000750690e+03,4.000000205880e+03,4.000000040630e+03,4.000000044690e+03,4.000000045820e+03,4.000000048030e+03,4.000000050340e+03,9.380891896690e-04,2.500000000110e+03,1.810742629090e+22,6.227935300590e+06
7.322994193450e-14,5.000000010430e-02,3.416967467840e-02,4.360983488620e-06,1.381318308320e-06,4.020464863200e-07,8.970086746740e-03,7.536351644520e-05,9.754576195000e-04,9.983867495810e-02,3.874171056020e-01,2.193851668390e-01,1.265686420270e-01,7.259368356100e-02,1.000000000000e+04,4.000000142040e+03,4.000000615920e+03,4.000010029710e+03,3.999978415010e+03,4.000000095920e+03,4.000000882460e+03,4.000000242020e+03,4.000000047760e+03,4.000000052540e+03,4.000000053860e+03,4.000000056460e+03,4.000000059170e+03,9.380891896690e-04,2.500000000130e+03,1.810742629110e+22,6.227935304320e+06
8.432839106350e-14,5.000000012010e-02,3.416967500890e-02,4.360984160030e-06,1.381319388620e-06,4.020464911010e-07,8.970086785110e-03,7.536352178520e-05,9.754576350250e-04,9.983867500100e-02,3.874171053560e-01,2.193851667130e-01,1.265686419720e-01,7.259368353700e-02,1.000000000000e+04,4.000000163570e+03,4.000000709270e+03,4.000011549780e+03,3.999975143670e+03,4.000000110460e+03,4.000001016200e+03,4.000000278700e+03,4.000000055000e+03,4.000000060500e+03,4.000000062020e+03,4.000000065020e+03,4.000000068140e+03,9.380891896690e-04,2.500000000150e+03,1.810742629120e+22,6.227935308110e+06
9.559331692950e-14,5.000000013610e-02,3.416967534430e-02,4.360984841510e-06,1.381320485130e-06,4.020464959540e-07,8.970086824050e-03,7.536352720540e-05,9.754576507820e-04,9.983867504460e-02,3.874171051060e-01,2.193851665850e-01,1.265686419160e-01,7.259368351280e-02,1.000000000000e+04,4.000000185420e+03,4.000000804020e+03,4.000013092640e+03,3.999971823270e+03,4.000000125210e+03,4.000001151950e+03,4.000000315930e+03,4.000000062350e+03,4.000000068580e+03,4.000000070310e+03,4.000000073710e+03,4.000000077240e+03,9.380891896690e-04,2.500000000170e+03,1.810742629140e+22,6.227935311950e+06
