t,X_O,X_O2_1,X_O2_2,X_O2_3,X_O2_4,Th,Tg_1,Tg_2,Tg_3,Tg_4,rho,p,n,E
0.000000000000e+00,5.000000000000e-02,1.009585381120e-23,9.500000000000e-01,1.000000000000e-25,1.000000000200e-25,1.000000000000e+04,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,5.000000000000e+02,7.504713517360e-03,2.000000000000e+04,1.448594103210e+23,4.526094661400e+06
1.000000000000e-14,5.000000003110e-02,1.335018006580e-10,9.499999998150e-01,2.055359605660e-12,1.850785863420e-11,1.000000000000e+04,6.319337568000e+03,5.000001397170e+02,6.087252002540e+03,5.795599098500e+03,7.504713517360e-03,2.000000000030e+04,1.448594103230e+23,4.526094707100e+06
2.015000000000e-14,5.000000006270e-02,2.690061280060e-10,9.499999996270e-01,4.141549661160e-12,3.729333437950e-11,1.000000000000e+04,6.319352723740e+03,5.000002815310e+02,6.087248409450e+03,5.795590636730e+03,7.504713517360e-03,2.000000000060e+04,1.448594103250e+23,4.526094753500e+06
3.045225000000e-14,5.000000009480e-02,4.065430199390e-10,9.499999994360e-01,6.259032624050e-12,5.636059148140e-11,1.000000000000e+04,6.319349413540e+03,5.000004254710e+02,6.087249203990e+03,5.795592357040e+03,7.504713517360e-03,2.000000000100e+04,1.448594103280e+23,4.526094800580e+06
4.090903375000e-14,5.000000012740e-02,5.461429648970e-10,9.499999992420e-01,8.408277893120e-12,7.571385658830e-11,1.000000000000e+04,6.319327131970e+03,5.000005715700e+02,6.087254506250e+03,5.795604538140e+03,7.504713517360e-03,2.000000000130e+04,1.448594103300e+23,4.526094848370e+06
5.152266925620e-14,5.000000016040e-02,6.878369086830e-10,9.499999990460e-01,1.058976190150e-11,9.535741984030e-11,1.000000000000e+04,6.319284793660e+03,5.000007198610e+02,6.087264574100e+03,5.795627778550e+03,7.504713517360e-03,2.000000000160e+04,1.448594103330e+23,4.526094896880e+06
6.229550929510e-14,5.000000019400e-02,8.316562612680e-10,9.499999988460e-01,1.280396823220e-11,1.152956356840e-10,1.000000000000e+04,6.319221501660e+03,5.000008703770e+02,6.087279620660e+03,5.795662572910e+03,7.504713517360e-03,2.000000000200e+04,1.448594103350e+23,4.526094946120e+06
7.322994193450e-14,5.000000022800e-02,9.776329037740e-10,9.499999986440e-01,1.505138772190e-11,1.355329238840e-10,1.000000000000e+04,6.319136327520e+03,5.000010231500e+02,6.087299866540e+03,5.795709433220e+03,7.504713517360e-03,2.000000000230e+04,1.448594103380e+23,4.526094996100e+06
8.432839106350e-14,5.000000026260e-02,1.125799195540e-09,9.499999984380e-01,1.733251856980e-11,1.560737704970e-10,1.000000000000e+04,6.319028310320e+03,5.000011782140e+02,6.087325540050e+03,5.795768889370e+03,7.504713517360e-03,2.000000000270e+04,1.448594103400e+23,4.526095046820e+06
9.559331692950e-14,5.000000029760e-02,1.276187981290e-09,9.499999982300e-01,1.964786644870e-11,1.769227288690e-10,1.000000000000e+04,6.318999201940e+03,5.000013356050e+02,6.087332466650e+03,5.795784831360e+03,7.504713517360e-03,2.000000000310e+04,1.448594103430e+23,4.526095098310e+06
1.070272166830e-13,5.000000033320e-02,1.428832598410e-09,9.499999980180e-01,2.199794461750e-11,1.980844206270e-10,1.000000000000e+04,6.319028162190e+03,5.000014953560e+02,6.087325597340e+03,5.795768750630e+03,7.504713517360e-03,2.000000000340e+04,1.448594103460e+23,4.526095150570e+06
